project	file	line	pattern	type	member	chars_saved	before	after
scala3-compiler	dotty/tools/MainGenericCompiler.scala	15	P2	List	empty	5	case class CompileSettings(	case class CompileSettings(
scala3-compiler	dotty/tools/MainGenericCompiler.scala	16	P2	CompileMode	Guess	12	classPath: List[String] = List.empty,	classPath: List[String] = List.empty,
scala3-compiler	dotty/tools/MainGenericCompiler.scala	18	P2	List	empty	5	exitCode: Int = 0,	exitCode: Int = 0,
scala3-compiler	dotty/tools/MainGenericCompiler.scala	19	P2	List	empty	5	javaProps: List[(String, String)] = List.empty,	javaProps: List[(String, String)] = .empty,
scala3-compiler	dotty/tools/MainGenericCompiler.scala	20	P2	List	empty	5	scalaArgs: List[String] = List.empty,	scalaArgs: List[String] = .empty,
scala3-compiler	dotty/tools/MainGenericCompiler.scala	21	P2	List	empty	5	residualArgs: List[String] = List.empty,	residualArgs: List[String] = .empty,
scala3-compiler	dotty/tools/MainGenericCompiler.scala	26	P5	CompileMode	Guess	12	case CompileMode.Guess =>	case .Guess =>
scala3-compiler	dotty/tools/MainGenericCompiler.scala	121	P5	CompileMode	Guess	12	case CompileMode.Guess | CompileMode.Compile =>	case .Guess | CompileMode.Compile =>
scala3-compiler	dotty/tools/MainGenericCompiler.scala	123	P5	CompileMode	Decompile	12	case CompileMode.Decompile =>	case .Decompile =>
scala3-compiler	dotty/tools/MainGenericCompiler.scala	125	P5	CompileMode	PrintTasty	12	case CompileMode.PrintTasty =>	case .PrintTasty =>
scala3-compiler	dotty/tools/MainGenericCompiler.scala	127	P5	CompileMode	Script	12	case CompileMode.Script => // Naive copy from scalac bash script	case .Script => // Naive copy from scalac bash script
scala3-compiler	dotty/tools/debug/ExpressionStore.scala	16	P1	Seq	empty	4	var classOwners: Seq[ClassSymbol] = Seq.empty	var classOwners: Seq[ClassSymbol] = .empty
scala3-compiler	dotty/tools/backend/jvm/BCodeBodyBuilder.scala	508	P5	LoadDestination	FallThrough	16	case LoadDestination.FallThrough =>	case .FallThrough =>
scala3-compiler	dotty/tools/backend/jvm/BCodeBodyBuilder.scala	510	P5	LoadDestination	Jump	16	case LoadDestination.Jump(label, targetStackSize) =>	case .Jump(label, targetStackSize) =>
scala3-compiler	dotty/tools/backend/jvm/BCodeBodyBuilder.scala	522	P5	LoadDestination	Return	16	case LoadDestination.Return =>	case .Return =>
scala3-compiler	dotty/tools/backend/jvm/BCodeBodyBuilder.scala	524	P5	LoadDestination	Throw	16	case LoadDestination.Throw =>	case .Throw =>
scala3-compiler	dotty/tools/backend/jvm/BackendUtils.scala	320	P1	asm.Type	getArgumentTypes	9	def runtimeRefClassBoxedType(refClass: InternalName): asm.Type = asm.Type.getArgumentTypes(ts.srRefCreateMethods(refClass).methodType.descriptor)(0)	def runtimeRefClassBoxedType(refClass: InternalName): asm.Type = .getArgumentTypes(ts.srRefCreateMethods(refClass).methodType.descriptor)(0)
scala3-compiler	dotty/tools/backend/jvm/CodeGen.scala	154	P1	Optional	ofNullable	9	override def jfile: Optional[java.io.File] = Optional.ofNullable(absfile.file)	override def jfile: Optional[java.io.File] = .ofNullable(absfile.file)
scala3-compiler	dotty/tools/backend/jvm/opt/CallGraph.scala	357	P2	IntMap	empty	7	annotatedNoInline: Boolean = false,	annotatedNoInline: Boolean = false,
scala3-compiler	dotty/tools/backend/jvm/opt/LocalOpt.scala	856	P1	RemoveHandlersResult	NoneRemoved	21	var result: RemoveHandlersResult = RemoveHandlersResult.NoneRemoved	var result: RemoveHandlersResult = .NoneRemoved
