project	file	line	pattern	type	member	chars_saved	before	after
cats	laws/src/main/scala/cats/laws/FunctorFilterLaws.scala	31	P1	F	mapFilter	2	val lhs: F[C] = F.mapFilter(F.mapFilter(fa)(f))(g)	val lhs: F[C] = .mapFilter(F.mapFilter(fa)(f))(g)
cats	laws/src/main/scala/cats/laws/FunctorFilterLaws.scala	32	P1	F	mapFilter	2	val rhs: F[C] = F.mapFilter(fa)(a => f(a).flatMap(g))	val rhs: F[C] = .mapFilter(fa)(a => f(a).flatMap(g))
cats	laws/src/main/scala/cats/laws/discipline/ContravariantSemigroupalTests.scala	51	P1	Seq	empty	4	val bases: Seq[(String, Laws#RuleSet)] = Seq.empty	val bases: Seq[(String, Laws#RuleSet)] = .empty
cats	laws/src/main/scala/cats/laws/discipline/BitraverseTests.scala	63	P1	Seq	empty	4	val bases: Seq[(String, Laws#RuleSet)] = Seq.empty	val bases: Seq[(String, Laws#RuleSet)] = .empty
cats	laws/src/main/scala/cats/laws/discipline/Eq.scala	164	P1	Eq	by	3	implicit def catsLawsEqForFn2[A, B, C](implicit A: Arbitrary[A], B: Arbitrary[B], C: Eq[C]): Eq[(A, B) => C] =	implicit def catsLawsEqForFn2[A, B, C](implicit A: Arbitrary[A], B: Arbitrary[B], C: Eq[C]): Eq[(A, B) => C] =
cats	laws/src/main/scala/cats/laws/discipline/ContravariantMonoidalTests.scala	51	P1	Seq	empty	4	val bases: Seq[(String, Laws#RuleSet)] = Seq.empty	val bases: Seq[(String, Laws#RuleSet)] = .empty
cats	laws/src/main/scala/cats/laws/discipline/MiniInt.scala	82	P1	ExhaustiveCheck	instance	16	implicit val catsLawsExhaustiveCheckForMiniInt: ExhaustiveCheck[MiniInt] =	implicit val catsLawsExhaustiveCheckForMiniInt: ExhaustiveCheck[MiniInt] =
cats	laws/src/main/scala/cats/laws/discipline/ApplyTests.scala	51	P1	Seq	empty	4	val bases: Seq[(String, Laws#RuleSet)] = Seq.empty	val bases: Seq[(String, Laws#RuleSet)] = .empty
cats	laws/src/main/scala/cats/laws/discipline/InvariantMonoidalTests.scala	51	P1	Seq	empty	4	val bases: Seq[(String, Laws#RuleSet)] = Seq.empty	val bases: Seq[(String, Laws#RuleSet)] = .empty
cats	alleycats-core/src/main/scala/alleycats/std/set.scala	122	P1	Set	empty	4	override def empty[A]: Set[A] = Set.empty	override def empty[A]: Set[A] = .empty
cats	alleycats-core/src/main/scala/alleycats/std/set.scala	135	P1	B	combineAll	2	override def foldMap[A, B](fa: Set[A])(f: A => B)(implicit B: Monoid[B]): B =	override def foldMap[A, B](fa: Set[A])(f: A => B)(implicit B: Monoid[B]): B =
cats	alleycats-core/src/main/scala/alleycats/std/set.scala	180	P1	A	combineAll	2	override def fold[A](fa: Set[A])(implicit A: Monoid[A]): A = A.combineAll(fa)	override def fold[A](fa: Set[A])(implicit A: Monoid[A]): A = .combineAll(fa)
