project	file	line	col	category	expected	member	chars_saved	import_based	source
izumi-reflect	izumi-reflect/izumi-reflect/src/main/scala-3/izumi/reflect/Tags.scala	181	81	typed_decl	izumi.reflect.Tag	appliedTag	3	false	Tag.appliedTag
izumi-reflect	izumi-reflect/izumi-reflect/src/main/scala-3/izumi/reflect/Tags.scala	183	95	typed_decl	izumi.reflect.Tag	appliedTagNonPos	3	false	Tag.appliedTagNonPos
izumi-reflect	izumi-reflect/izumi-reflect/src/main/scala-3/izumi/reflect/Tags.scala	185	109	typed_decl	izumi.reflect.Tag	appliedTagNonPosAux	3	false	Tag.appliedTagNonPosAux
izumi-reflect	izumi-reflect/izumi-reflect/src/main/scala-3/izumi/reflect/TagMacro.scala	139	108	call_arg	scala.collection.immutable.Map	empty	3	false	Map.empty
izumi-reflect	izumi-reflect/izumi-reflect/src/main/scala-3/izumi/reflect/TagMacro.scala	139	108	call_arg	scala.collection.immutable.Map	empty	3	false	Map.empty
izumi-reflect	izumi-reflect/izumi-reflect/src/main/scala-3/izumi/reflect/TagMacro.scala	139	119	call_arg	scala.collection.immutable.Map	empty	3	false	Map.empty
izumi-reflect	izumi-reflect/izumi-reflect/src/main/scala-3/izumi/reflect/TagMacro.scala	139	119	call_arg	scala.collection.immutable.Map	empty	3	false	Map.empty
izumi-reflect	izumi-reflect/izumi-reflect/src/main/scala-3/izumi/reflect/TagMacro.scala	162	46	typed_decl	scala.quoted.Expr	ofList	4	false	Expr.ofList
izumi-reflect	izumi-reflect/izumi-reflect/src/main/scala-3/izumi/reflect/TagMacro.scala	172	46	typed_decl	scala.quoted.Expr	ofList	4	false	Expr.ofList
izumi-reflect	izumi-reflect/izumi-reflect/src/main/scala-3/izumi/reflect/TagMacro.scala	221	57	call_arg	scala.collection.immutable.Set	empty	3	false	Set.empty
izumi-reflect	izumi-reflect/izumi-reflect/src/main/scala-3/izumi/reflect/TagMacro.scala	221	57	call_arg	scala.collection.immutable.Set	empty	3	false	Set.empty
izumi-reflect	izumi-reflect/izumi-reflect/src/main/scala-3/izumi/reflect/Tags.scala	148	19	call_arg	izumi.reflect.macrortti.LightTypeTag	unionType	12	false	LightTypeTag.unionType
izumi-reflect	izumi-reflect/izumi-reflect/src/main/scala-3/izumi/reflect/Tags.scala	165	19	call_arg	izumi.reflect.macrortti.LightTypeTag	refinedType	12	false	LightTypeTag.refinedType
izumi-reflect	izumi-reflect/izumi-reflect/src/main/scala/izumi/reflect/macrortti/RuntimeAPI.scala	32	14	match_case	izumi.reflect.macrortti.LightTypeTagRef$.Boundaries	Empty	10	false	Boundaries.Empty
izumi-reflect	izumi-reflect/izumi-reflect/src/main/scala/izumi/reflect/macrortti/RuntimeAPI.scala	127	14	match_case	izumi.reflect.macrortti.LightTypeTagRef$.Boundaries	Empty	10	false	Boundaries.Empty
izumi-reflect	izumi-reflect/izumi-reflect/src/main/scala/izumi/reflect/macrortti/LightTypeTagRef.scala	196	75	typed_decl	izumi.reflect.macrortti.LightTypeTagRef$.AppliedReference	maybeIntersection	0	true	maybeIntersection
izumi-reflect	izumi-reflect/izumi-reflect/src/main/scala/izumi/reflect/macrortti/LightTypeTagRef.scala	197	68	typed_decl	izumi.reflect.macrortti.LightTypeTagRef$.AppliedReference	maybeUnion	0	true	maybeUnion
izumi-reflect	izumi-reflect/izumi-reflect/src/main/scala/izumi/reflect/macrortti/LightTypeTagRef.scala	207	30	default_arg	izumi.reflect.macrortti.LightTypeTagRef$.Boundaries	Empty	10	false	Boundaries.Empty
izumi-reflect	izumi-reflect/izumi-reflect/src/main/scala/izumi/reflect/macrortti/LightTypeTagRef.scala	227	78	call_arg	izumi.reflect.macrortti.LightTypeTagRef$.Boundaries	Empty	10	false	Boundaries.Empty
izumi-reflect	izumi-reflect/izumi-reflect/src/main/scala/izumi/reflect/macrortti/LightTypeTagInheritance.scala	59	57	call_arg	izumi.reflect.internal.fundamentals.platform.console.TrivialLogger$.Config	console	6	false	Config.console
izumi-reflect	izumi-reflect/izumi-reflect/src/main/scala/izumi/reflect/macrortti/LightTypeTagInheritance.scala	88	16	match_case	izumi.reflect.macrortti.LightTypeTagRef$.Boundaries	Empty	10	false	Boundaries.Empty
izumi-reflect	izumi-reflect/izumi-reflect/src/main/scala/izumi/reflect/macrortti/LightTypeTagInheritance.scala	92	20	match_case	izumi.reflect.macrortti.LightTypeTagRef$.Boundaries	Empty	10	false	Boundaries.Empty
izumi-reflect	izumi-reflect/izumi-reflect/src/main/scala/izumi/reflect/macrortti/LightTypeTagInheritance.scala	104	16	match_case	izumi.reflect.macrortti.LightTypeTagRef$.Boundaries	Empty	10	false	Boundaries.Empty
izumi-reflect	izumi-reflect/izumi-reflect/src/main/scala/izumi/reflect/macrortti/LightTypeTagInheritance.scala	142	18	match_case	izumi.reflect.macrortti.LightTypeTagRef$.Boundaries	Empty	10	false	Boundaries.Empty
izumi-reflect	izumi-reflect/izumi-reflect/src/main/scala/izumi/reflect/macrortti/LightTypeTagInheritance.scala	202	12	match_case	izumi.reflect.macrortti.LightTypeTagRef$.Boundaries	Empty	10	false	Boundaries.Empty
izumi-reflect	izumi-reflect/izumi-reflect/src/main/scala/izumi/reflect/macrortti/LightTypeTagInheritance.scala	357	47	call_arg	scala.collection.immutable.Set	empty	3	false	Set.empty
izumi-reflect	izumi-reflect/izumi-reflect/src/main/scala/izumi/reflect/macrortti/LightTypeTagInheritance.scala	357	47	call_arg	scala.collection.immutable.Set	empty	3	false	Set.empty
izumi-reflect	izumi-reflect/izumi-reflect/src/main/scala/izumi/reflect/macrortti/LightTypeTag.scala	63	49	call_arg	izumi.reflect.macrortti.LightTypeTag$.ParsedLightTypeTag$.SubtypeDBs	make	10	false	SubtypeDBs.make
