project	file	line	col	category	expected	member	chars_saved	import_based	source
lucre-adjunct	adjunct/shared/src/main/scala/de/sciss/lucre/Adjunct.scala	155	53	typed_decl	de.sciss.lucre.Adjunct$.IntSeqTop$	IntSeqTop	0	true	IntSeqTop
lucre-adjunct	adjunct/shared/src/main/scala/de/sciss/lucre/Adjunct.scala	156	53	typed_decl	de.sciss.lucre.Adjunct$.DoubleSeqTop$	DoubleSeqTop	0	true	DoubleSeqTop
lucre-adjunct	adjunct/shared/src/main/scala/de/sciss/lucre/Adjunct.scala	157	53	typed_decl	de.sciss.lucre.Adjunct$.LongSeqTop$	LongSeqTop	0	true	LongSeqTop
lucre-adjunct	adjunct/shared/src/main/scala/de/sciss/lucre/Adjunct.scala	161	47	typed_decl	de.sciss.lucre.Adjunct$.IntTop$	IntTop	0	true	IntTop
lucre-adjunct	adjunct/shared/src/main/scala/de/sciss/lucre/Adjunct.scala	162	47	typed_decl	de.sciss.lucre.Adjunct$.DoubleTop$	DoubleTop	0	true	DoubleTop
lucre-adjunct	adjunct/shared/src/main/scala/de/sciss/lucre/Adjunct.scala	163	47	typed_decl	de.sciss.lucre.Adjunct$.LongTop$	LongTop	0	true	LongTop
lucre-adjunct	adjunct/shared/src/main/scala/de/sciss/lucre/Adjunct.scala	306	63	typed_decl	de.sciss.lucre.Adjunct$.WidenToDouble	DoubleImpl	0	true	DoubleImpl
lucre-adjunct	adjunct/shared/src/main/scala/de/sciss/lucre/Adjunct.scala	353	53	typed_decl	de.sciss.lucre.Adjunct$.IntSeqTop$	IntSeqTop	0	true	IntSeqTop
lucre-adjunct	adjunct/shared/src/main/scala/de/sciss/lucre/Adjunct.scala	354	53	typed_decl	de.sciss.lucre.Adjunct$.DoubleSeqTop$	DoubleSeqTop	0	true	DoubleSeqTop
lucre-adjunct	adjunct/shared/src/main/scala/de/sciss/lucre/Adjunct.scala	355	53	typed_decl	de.sciss.lucre.Adjunct$.LongSeqTop$	LongSeqTop	0	true	LongSeqTop
lucre-adjunct	adjunct/shared/src/main/scala/de/sciss/lucre/Adjunct.scala	358	53	typed_decl	de.sciss.lucre.Adjunct$.IntTop$	IntTop	0	true	IntTop
lucre-adjunct	adjunct/shared/src/main/scala/de/sciss/lucre/Adjunct.scala	359	53	typed_decl	de.sciss.lucre.Adjunct$.DoubleTop$	DoubleTop	0	true	DoubleTop
lucre-adjunct	adjunct/shared/src/main/scala/de/sciss/lucre/Adjunct.scala	360	53	typed_decl	de.sciss.lucre.Adjunct$.LongTop$	LongTop	0	true	LongTop
lucre-adjunct	adjunct/shared/src/main/scala/de/sciss/lucre/Adjunct.scala	381	49	typed_decl	de.sciss.lucre.Adjunct$.IntTop$	IntTop	0	true	IntTop
lucre-adjunct	adjunct/shared/src/main/scala/de/sciss/lucre/Adjunct.scala	382	49	typed_decl	de.sciss.lucre.Adjunct$.DoubleTop$	DoubleTop	0	true	DoubleTop
lucre-adjunct	adjunct/shared/src/main/scala/de/sciss/lucre/Adjunct.scala	383	49	typed_decl	de.sciss.lucre.Adjunct$.LongTop$	LongTop	0	true	LongTop
lucre-adjunct	adjunct/shared/src/main/scala/de/sciss/lucre/Adjunct.scala	386	58	typed_decl	de.sciss.lucre.Adjunct$.FromAny	IntSeqTop	0	true	IntSeqTop
lucre-adjunct	adjunct/shared/src/main/scala/de/sciss/lucre/Adjunct.scala	387	58	typed_decl	de.sciss.lucre.Adjunct$.FromAny	DoubleSeqTop	0	true	DoubleSeqTop
lucre-adjunct	adjunct/shared/src/main/scala/de/sciss/lucre/Adjunct.scala	388	58	typed_decl	de.sciss.lucre.Adjunct$.FromAny	LongSeqTop	0	true	LongSeqTop
lucre-adjunct	adjunct/shared/src/main/scala/de/sciss/lucre/Adjunct.scala	416	51	typed_decl	de.sciss.lucre.Adjunct$.IntTop$	IntTop	0	true	IntTop
lucre-adjunct	adjunct/shared/src/main/scala/de/sciss/lucre/Adjunct.scala	417	51	typed_decl	de.sciss.lucre.Adjunct$.DoubleTop$	DoubleTop	0	true	DoubleTop
lucre-adjunct	adjunct/shared/src/main/scala/de/sciss/lucre/Adjunct.scala	418	51	typed_decl	de.sciss.lucre.Adjunct$.LongTop$	LongTop	0	true	LongTop
lucre-adjunct	adjunct/shared/src/main/scala/de/sciss/lucre/Adjunct.scala	419	59	typed_decl	de.sciss.lucre.Adjunct$.HasDefault	IntSeqTop	0	true	IntSeqTop
lucre-adjunct	adjunct/shared/src/main/scala/de/sciss/lucre/Adjunct.scala	420	59	typed_decl	de.sciss.lucre.Adjunct$.HasDefault	DoubleSeqTop	0	true	DoubleSeqTop
lucre-adjunct	adjunct/shared/src/main/scala/de/sciss/lucre/Adjunct.scala	421	59	typed_decl	de.sciss.lucre.Adjunct$.HasDefault	LongSeqTop	0	true	LongSeqTop
lucre-adjunct	adjunct/shared/src/main/scala/de/sciss/lucre/Adjunct.scala	457	39	typed_decl	de.sciss.lucre.Adjunct$.IntTop$	IntTop	0	true	IntTop
lucre-adjunct	adjunct/shared/src/main/scala/de/sciss/lucre/Adjunct.scala	609	49	typed_decl	de.sciss.lucre.Adjunct$.LongTop$	LongTop	0	true	LongTop
lucre-adjunct	adjunct/shared/src/main/scala/de/sciss/lucre/Adjunct.scala	757	42	typed_decl	de.sciss.lucre.Adjunct$.DoubleTop$	DoubleTop	0	true	DoubleTop
lucre-adjunct	adjunct/shared/src/main/scala/de/sciss/lucre/Adjunct.scala	912	33	typed_decl	de.sciss.lucre.Adjunct$.BooleanTop$	BooleanTop	0	true	BooleanTop
