project	file	line	col	category	expected	member	chars_saved	import_based	source
lucre-confluent	confluent/shared/src/main/scala/de/sciss/lucre/confluent/VersionInfo.scala	27	70	call_arg	java.util.Locale	US	6	false	Locale.US
lucre-confluent	confluent/shared/src/main/scala/de/sciss/lucre/confluent/MeldInfo.scala	21	57	call_arg	scala.collection.immutable.Set	empty	3	false	Set.empty
lucre-confluent	confluent/shared/src/main/scala/de/sciss/lucre/confluent/MeldInfo.scala	21	57	call_arg	scala.collection.immutable.Set	empty	3	false	Set.empty
lucre-confluent	confluent/shared/src/main/scala/de/sciss/lucre/confluent/Cursor.scala	23	5	typed_decl	de.sciss.lucre.confluent.Cursor	wrap	0	true	wrap
lucre-confluent	confluent/shared/src/main/scala/de/sciss/lucre/confluent/Cursor.scala	21	71	default_arg	de.sciss.lucre.confluent.Access	root	6	false	Access.root
lucre-confluent	confluent/shared/src/main/scala/de/sciss/lucre/confluent/Cursor.scala	21	71	default_arg	de.sciss.lucre.confluent.Access	root	6	false	Access.root
lucre-confluent	confluent/shared/src/main/scala/de/sciss/lucre/confluent/Cursor.scala	37	60	default_arg	de.sciss.lucre.confluent.Access	root	6	false	Access.root
lucre-confluent	confluent/shared/src/main/scala/de/sciss/lucre/confluent/Cursor.scala	37	60	default_arg	de.sciss.lucre.confluent.Access	root	6	false	Access.root
lucre-confluent	confluent/shared/src/main/scala/de/sciss/lucre/confluent/impl/TxnImpl.scala	158	53	call_arg	de.sciss.lucre.MapObj$.Key	String	10	false	MapObj.Key.String
lucre-confluent	confluent/shared/src/main/scala/de/sciss/lucre/confluent/impl/PathImpl.scala	66	50	call_arg	de.sciss.fingertree.FingerTree	empty	10	false	FingerTree.empty
lucre-confluent	confluent/shared/src/main/scala/de/sciss/lucre/confluent/impl/PathImpl.scala	204	12	call_arg	de.sciss.fingertree.FingerTree	two	10	false	FingerTree.two
lucre-confluent	confluent/shared/src/main/scala/de/sciss/lucre/confluent/impl/Mixin.scala	123	5	typed_decl	de.sciss.lucre.confluent.Cursor	read	6	false	Cursor.read
lucre-confluent	confluent/shared/src/main/scala/de/sciss/lucre/confluent/impl/Mixin.scala	462	48	call_arg	de.sciss.serial.ConstFormat	Unit	7	false	TFormat.Unit
lucre-confluent	confluent/shared/src/main/scala/de/sciss/lucre/confluent/impl/GlobalState.scala	48	62	call_arg	de.sciss.serial.TFormat	Long	7	false	TFormat.Long
lucre-confluent	confluent/shared/src/main/scala/de/sciss/lucre/confluent/impl/CursorImpl.scala	48	7	typed_decl	de.sciss.lucre.confluent.Access	read	16	false	confluent.Access.read
lucre-confluent	confluent/shared/src/main/scala/de/sciss/lucre/confluent/impl/CursorImpl.scala	51	60	default_arg	de.sciss.lucre.confluent.Access	root	6	false	Access.root
lucre-confluent	confluent/shared/src/main/scala/de/sciss/lucre/confluent/impl/CursorImpl.scala	51	60	default_arg	de.sciss.lucre.confluent.Access	root	6	false	Access.root
lucre-confluent	confluent/shared/src/main/scala/de/sciss/lucre/confluent/impl/CursorImpl.scala	98	5	typed_decl	de.sciss.lucre.confluent.Cursor	wrap	6	false	Cursor.wrap
lucre-confluent	confluent/shared/src/main/scala/de/sciss/lucre/confluent/impl/CacheMapImpl.scala	55	32	call_arg	scala.collection.immutable.Map	empty	3	false	Map.empty
lucre-confluent	confluent/shared/src/main/scala/de/sciss/lucre/confluent/impl/CacheMapImpl.scala	55	32	call_arg	scala.collection.immutable.Map	empty	3	false	Map.empty
lucre-confluent	confluent/shared/src/main/scala/de/sciss/lucre/confluent/impl/CacheMapImpl.scala	81	31	call_arg	scala.collection.immutable.Map	empty	3	false	Map.empty
lucre-confluent	confluent/shared/src/main/scala/de/sciss/lucre/confluent/impl/CacheMapImpl.scala	81	31	call_arg	scala.collection.immutable.Map	empty	3	false	Map.empty
