project	file	line	col	category	expected	member	chars_saved	import_based	source
lucre-core	core/shared/src/main/scala/de/sciss/lucre/RandomObj.scala	42	5	typed_decl	de.sciss.lucre.RandomObj	apply	0	true	apply
lucre-core	core/shared/src/main/scala/de/sciss/lucre/Push.scala	35	52	typed_decl	scala.collection.immutable.Set	empty	3	false	Set.empty
lucre-core	core/shared/src/main/scala/de/sciss/lucre/Push.scala	35	52	typed_decl	scala.collection.immutable.Set	empty	3	false	Set.empty
lucre-core	core/shared/src/main/scala/de/sciss/lucre/Observable.scala	22	81	typed_decl	de.sciss.lucre.Disposable	empty	10	false	Disposable.empty
lucre-core	core/shared/src/main/scala/de/sciss/lucre/Observable.scala	22	81	typed_decl	de.sciss.lucre.Disposable	empty	10	false	Disposable.empty
lucre-core	core/shared/src/main/scala/de/sciss/lucre/MapObj.scala	30	44	typed_decl	de.sciss.serial.ConstFormat	Int	7	false	TFormat.Int
lucre-core	core/shared/src/main/scala/de/sciss/lucre/MapObj.scala	34	45	typed_decl	de.sciss.serial.ConstFormat	Long	7	false	TFormat.Long
lucre-core	core/shared/src/main/scala/de/sciss/lucre/MapObj.scala	38	51	typed_decl	de.sciss.serial.ConstFormat	String	7	false	TFormat.String
lucre-core	core/shared/src/main/scala/de/sciss/lucre/IPush.scala	38	53	typed_decl	scala.collection.immutable.Set	empty	3	false	Set.empty
lucre-core	core/shared/src/main/scala/de/sciss/lucre/IPush.scala	38	53	typed_decl	scala.collection.immutable.Set	empty	3	false	Set.empty
lucre-core	core/shared/src/main/scala/de/sciss/lucre/IPush.scala	290	56	typed_decl	scala.collection.immutable.Map	empty	4	false	IMap.empty
lucre-core	core/shared/src/main/scala/de/sciss/lucre/IPush.scala	290	56	typed_decl	scala.collection.immutable.Map	empty	4	false	IMap.empty
lucre-core	core/shared/src/main/scala/de/sciss/lucre/Event.scala	62	7	typed_decl	de.sciss.lucre.Event	read	5	false	Event.read
lucre-core	core/shared/src/main/scala/de/sciss/lucre/store/InMemoryDB.scala	64	22	call_arg	scala.concurrent.stm.TMap	empty	4	false	TMap.empty
lucre-core	core/shared/src/main/scala/de/sciss/lucre/store/InMemoryDB.scala	64	22	call_arg	scala.concurrent.stm.TMap	empty	4	false	TMap.empty
lucre-core	core/shared/src/main/scala/de/sciss/lucre/impl/TMapImpl.scala	29	57	typed_decl	de.sciss.lucre.data.SkipList$.Map	empty	12	false	SkipList.Map.empty
lucre-core	core/shared/src/main/scala/de/sciss/lucre/impl/TMapImpl.scala	30	9	call_arg	de.sciss.serial.TFormat	list	7	false	TFormat.list
lucre-core	core/shared/src/main/scala/de/sciss/lucre/impl/TMapImpl.scala	63	9	typed_decl	de.sciss.lucre.data.SkipList$.Map	read	12	false	SkipList.Map.read
lucre-core	core/shared/src/main/scala/de/sciss/lucre/impl/TMapImpl.scala	64	11	call_arg	de.sciss.serial.TFormat	list	7	false	TFormat.list
lucre-core	core/shared/src/main/scala/de/sciss/lucre/impl/ReactionMapImpl.scala	39	44	call_arg	scala.collection.immutable.Map	empty	4	false	IMap.empty
lucre-core	core/shared/src/main/scala/de/sciss/lucre/impl/ReactionMapImpl.scala	39	44	call_arg	scala.collection.immutable.Map	empty	4	false	IMap.empty
lucre-core	core/shared/src/main/scala/de/sciss/lucre/impl/ObservableImpl.scala	28	34	call_arg	scala.collection.immutable.Vector	empty	6	false	Vector.empty
lucre-core	core/shared/src/main/scala/de/sciss/lucre/impl/ObservableImpl.scala	28	34	call_arg	scala.collection.immutable.Vector	empty	6	false	Vector.empty
lucre-core	core/shared/src/main/scala/de/sciss/lucre/impl/IDummyEvent.scala	36	71	typed_decl	de.sciss.lucre.Disposable	empty	10	false	Disposable.empty
lucre-core	core/shared/src/main/scala/de/sciss/lucre/impl/IDummyEvent.scala	36	71	typed_decl	de.sciss.lucre.Disposable	empty	10	false	Disposable.empty
lucre-core	core/shared/src/main/scala/de/sciss/lucre/impl/IDummyEvent.scala	47	79	typed_decl	de.sciss.lucre.Disposable	empty	10	false	Disposable.empty
lucre-core	core/shared/src/main/scala/de/sciss/lucre/impl/IDummyEvent.scala	47	79	typed_decl	de.sciss.lucre.Disposable	empty	10	false	Disposable.empty
lucre-core	core/shared/src/main/scala/de/sciss/lucre/impl/ObservableImpl.scala	46	73	typed_decl	de.sciss.lucre.Disposable	empty	10	false	Disposable.empty
lucre-core	core/shared/src/main/scala/de/sciss/lucre/impl/ObservableImpl.scala	46	73	typed_decl	de.sciss.lucre.Disposable	empty	10	false	Disposable.empty
lucre-core	core/shared/src/main/scala/de/sciss/lucre/impl/DummyEvent.scala	36	73	typed_decl	de.sciss.lucre.Disposable	empty	10	false	Disposable.empty
lucre-core	core/shared/src/main/scala/de/sciss/lucre/impl/DummyEvent.scala	36	73	typed_decl	de.sciss.lucre.Disposable	empty	10	false	Disposable.empty
lucre-core	core/shared/src/main/scala/de/sciss/lucre/edit/impl/UndoManagerImpl.scala	60	39	call_arg	scala.Option	empty	6	false	Option.empty
lucre-core	core/shared/src/main/scala/de/sciss/lucre/edit/impl/UndoManagerImpl.scala	60	39	call_arg	scala.Option	empty	6	false	Option.empty
lucre-core	core/shared/src/main/scala/de/sciss/lucre/edit/impl/UndoManagerImpl.scala	61	39	call_arg	scala.Option	empty	6	false	Option.empty
lucre-core	core/shared/src/main/scala/de/sciss/lucre/edit/impl/UndoManagerImpl.scala	61	39	call_arg	scala.Option	empty	6	false	Option.empty
lucre-core	core/shared/src/main/scala/de/sciss/lucre/edit/impl/UndoManagerImpl.scala	75	39	call_arg	scala.Option	empty	6	false	Option.empty
lucre-core	core/shared/src/main/scala/de/sciss/lucre/edit/impl/UndoManagerImpl.scala	75	39	call_arg	scala.Option	empty	6	false	Option.empty
