project	file	line	col	category	expected	member	chars_saved	import_based	source
lucre-data	data/shared/src/main/scala/de/sciss/lucre/data/TotalOrder.scala	255	36	call_arg	scala.Int	MinValue	3	false	Int.MinValue
lucre-data	data/shared/src/main/scala/de/sciss/lucre/data/TotalOrder.scala	264	36	call_arg	scala.Int	MaxValue	3	false	Int.MaxValue
lucre-data	data/shared/src/main/scala/de/sciss/lucre/data/TotalOrder.scala	582	7	typed_decl	de.sciss.lucre.data.TotalOrder$.Map	read	3	false	Map.read
lucre-data	data/shared/src/main/scala/de/sciss/lucre/data/SkipList.scala	72	9	typed_decl	de.sciss.lucre.data.SkipList$.Set	read	3	false	Set.read
lucre-data	data/shared/src/main/scala/de/sciss/lucre/data/SkipList.scala	110	9	typed_decl	de.sciss.lucre.data.SkipList$.Map	read	3	false	Map.read
lucre-data	data/shared/src/main/scala/de/sciss/lucre/data/HASkipList.scala	63	7	typed_decl	de.sciss.lucre.data.HASkipList$.Set	read	14	false	HASkipList.Set.read
lucre-data	data/shared/src/main/scala/de/sciss/lucre/data/HASkipList.scala	77	7	typed_decl	de.sciss.lucre.data.HASkipList$.Map	read	14	false	HASkipList.Map.read
lucre-data	data/shared/src/main/scala/de/sciss/lucre/data/HASkipList.scala	1385	7	typed_decl	de.sciss.lucre.data.HASkipList$.Set	empty	0	true	empty
lucre-data	data/shared/src/main/scala/de/sciss/lucre/data/HASkipList.scala	1454	7	typed_decl	de.sciss.lucre.data.HASkipList$.Map	empty	0	true	empty
lucre-data	data/shared/src/main/scala/de/sciss/lucre/data/DetSkipOctree.scala	134	7	typed_decl	de.sciss.lucre.data.HASkipList$.Set	empty	14	false	HASkipList.Set.empty
lucre-data	data/shared/src/main/scala/de/sciss/lucre/data/DetSkipOctree.scala	1627	46	typed_decl	scala.collection.mutable.Queue	empty	6	false	MQueue.empty
lucre-data	data/shared/src/main/scala/de/sciss/lucre/data/DetSkipOctree.scala	1627	46	typed_decl	scala.collection.mutable.Queue	empty	6	false	MQueue.empty
lucre-data	data/shared/src/main/scala/de/sciss/lucre/data/DetSkipOctree.scala	1629	39	typed_decl	scala.collection.mutable.Queue	empty	6	false	MQueue.empty
lucre-data	data/shared/src/main/scala/de/sciss/lucre/data/DetSkipOctree.scala	1629	39	typed_decl	scala.collection.mutable.Queue	empty	6	false	MQueue.empty
lucre-data	data/shared/src/main/scala/de/sciss/lucre/data/Ancestor.scala	163	46	typed_decl	de.sciss.lucre.data.TotalOrder$.Set	empty	14	false	TotalOrder.Set.empty
lucre-data	data/shared/src/main/scala/de/sciss/lucre/data/Ancestor.scala	184	46	typed_decl	de.sciss.lucre.data.TotalOrder$.Set	read	14	false	TotalOrder.Set.read
lucre-data	data/shared/src/main/scala/de/sciss/lucre/data/Ancestor.scala	521	7	typed_decl	de.sciss.lucre.data.TotalOrder$.Map	empty	14	false	TotalOrder.Map.empty
lucre-data	data/shared/src/main/scala/de/sciss/lucre/data/Ancestor.scala	524	7	typed_decl	de.sciss.lucre.data.TotalOrder$.Map	empty	14	false	TotalOrder.Map.empty
lucre-data	data/shared/src/main/scala/de/sciss/lucre/data/Ancestor.scala	524	56	call_arg	scala.Int	MaxValue	3	false	Int.MaxValue
lucre-data	data/shared/src/main/scala/de/sciss/lucre/data/Ancestor.scala	528	7	typed_decl	de.sciss.lucre.data.SkipOctree	empty	10	false	SkipOctree.empty
lucre-data	data/shared/src/main/scala/de/sciss/lucre/data/Ancestor.scala	575	7	typed_decl	de.sciss.lucre.data.TotalOrder$.Map	read	14	false	TotalOrder.Map.read
lucre-data	data/shared/src/main/scala/de/sciss/lucre/data/Ancestor.scala	578	7	typed_decl	de.sciss.lucre.data.TotalOrder$.Map	read	14	false	TotalOrder.Map.read
lucre-data	data/shared/src/main/scala/de/sciss/lucre/data/Ancestor.scala	583	7	typed_decl	de.sciss.lucre.data.SkipList$.Set	read	12	false	SkipList.Set.read
lucre-data	data/shared/src/main/scala/de/sciss/lucre/data/Ancestor.scala	589	7	typed_decl	de.sciss.lucre.data.SkipList$.Set	read	12	false	SkipList.Set.read
lucre-data	data/shared/src/main/scala/de/sciss/lucre/data/Ancestor.scala	594	7	typed_decl	de.sciss.lucre.data.SkipOctree	read	10	false	SkipOctree.read
