project	file	line	col	category	expected	member	chars_saved	import_based	source
lucre-expr	expr/shared/src/main/scala/de/sciss/lucre/Primitives.scala	391	50	typed_decl	de.sciss.serial.ConstFormat	vec	11	false	ConstFormat.vec
lucre-expr	expr/shared/src/main/scala/de/sciss/lucre/Primitives.scala	447	53	typed_decl	de.sciss.serial.ConstFormat	vec	11	false	ConstFormat.vec
lucre-expr	expr/shared/src/main/scala/de/sciss/lucre/Artifact.scala	33	5	typed_decl	de.sciss.lucre.Artifact$.Modifiable	apply	0	true	apply
lucre-expr	expr/shared/src/main/scala/de/sciss/lucre/impl/BiPinImpl.scala	191	7	typed_decl	de.sciss.lucre.data.SkipList$.Map	empty	12	false	SkipList.Map.empty
lucre-expr	expr/shared/src/main/scala/de/sciss/lucre/impl/BiPinImpl.scala	194	7	typed_decl	de.sciss.lucre.data.SkipList$.Map	read	12	false	SkipList.Map.read
lucre-expr	expr/shared/src/main/scala/de/sciss/lucre/impl/BiGroupImpl.scala	287	7	typed_decl	de.sciss.lucre.data.SkipOctree	empty	10	false	SkipOctree.empty
lucre-expr	expr/shared/src/main/scala/de/sciss/lucre/impl/BiGroupImpl.scala	291	7	typed_decl	de.sciss.lucre.data.SkipOctree	read	10	false	SkipOctree.read
lucre-expr	expr/shared/src/main/scala/de/sciss/lucre/expr/Graph.scala	50	5	typed_decl	de.sciss.lucre.expr.Graph	use	0	true	use
lucre-expr	expr/shared/src/main/scala/de/sciss/lucre/expr/Graph.scala	117	29	if_branch	de.sciss.lucre.expr.IControl	empty	8	false	IControl.empty
lucre-expr	expr/shared/src/main/scala/de/sciss/lucre/expr/Graph.scala	117	29	if_branch	de.sciss.lucre.expr.IControl	empty	8	false	IControl.empty
lucre-expr	expr/shared/src/main/scala/de/sciss/lucre/expr/ExElem.scala	159	42	typed_decl	de.sciss.lucre.Adjunct	readT	7	false	Adjunct.readT
lucre-expr	expr/shared/src/main/scala/de/sciss/lucre/expr/ExElem.scala	256	27	typed_decl	scala.collection.immutable.Set	empty	3	false	Set.empty
lucre-expr	expr/shared/src/main/scala/de/sciss/lucre/expr/ExElem.scala	256	27	typed_decl	scala.collection.immutable.Set	empty	3	false	Set.empty
lucre-expr	expr/shared/src/main/scala/de/sciss/lucre/expr/Context.scala	45	7	typed_decl	de.sciss.lucre.Observable	empty	10	false	Observable.empty
lucre-expr	expr/shared/src/main/scala/de/sciss/lucre/expr/Context.scala	45	7	typed_decl	de.sciss.lucre.Observable	empty	10	false	Observable.empty
lucre-expr	expr/shared/src/main/scala/de/sciss/lucre/expr/CellView.scala	66	9	typed_decl	de.sciss.lucre.Disposable	empty	10	false	Disposable.empty
lucre-expr	expr/shared/src/main/scala/de/sciss/lucre/expr/CellView.scala	66	9	typed_decl	de.sciss.lucre.Disposable	empty	10	false	Disposable.empty
lucre-expr	expr/shared/src/main/scala/de/sciss/lucre/expr/CellView.scala	113	7	typed_decl	de.sciss.lucre.Disposable	empty	10	false	Disposable.empty
lucre-expr	expr/shared/src/main/scala/de/sciss/lucre/expr/CellView.scala	113	7	typed_decl	de.sciss.lucre.Disposable	empty	10	false	Disposable.empty
lucre-expr	expr/shared/src/main/scala/de/sciss/lucre/expr/impl/ITriggerConsumer.scala	27	34	call_arg	scala.collection.immutable.List	empty	4	false	List.empty
lucre-expr	expr/shared/src/main/scala/de/sciss/lucre/expr/impl/ITriggerConsumer.scala	27	34	call_arg	scala.collection.immutable.List	empty	4	false	List.empty
lucre-expr	expr/shared/src/main/scala/de/sciss/lucre/expr/impl/IActionImpl.scala	23	39	call_arg	scala.collection.immutable.List	empty	4	false	List.empty
lucre-expr	expr/shared/src/main/scala/de/sciss/lucre/expr/impl/IActionImpl.scala	23	39	call_arg	scala.collection.immutable.List	empty	4	false	List.empty
lucre-expr	expr/shared/src/main/scala/de/sciss/lucre/expr/impl/ContextImpl.scala	162	5	typed_decl	de.sciss.lucre.Disposable	empty	10	false	Disposable.empty
lucre-expr	expr/shared/src/main/scala/de/sciss/lucre/expr/impl/ContextImpl.scala	162	5	typed_decl	de.sciss.lucre.Disposable	empty	10	false	Disposable.empty
lucre-expr	expr/shared/src/main/scala/de/sciss/lucre/expr/impl/ContextImpl.scala	40	55	call_arg	scala.collection.immutable.Map	empty	3	false	Map.empty
lucre-expr	expr/shared/src/main/scala/de/sciss/lucre/expr/impl/ContextImpl.scala	40	55	call_arg	scala.collection.immutable.Map	empty	3	false	Map.empty
lucre-expr	expr/shared/src/main/scala/de/sciss/lucre/expr/impl/ContextImpl.scala	41	51	typed_decl	scala.concurrent.stm.TMap	empty	4	false	TMap.empty
lucre-expr	expr/shared/src/main/scala/de/sciss/lucre/expr/impl/ContextImpl.scala	41	51	typed_decl	scala.concurrent.stm.TMap	empty	4	false	TMap.empty
lucre-expr	expr/shared/src/main/scala/de/sciss/lucre/expr/impl/ContextImpl.scala	50	42	call_arg	scala.collection.immutable.List	empty	4	false	List.empty
lucre-expr	expr/shared/src/main/scala/de/sciss/lucre/expr/impl/ContextImpl.scala	50	42	call_arg	scala.collection.immutable.List	empty	4	false	List.empty
lucre-expr	expr/shared/src/main/scala/de/sciss/lucre/expr/impl/ContextImpl.scala	51	42	call_arg	scala.collection.immutable.Set	empty	4	false	Set .empty
lucre-expr	expr/shared/src/main/scala/de/sciss/lucre/expr/impl/ContextImpl.scala	51	42	call_arg	scala.collection.immutable.Set	empty	4	false	Set .empty
lucre-expr	expr/shared/src/main/scala/de/sciss/lucre/expr/impl/ContextImpl.scala	54	32	typed_decl	scala.collection.immutable.Map	empty	3	false	Map.empty
lucre-expr	expr/shared/src/main/scala/de/sciss/lucre/expr/impl/ContextImpl.scala	54	32	typed_decl	scala.collection.immutable.Map	empty	3	false	Map.empty
lucre-expr	expr/shared/src/main/scala/de/sciss/lucre/expr/impl/ContextImpl.scala	70	33	if_branch	de.sciss.lucre.Disposable	empty	10	false	Disposable.empty
lucre-expr	expr/shared/src/main/scala/de/sciss/lucre/expr/impl/ContextImpl.scala	70	33	if_branch	de.sciss.lucre.Disposable	empty	10	false	Disposable.empty
lucre-expr	expr/shared/src/main/scala/de/sciss/lucre/expr/impl/ContextImpl.scala	81	28	call_arg	scala.collection.immutable.Map	empty	3	false	Map.empty
lucre-expr	expr/shared/src/main/scala/de/sciss/lucre/expr/impl/ContextImpl.scala	81	28	call_arg	scala.collection.immutable.Map	empty	3	false	Map.empty
lucre-expr	expr/shared/src/main/scala/de/sciss/lucre/expr/impl/ContextImpl.scala	102	46	call_arg	scala.collection.immutable.Set	empty	3	false	Set.empty
lucre-expr	expr/shared/src/main/scala/de/sciss/lucre/expr/impl/ContextImpl.scala	102	46	call_arg	scala.collection.immutable.Set	empty	3	false	Set.empty
lucre-expr	expr/shared/src/main/scala/de/sciss/lucre/expr/impl/CellViewImpl.scala	153	7	typed_decl	de.sciss.serial.TFormat	option	7	false	TFormat.option
lucre-expr	expr/shared/src/main/scala/de/sciss/lucre/expr/impl/CellViewImpl.scala	241	7	typed_decl	de.sciss.lucre.Disposable	seq	10	false	Disposable.seq
lucre-expr	expr/shared/src/main/scala/de/sciss/lucre/expr/impl/CellViewImpl.scala	255	7	typed_decl	de.sciss.lucre.Disposable	seq	10	false	Disposable.seq
