project	file	line	col	category	expected	member	chars_saved	import_based	source
lucre-geom	geom/shared/src/main/scala/de/sciss/lucre/geom/LongSpace.scala	35	39	call_arg	scala.Long	MaxValue	4	false	Long.MaxValue
lucre-geom	geom/shared/src/main/scala/de/sciss/lucre/geom/LongSpace.scala	35	54	call_arg	scala.Long	MaxValue	4	false	Long.MaxValue
lucre-geom	geom/shared/src/main/scala/de/sciss/lucre/geom/LongDistanceMeasure2D.scala	28	20	call_arg	scala.Long	MaxValue	4	false	Long.MaxValue
lucre-geom	geom/shared/src/main/scala/de/sciss/lucre/geom/LongDistanceMeasure2D.scala	137	11	if_branch	scala.Long	MaxValue	4	false	Long.MaxValue
lucre-geom	geom/shared/src/main/scala/de/sciss/lucre/geom/LongDistanceMeasure2D.scala	160	14	if_branch	scala.Long	MaxValue	4	false	Long.MaxValue
lucre-geom	geom/shared/src/main/scala/de/sciss/lucre/geom/LongDistanceMeasure2D.scala	165	14	if_branch	scala.Long	MaxValue	4	false	Long.MaxValue
lucre-geom	geom/shared/src/main/scala/de/sciss/lucre/geom/LongDistanceMeasure2D.scala	181	11	if_branch	scala.Long	MaxValue	4	false	Long.MaxValue
lucre-geom	geom/shared/src/main/scala/de/sciss/lucre/geom/LongDistanceMeasure2D.scala	197	14	if_branch	scala.Long	MaxValue	4	false	Long.MaxValue
lucre-geom	geom/shared/src/main/scala/de/sciss/lucre/geom/LongDistanceMeasure2D.scala	202	14	if_branch	scala.Long	MaxValue	4	false	Long.MaxValue
lucre-geom	geom/shared/src/main/scala/de/sciss/lucre/geom/LongDistanceMeasure2D.scala	437	33	typed_decl	scala.Long	MaxValue	4	false	Long.MaxValue
lucre-geom	geom/shared/src/main/scala/de/sciss/lucre/geom/IntSpace.scala	30	38	call_arg	scala.Int	MaxValue	3	false	Int.MaxValue
lucre-geom	geom/shared/src/main/scala/de/sciss/lucre/geom/IntSpace.scala	30	52	call_arg	scala.Int	MaxValue	3	false	Int.MaxValue
lucre-geom	geom/shared/src/main/scala/de/sciss/lucre/geom/IntSpace.scala	82	38	call_arg	scala.Int	MaxValue	3	false	Int.MaxValue
lucre-geom	geom/shared/src/main/scala/de/sciss/lucre/geom/IntSpace.scala	82	52	call_arg	scala.Int	MaxValue	3	false	Int.MaxValue
lucre-geom	geom/shared/src/main/scala/de/sciss/lucre/geom/IntSpace.scala	82	66	call_arg	scala.Int	MaxValue	3	false	Int.MaxValue
lucre-geom	geom/shared/src/main/scala/de/sciss/lucre/geom/IntSpace.scala	186	54	call_arg	scala.Int	MaxValue	3	false	Int.MaxValue
lucre-geom	geom/shared/src/main/scala/de/sciss/lucre/geom/IntDistanceMeasure3D.scala	28	20	call_arg	scala.Long	MaxValue	4	false	Long.MaxValue
lucre-geom	geom/shared/src/main/scala/de/sciss/lucre/geom/IntDistanceMeasure3D.scala	310	33	typed_decl	scala.Long	MaxValue	4	false	Long.MaxValue
lucre-geom	geom/shared/src/main/scala/de/sciss/lucre/geom/IntDistanceMeasure2D.scala	113	11	if_branch	scala.Long	MaxValue	4	false	Long.MaxValue
lucre-geom	geom/shared/src/main/scala/de/sciss/lucre/geom/IntDistanceMeasure2D.scala	130	14	if_branch	scala.Long	MaxValue	4	false	Long.MaxValue
lucre-geom	geom/shared/src/main/scala/de/sciss/lucre/geom/IntDistanceMeasure2D.scala	135	14	if_branch	scala.Long	MaxValue	4	false	Long.MaxValue
lucre-geom	geom/shared/src/main/scala/de/sciss/lucre/geom/IntDistanceMeasure2D.scala	153	11	if_branch	scala.Long	MaxValue	4	false	Long.MaxValue
lucre-geom	geom/shared/src/main/scala/de/sciss/lucre/geom/IntDistanceMeasure2D.scala	170	14	if_branch	scala.Long	MaxValue	4	false	Long.MaxValue
lucre-geom	geom/shared/src/main/scala/de/sciss/lucre/geom/IntDistanceMeasure2D.scala	175	14	if_branch	scala.Long	MaxValue	4	false	Long.MaxValue
lucre-geom	geom/shared/src/main/scala/de/sciss/lucre/geom/IntDistanceMeasure2D.scala	197	114	if_branch	scala.Long	MaxValue	4	false	Long.MaxValue
lucre-geom	geom/shared/src/main/scala/de/sciss/lucre/geom/IntDistanceMeasure2D.scala	198	114	if_branch	scala.Long	MaxValue	4	false	Long.MaxValue
lucre-geom	geom/shared/src/main/scala/de/sciss/lucre/geom/IntDistanceMeasure2D.scala	199	114	if_branch	scala.Long	MaxValue	4	false	Long.MaxValue
lucre-geom	geom/shared/src/main/scala/de/sciss/lucre/geom/IntDistanceMeasure2D.scala	227	14	if_branch	scala.Long	MaxValue	4	false	Long.MaxValue
lucre-geom	geom/shared/src/main/scala/de/sciss/lucre/geom/IntDistanceMeasure2D.scala	238	14	if_branch	scala.Long	MaxValue	4	false	Long.MaxValue
lucre-geom	geom/shared/src/main/scala/de/sciss/lucre/geom/IntDistanceMeasure2D.scala	249	14	if_branch	scala.Long	MaxValue	4	false	Long.MaxValue
lucre-geom	geom/shared/src/main/scala/de/sciss/lucre/geom/IntDistanceMeasure2D.scala	266	14	if_branch	scala.Long	MaxValue	4	false	Long.MaxValue
lucre-geom	geom/shared/src/main/scala/de/sciss/lucre/geom/IntDistanceMeasure2D.scala	277	14	if_branch	scala.Long	MaxValue	4	false	Long.MaxValue
lucre-geom	geom/shared/src/main/scala/de/sciss/lucre/geom/IntDistanceMeasure2D.scala	288	14	if_branch	scala.Long	MaxValue	4	false	Long.MaxValue
lucre-geom	geom/shared/src/main/scala/de/sciss/lucre/geom/IntDistanceMeasure2D.scala	391	32	typed_decl	scala.Long	MaxValue	4	false	Long.MaxValue
