project	file	line	col	category	expected	member	chars_saved	import_based	source
scala-stm	shared/src/main/scala/scala/concurrent/stm/package.scala	14	50	typed_decl	scala.concurrent.stm.TxnExecutor	defaultAtomic	32	false	scala.concurrent.stm.TxnExecutor.defaultAtomic
scala-stm	shared/src/main/scala/scala/concurrent/stm/package.scala	20	48	default_arg	java.util.concurrent.TimeUnit	MILLISECONDS	8	false	TimeUnit.MILLISECONDS
scala-stm	shared/src/main/scala/scala/concurrent/stm/TxnExecutor.scala	15	36	typed_decl	scala.concurrent.stm.TxnExecutor	_default	0	true	_default
scala-stm	shared/src/main/scala/scala/concurrent/stm/TxnExecutor.scala	19	33	call_arg	scala.concurrent.stm.TxnExecutor	_default	0	true	_default
scala-stm	shared/src/main/scala/scala/concurrent/stm/TxnExecutor.scala	181	56	default_arg	java.util.concurrent.TimeUnit	MILLISECONDS	8	false	TimeUnit.MILLISECONDS
scala-stm	shared/src/main/scala/scala/concurrent/stm/Txn.scala	200	48	default_arg	java.util.concurrent.TimeUnit	MILLISECONDS	8	false	TimeUnit.MILLISECONDS
scala-stm	shared/src/main/scala/scala/concurrent/stm/Source.scala	85	50	default_arg	java.util.concurrent.TimeUnit	MILLISECONDS	8	false	TimeUnit.MILLISECONDS
scala-stm	shared/src/main/scala/scala/concurrent/stm/CommitBarrier.scala	136	45	default_arg	java.util.concurrent.TimeUnit	MILLISECONDS	8	false	TimeUnit.MILLISECONDS
scala-stm	shared/src/main/scala/scala/concurrent/stm/skel/TxnHashTrie.scala	45	39	call_arg	scala.Array	empty	5	false	Array.empty
scala-stm	shared/src/main/scala/scala/concurrent/stm/skel/TxnHashTrie.scala	45	57	call_arg	scala.Array	empty	5	false	Array.empty
scala-stm	shared/src/main/scala/scala/concurrent/stm/skel/TxnHashTrie.scala	494	57	call_arg	scala.Int	MaxValue	3	false	Int.MaxValue
scala-stm	shared/src/main/scala/scala/concurrent/stm/skel/SimpleRandom.scala	68	17	call_arg	scala.Int	MaxValue	3	false	Int.MaxValue
scala-stm	jvm/src/main/scala/scala/concurrent/stm/ccstm/WaveupManager.scala	146	29	call_arg	scala.Long	MaxValue	4	false	Long.MaxValue
scala-stm	jvm/src/main/scala/scala/concurrent/stm/ccstm/WaveupManager.scala	154	34	call_arg	scala.Long	MaxValue	4	false	Long.MaxValue
scala-stm	jvm/src/main/scala/scala/concurrent/stm/ccstm/RetrySet.scala	18	38	call_arg	scala.Long	MaxValue	4	false	Long.MaxValue
scala-stm	shared/src/main/scala/scala/concurrent/stm/ccstm/InTxnImpl.scala	19	37	typed_decl	scala.concurrent.stm.ccstm.InTxnImpl	active	0	true	active
scala-stm	shared/src/main/scala/scala/concurrent/stm/ccstm/InTxnImpl.scala	21	57	typed_decl	scala.concurrent.stm.ccstm.InTxnImpl	active	0	true	active
scala-stm	shared/src/main/scala/scala/concurrent/stm/ccstm/InTxnImpl.scala	21	64	call_arg	scala.concurrent.stm.ccstm.InTxnImpl	apply	0	true	apply
scala-stm	shared/src/main/scala/scala/concurrent/stm/ccstm/InTxnImpl.scala	231	20	call_arg	scala.Long	MaxValue	4	false	Long.MaxValue
scala-stm	shared/src/main/scala/scala/concurrent/stm/ccstm/InTxnImpl.scala	319	57	call_arg	scala.Long	MaxValue	4	false	Long.MaxValue
scala-stm	jvm/src/main/scala/scala/concurrent/stm/ccstm/CCSTMRefs.scala	77	7	typed_decl	java.util.concurrent.atomic.AtomicLongFieldUpdater	newUpdater	22	false	AtomicLongFieldUpdater.newUpdater
scala-stm	jvm/src/main/scala/scala/concurrent/stm/ccstm/CCSTMRefs.scala	84	7	typed_decl	java.util.concurrent.atomic.AtomicLongFieldUpdater	newUpdater	22	false	AtomicLongFieldUpdater.newUpdater
scala-stm	jvm/src/main/scala/scala/concurrent/stm/ccstm/CCSTMRefs.scala	91	7	typed_decl	java.util.concurrent.atomic.AtomicLongFieldUpdater	newUpdater	22	false	AtomicLongFieldUpdater.newUpdater
scala-stm	jvm/src/main/scala/scala/concurrent/stm/ccstm/CCSTMRefs.scala	98	7	typed_decl	java.util.concurrent.atomic.AtomicLongFieldUpdater	newUpdater	22	false	AtomicLongFieldUpdater.newUpdater
scala-stm	jvm/src/main/scala/scala/concurrent/stm/ccstm/CCSTMRefs.scala	105	7	typed_decl	java.util.concurrent.atomic.AtomicLongFieldUpdater	newUpdater	22	false	AtomicLongFieldUpdater.newUpdater
scala-stm	jvm/src/main/scala/scala/concurrent/stm/ccstm/CCSTMRefs.scala	123	7	typed_decl	java.util.concurrent.atomic.AtomicLongFieldUpdater	newUpdater	22	false	AtomicLongFieldUpdater.newUpdater
scala-stm	jvm/src/main/scala/scala/concurrent/stm/ccstm/CCSTMRefs.scala	130	7	typed_decl	java.util.concurrent.atomic.AtomicLongFieldUpdater	newUpdater	22	false	AtomicLongFieldUpdater.newUpdater
scala-stm	jvm/src/main/scala/scala/concurrent/stm/ccstm/CCSTMRefs.scala	137	7	typed_decl	java.util.concurrent.atomic.AtomicLongFieldUpdater	newUpdater	22	false	AtomicLongFieldUpdater.newUpdater
scala-stm	jvm/src/main/scala/scala/concurrent/stm/ccstm/CCSTMRefs.scala	144	7	typed_decl	java.util.concurrent.atomic.AtomicLongFieldUpdater	newUpdater	22	false	AtomicLongFieldUpdater.newUpdater
scala-stm	jvm/src/main/scala/scala/concurrent/stm/ccstm/CCSTM.scala	326	66	call_arg	scala.concurrent.stm.ccstm.InTxnImpl	currentOrNull	9	false	InTxnImpl.currentOrNull
scala-stm	shared/src/main/scala/scala/concurrent/stm/ccstm/AccessHistory.scala	59	38	typed_decl	scala.Long	MaxValue	4	false	Long.MaxValue
