project	file	line	col	category	expected	member	chars_saved	import_based	source
cats-core	core/src/main/scala/cats/UnorderedFoldable.scala	132	32	typed_decl	cats.Eval	False	4	false	Eval.False
cats-core	core/src/main/scala/cats/UnorderedFoldable.scala	142	32	typed_decl	cats.Eval	True	4	false	Eval.True
cats-core	core/src/main/scala/cats/TraverseFilter.scala	210	33	call_arg	cats.data.Chain	empty	5	false	Chain.empty
cats-core	core/src/main/scala/cats/TraverseFilter.scala	210	33	call_arg	cats.data.Chain	empty	5	false	Chain.empty
cats-core	core/src/main/scala/cats/Traverse.scala	292	33	call_arg	cats.data.Chain	empty	5	false	Chain.empty
cats-core	core/src/main/scala/cats/Traverse.scala	292	33	call_arg	cats.data.Chain	empty	5	false	Chain.empty
cats-core	core/src/main/scala/cats/Reducible.scala	269	17	call_arg	cats.kernel.Order	by	5	false	Order.by
cats-core	core/src/main/scala/cats/Reducible.scala	277	17	call_arg	cats.kernel.Order	by	5	false	Order.by
cats-core	core/src/main/scala/cats/Reducible.scala	312	20	call_arg	cats.kernel.Order	by	5	false	Order.by
cats-core	core/src/main/scala/cats/Reducible.scala	321	20	call_arg	cats.kernel.Order	by	5	false	Order.by
cats-core	core/src/main/scala/cats/Parallel.scala	533	32	typed_decl	cats.arrow.FunctionK	id	9	false	FunctionK.id
cats-core	core/src/main/scala/cats/Parallel.scala	533	32	typed_decl	cats.arrow.FunctionK	id	9	false	FunctionK.id
cats-core	core/src/main/scala/cats/Parallel.scala	535	30	typed_decl	cats.arrow.FunctionK	id	9	false	FunctionK.id
cats-core	core/src/main/scala/cats/Parallel.scala	535	30	typed_decl	cats.arrow.FunctionK	id	9	false	FunctionK.id
cats-core	core/src/main/scala/cats/NonEmptyReducible.scala	58	40	call_arg	cats.Eval	defer	4	false	Eval.defer
cats-core	core/src/main/scala/cats/InjectK.scala	69	51	typed_decl	cats.data.EitherK	leftc	7	false	EitherK.leftc
cats-core	core/src/main/scala/cats/Foldable.scala	125	25	call_arg	cats.Foldable$.Source	fromFoldable	6	false	Source.fromFoldable
cats-core	core/src/main/scala/cats/Foldable.scala	129	18	call_arg	scala.Option	empty	6	false	Option.empty
cats-core	core/src/main/scala/cats/Foldable.scala	129	18	call_arg	scala.Option	empty	6	false	Option.empty
cats-core	core/src/main/scala/cats/Foldable.scala	139	44	call_arg	cats.Eval	defer	4	false	Eval.defer
