project	file	line	col	category	expected	member	chars_saved	import_based	source
cats-effect-std	std/jvm/src/main/scala/cats/effect/std/UUIDGenCompanionPlatform.scala	33	19	call_arg	java.util.UUID	randomUUID	4	false	UUID.randomUUID
cats-effect-std	std/shared/src/main/scala/cats/effect/std/Semaphore.scala	117	5	typed_decl	cats.effect.kernel.Resource	make	8	false	Resource.make
cats-effect-std	std/shared/src/main/scala/cats/effect/std/Semaphore.scala	253	11	typed_decl	cats.effect.kernel.Resource	makeFull	8	false	Resource.makeFull
cats-effect-std	std/jvm/src/main/scala/cats/effect/std/SecureRandomCompanionPlatform.scala	32	5	typed_decl	java.security.SecureRandom	getInstance	26	false	java.security.SecureRandom.getInstance
cats-effect-std	std/jvm/src/main/scala/cats/effect/std/SecureRandomCompanionPlatform.scala	44	53	call_arg	cats.effect.kernel.Sync$.Type	Blocking	9	false	Sync.Type.Blocking
cats-effect-std	std/shared/src/main/scala/cats/effect/std/Random.scala	456	39	call_arg	cats.effect.kernel.Sync$.Type	Delay	9	false	Sync.Type.Delay
cats-effect-std	std/shared/src/main/scala/cats/effect/std/QueueSource.scala	76	28	call_arg	scala.Int	MaxValue	3	false	Int.MaxValue
cats-effect-std	std/shared/src/main/scala/cats/effect/std/Queue.scala	103	32	call_arg	scala.Int	MaxValue	3	false	Int.MaxValue
cats-effect-std	std/shared/src/main/scala/cats/effect/std/Queue.scala	593	13	call_arg	scala.collection.immutable.Queue	empty	10	false	ScalaQueue.empty
cats-effect-std	std/shared/src/main/scala/cats/effect/std/Queue.scala	593	13	call_arg	scala.collection.immutable.Queue	empty	10	false	ScalaQueue.empty
cats-effect-std	std/shared/src/main/scala/cats/effect/std/Queue.scala	593	34	call_arg	scala.collection.immutable.Queue	empty	10	false	ScalaQueue.empty
cats-effect-std	std/shared/src/main/scala/cats/effect/std/Queue.scala	593	34	call_arg	scala.collection.immutable.Queue	empty	10	false	ScalaQueue.empty
cats-effect-std	std/shared/src/main/scala/cats/effect/std/Queue.scala	593	52	call_arg	scala.collection.immutable.Queue	empty	10	false	ScalaQueue.empty
cats-effect-std	std/shared/src/main/scala/cats/effect/std/Queue.scala	593	52	call_arg	scala.collection.immutable.Queue	empty	10	false	ScalaQueue.empty
cats-effect-std	std/shared/src/main/scala/cats/effect/std/Queue.scala	705	49	call_arg	scala.Int	MaxValue	3	false	Int.MaxValue
cats-effect-std	std/shared/src/main/scala/cats/effect/std/Queue.scala	1074	30	call_arg	scala.Long	MinValue	4	false	Long.MinValue
cats-effect-std	std/shared/src/main/scala/cats/effect/std/PQueue.scala	68	13	call_arg	scala.Int	MaxValue	3	false	Int.MaxValue
cats-effect-std	std/shared/src/main/scala/cats/effect/std/PQueue.scala	186	9	call_arg	cats.effect.std.internal.BinomialHeap	empty	12	false	BinomialHeap.empty
cats-effect-std	std/shared/src/main/scala/cats/effect/std/PQueue.scala	188	9	call_arg	scala.collection.immutable.Queue	empty	10	false	ScalaQueue.empty
cats-effect-std	std/shared/src/main/scala/cats/effect/std/PQueue.scala	188	9	call_arg	scala.collection.immutable.Queue	empty	10	false	ScalaQueue.empty
cats-effect-std	std/shared/src/main/scala/cats/effect/std/PQueue.scala	189	9	call_arg	scala.collection.immutable.Queue	empty	10	false	ScalaQueue.empty
cats-effect-std	std/shared/src/main/scala/cats/effect/std/PQueue.scala	189	9	call_arg	scala.collection.immutable.Queue	empty	10	false	ScalaQueue.empty
cats-effect-std	std/shared/src/main/scala/cats/effect/std/MapRef.scala	112	5	typed_decl	cats.effect.std.MapRef	fromNonEmptySeqRefs	0	true	fromNonEmptySeqRefs
cats-effect-std	std/shared/src/main/scala/cats/effect/std/MapRef.scala	139	24	default_arg	scala.collection.immutable.Map	empty	3	false	Map.empty
cats-effect-std	std/shared/src/main/scala/cats/effect/std/MapRef.scala	139	24	default_arg	scala.collection.immutable.Map	empty	3	false	Map.empty
cats-effect-std	std/shared/src/main/scala/cats/effect/std/MapRef.scala	148	24	default_arg	scala.collection.immutable.Map	empty	3	false	Map.empty
cats-effect-std	std/shared/src/main/scala/cats/effect/std/MapRef.scala	148	24	default_arg	scala.collection.immutable.Map	empty	3	false	Map.empty
cats-effect-std	std/shared/src/main/scala/cats/effect/std/MapRef.scala	551	7	typed_decl	cats.effect.std.MapRef	defaultedMapRef	0	true	defaultedMapRef
cats-effect-std	std/jvm/src/main/scala/cats/effect/std/DispatcherPlatform.scala	52	24	call_arg	scala.concurrent.duration.Duration	Inf	8	false	Duration.Inf
cats-effect-std	std/shared/src/main/scala/cats/effect/std/Dequeue.scala	375	28	call_arg	scala.Int	MaxValue	3	false	Int.MaxValue
cats-effect-std	std/shared/src/main/scala/cats/effect/std/Dequeue.scala	85	13	call_arg	scala.Int	MaxValue	3	false	Int.MaxValue
cats-effect-std	std/shared/src/main/scala/cats/effect/std/Dequeue.scala	282	13	call_arg	cats.effect.std.internal.BankersQueue	empty	12	false	BankersQueue.empty
cats-effect-std	std/shared/src/main/scala/cats/effect/std/Dequeue.scala	282	13	call_arg	cats.effect.std.internal.BankersQueue	empty	12	false	BankersQueue.empty
cats-effect-std	std/shared/src/main/scala/cats/effect/std/Dequeue.scala	282	36	call_arg	scala.collection.immutable.Queue	empty	10	false	ScalaQueue.empty
cats-effect-std	std/shared/src/main/scala/cats/effect/std/Dequeue.scala	282	36	call_arg	scala.collection.immutable.Queue	empty	10	false	ScalaQueue.empty
cats-effect-std	std/shared/src/main/scala/cats/effect/std/Dequeue.scala	282	54	call_arg	scala.collection.immutable.Queue	empty	10	false	ScalaQueue.empty
cats-effect-std	std/shared/src/main/scala/cats/effect/std/Dequeue.scala	282	54	call_arg	scala.collection.immutable.Queue	empty	10	false	ScalaQueue.empty
cats-effect-std	std/shared/src/main/scala/cats/effect/std/ConsoleCrossPlatform.scala	47	44	default_arg	cats.Show	fromToString	4	false	Show.fromToString
cats-effect-std	std/shared/src/main/scala/cats/effect/std/ConsoleCrossPlatform.scala	47	44	default_arg	cats.Show	fromToString	4	false	Show.fromToString
cats-effect-std	std/shared/src/main/scala/cats/effect/std/ConsoleCrossPlatform.scala	58	46	default_arg	cats.Show	fromToString	4	false	Show.fromToString
cats-effect-std	std/shared/src/main/scala/cats/effect/std/ConsoleCrossPlatform.scala	58	46	default_arg	cats.Show	fromToString	4	false	Show.fromToString
cats-effect-std	std/shared/src/main/scala/cats/effect/std/ConsoleCrossPlatform.scala	68	44	default_arg	cats.Show	fromToString	4	false	Show.fromToString
cats-effect-std	std/shared/src/main/scala/cats/effect/std/ConsoleCrossPlatform.scala	68	44	default_arg	cats.Show	fromToString	4	false	Show.fromToString
cats-effect-std	std/shared/src/main/scala/cats/effect/std/ConsoleCrossPlatform.scala	79	46	default_arg	cats.Show	fromToString	4	false	Show.fromToString
cats-effect-std	std/shared/src/main/scala/cats/effect/std/ConsoleCrossPlatform.scala	79	46	default_arg	cats.Show	fromToString	4	false	Show.fromToString
cats-effect-std	std/shared/src/main/scala/cats/effect/std/ConsoleCrossPlatform.scala	180	46	default_arg	cats.Show	fromToString	4	false	Show.fromToString
cats-effect-std	std/shared/src/main/scala/cats/effect/std/ConsoleCrossPlatform.scala	180	46	default_arg	cats.Show	fromToString	4	false	Show.fromToString
cats-effect-std	std/shared/src/main/scala/cats/effect/std/ConsoleCrossPlatform.scala	188	48	default_arg	cats.Show	fromToString	4	false	Show.fromToString
cats-effect-std	std/shared/src/main/scala/cats/effect/std/ConsoleCrossPlatform.scala	188	48	default_arg	cats.Show	fromToString	4	false	Show.fromToString
cats-effect-std	std/shared/src/main/scala/cats/effect/std/ConsoleCrossPlatform.scala	196	46	default_arg	cats.Show	fromToString	4	false	Show.fromToString
cats-effect-std	std/shared/src/main/scala/cats/effect/std/ConsoleCrossPlatform.scala	196	46	default_arg	cats.Show	fromToString	4	false	Show.fromToString
cats-effect-std	std/shared/src/main/scala/cats/effect/std/ConsoleCrossPlatform.scala	201	48	default_arg	cats.Show	fromToString	4	false	Show.fromToString
cats-effect-std	std/shared/src/main/scala/cats/effect/std/ConsoleCrossPlatform.scala	201	48	default_arg	cats.Show	fromToString	4	false	Show.fromToString
cats-effect-std	std/shared/src/main/scala/cats/effect/std/ConsoleCrossPlatform.scala	215	30	call_arg	java.nio.charset.CodingErrorAction	REPLACE	17	false	CodingErrorAction.REPLACE
cats-effect-std	std/jvm-native/src/main/scala/cats/effect/std/Console.scala	68	25	call_arg	java.nio.charset.Charset	defaultCharset	7	false	Charset.defaultCharset
cats-effect-std	std/jvm-native/src/main/scala/cats/effect/std/Console.scala	86	44	default_arg	cats.Show	fromToString	4	false	Show.fromToString
cats-effect-std	std/jvm-native/src/main/scala/cats/effect/std/Console.scala	86	44	default_arg	cats.Show	fromToString	4	false	Show.fromToString
cats-effect-std	std/jvm-native/src/main/scala/cats/effect/std/Console.scala	88	46	default_arg	cats.Show	fromToString	4	false	Show.fromToString
cats-effect-std	std/jvm-native/src/main/scala/cats/effect/std/Console.scala	88	46	default_arg	cats.Show	fromToString	4	false	Show.fromToString
cats-effect-std	std/jvm-native/src/main/scala/cats/effect/std/Console.scala	90	44	default_arg	cats.Show	fromToString	4	false	Show.fromToString
cats-effect-std	std/jvm-native/src/main/scala/cats/effect/std/Console.scala	90	44	default_arg	cats.Show	fromToString	4	false	Show.fromToString
cats-effect-std	std/jvm-native/src/main/scala/cats/effect/std/Console.scala	92	46	default_arg	cats.Show	fromToString	4	false	Show.fromToString
cats-effect-std	std/jvm-native/src/main/scala/cats/effect/std/Console.scala	92	46	default_arg	cats.Show	fromToString	4	false	Show.fromToString
