project	file	line	col	category	expected	member	chars_saved	import_based	source
cats-effect	core/shared/src/main/scala/cats/effect/package.scala	84	31	typed_decl	scala.collection.immutable.Map	empty	30	false	scala.collection.immutable.Map.empty
cats-effect	core/shared/src/main/scala/cats/effect/package.scala	84	31	typed_decl	scala.collection.immutable.Map	empty	30	false	scala.collection.immutable.Map.empty
cats-effect	core/shared/src/main/scala/cats/effect/IO.scala	2357	14	match_case	cats.effect.IO	RealTime	2	false	IO.RealTime
cats-effect	core/shared/src/main/scala/cats/effect/IO.scala	2358	14	match_case	cats.effect.IO	Monotonic	2	false	IO.Monotonic
cats-effect	core/shared/src/main/scala/cats/effect/SyncIO.scala	204	14	match_case	cats.effect.SyncIO	RealTime	6	false	SyncIO.RealTime
cats-effect	core/shared/src/main/scala/cats/effect/SyncIO.scala	205	14	match_case	cats.effect.SyncIO	Monotonic	6	false	SyncIO.Monotonic
cats-effect	core/shared/src/main/scala/cats/effect/SyncIO.scala	441	5	typed_decl	cats.effect.SyncIO	apply	0	true	apply
cats-effect	core/shared/src/main/scala/cats/effect/SyncIO.scala	457	22	ascription	cats.effect.SyncIO	pure	0	true	pure
cats-effect	core/shared/src/main/scala/cats/effect/SyncIO.scala	462	5	typed_decl	cats.effect.SyncIO	Monotonic	0	true	Monotonic
cats-effect	core/shared/src/main/scala/cats/effect/SyncIO.scala	498	5	typed_decl	cats.effect.SyncIO	RealTime	0	true	RealTime
cats-effect	core/shared/src/main/scala/cats/effect/SyncIO.scala	509	28	typed_decl	cats.effect.SyncIO	_unit	0	true	_unit
cats-effect	core/shared/src/main/scala/cats/effect/SyncIO.scala	535	12	call_arg	cats.effect.SyncIO	raiseError	0	true	raiseError
cats-effect	core/shared/src/main/scala/cats/effect/SyncIO.scala	552	5	typed_decl	cats.Show	show	4	false	Show.show
cats-effect	core/shared/src/main/scala/cats/effect/SyncIO.scala	563	28	typed_decl	cats.effect.SyncIO	pure	0	true	pure
cats-effect	core/shared/src/main/scala/cats/effect/SyncIO.scala	588	7	typed_decl	cats.effect.SyncIO	pure	6	false	SyncIO.pure
cats-effect	core/shared/src/main/scala/cats/effect/SyncIO.scala	591	7	typed_decl	cats.effect.SyncIO	raiseError	6	false	SyncIO.raiseError
cats-effect	core/shared/src/main/scala/cats/effect/SyncIO.scala	600	7	typed_decl	cats.effect.SyncIO	monotonic	6	false	SyncIO.monotonic
cats-effect	core/shared/src/main/scala/cats/effect/SyncIO.scala	603	7	typed_decl	cats.effect.SyncIO	realTime	6	false	SyncIO.realTime
cats-effect	core/shared/src/main/scala/cats/effect/SyncIO.scala	619	7	typed_decl	cats.effect.SyncIO	unit	6	false	SyncIO.unit
cats-effect	core/shared/src/main/scala/cats/effect/ResourceApp.scala	107	72	call_arg	cats.effect.ExitCode	Success	8	false	ExitCode.Success
cats-effect	core/shared/src/main/scala/cats/effect/LiftIO.scala	46	9	typed_decl	cats.data.EitherT	liftF	7	false	EitherT.liftF
cats-effect	core/shared/src/main/scala/cats/effect/LiftIO.scala	68	9	typed_decl	cats.data.OptionT	liftF	7	false	OptionT.liftF
cats-effect	core/shared/src/main/scala/cats/effect/LiftIO.scala	93	9	typed_decl	cats.data.WriterT	liftF	7	false	WriterT.liftF
cats-effect	core/shared/src/main/scala/cats/effect/LiftIO.scala	105	9	typed_decl	cats.data.IorT	liftF	4	false	IorT.liftF
cats-effect	core/shared/src/main/scala/cats/effect/LiftIO.scala	130	9	typed_decl	cats.data.ContT	liftF	5	false	ContT.liftF
cats-effect	core/shared/src/main/scala/cats/effect/LiftIO.scala	155	7	typed_decl	cats.effect.kernel.Resource	eval	8	false	Resource.eval
cats-effect	core/jvm/src/main/scala/cats/effect/IOPlatform.scala	82	55	call_arg	java.util.concurrent.TimeUnit	NANOSECONDS	8	false	TimeUnit.NANOSECONDS
cats-effect	core/shared/src/main/scala/cats/effect/IO.scala	1191	5	typed_decl	cats.Show	show	4	false	Show.show
