project	file	line	col	category	expected	member	chars_saved	import_based	source
cats-kernel	kernel/src/main/scala/cats/kernel/Order.scala	57	44	typed_decl	cats.kernel.Comparison	fromInt	10	false	Comparison.fromInt
cats-kernel	kernel/src/main/scala/cats/kernel/Order.scala	225	29	typed_decl	cats.kernel.Order	allEqual	0	true	allEqual
cats-kernel	kernel/src/main/scala/cats/kernel/Order.scala	225	29	typed_decl	cats.kernel.Order	allEqual	0	true	allEqual
cats-kernel	kernel/src/main/scala/cats/kernel/Order.scala	226	57	typed_decl	cats.kernel.Order	whenEqual	5	false	Order.whenEqual
cats-kernel	kernel/src/main/scala/cats/kernel/Group.scala	80	19	call_arg	scala.Int	MinValue	3	false	Int.MinValue
cats-kernel	kernel/src/main/scala/cats/kernel/Semigroup.scala	353	26	typed_decl	scala.concurrent.Future	successful	6	false	Future.successful
cats-kernel	kernel/src/main/scala/cats/kernel/Eq.scala	128	50	typed_decl	cats.kernel.Eq	and	2	false	Eq.and
cats-kernel	kernel/src/main/scala/cats/kernel/Eq.scala	143	50	typed_decl	cats.kernel.Eq	or	2	false	Eq.or
cats-kernel	kernel/src/main/scala/cats/kernel/Comparison.scala	35	29	call_arg	cats.kernel.Comparison$.GreaterThan$	GreaterThan	10	false	Comparison.GreaterThan
cats-kernel	kernel/src/main/scala/cats/kernel/Comparison.scala	36	29	call_arg	cats.kernel.Comparison$.EqualTo$	EqualTo	10	false	Comparison.EqualTo
cats-kernel	kernel/src/main/scala/cats/kernel/Comparison.scala	37	29	call_arg	cats.kernel.Comparison$.LessThan$	LessThan	10	false	Comparison.LessThan
cats-kernel	kernel/src/main/scala/cats/kernel/Comparison.scala	40	18	if_branch	cats.kernel.Comparison	GreaterThan	10	false	Comparison.GreaterThan
cats-kernel	kernel/src/main/scala/cats/kernel/Comparison.scala	41	24	if_branch	cats.kernel.Comparison	EqualTo	10	false	Comparison.EqualTo
cats-kernel	kernel/src/main/scala/cats/kernel/Comparison.scala	42	10	if_branch	cats.kernel.Comparison	LessThan	10	false	Comparison.LessThan
cats-kernel	kernel/src/main/scala/cats/kernel/Comparison.scala	53	31	typed_decl	cats.kernel.Comparison	EqualTo	0	true	EqualTo
cats-kernel	kernel/src/main/scala/cats/kernel/Comparison.scala	56	14	match_case	cats.kernel.Comparison	EqualTo	0	true	EqualTo
cats-kernel	kernel/src/main/scala/cats/kernel/Enumerable.scala	110	38	typed_decl	cats.kernel.Order	reverse	5	false	Order.reverse
cats-kernel	kernel/src/main/scala/cats/kernel/instances/VectorInstances.scala	73	26	typed_decl	scala.collection.immutable.Vector	empty	6	false	Vector.empty
cats-kernel	kernel/src/main/scala/cats/kernel/instances/VectorInstances.scala	73	26	typed_decl	scala.collection.immutable.Vector	empty	6	false	Vector.empty
cats-kernel	kernel/src/main/scala/cats/kernel/instances/UUIDInstances.scala	37	42	call_arg	scala.Long	MinValue	4	false	Long.MinValue
cats-kernel	kernel/src/main/scala/cats/kernel/instances/UUIDInstances.scala	37	57	call_arg	scala.Long	MinValue	4	false	Long.MinValue
cats-kernel	kernel/src/main/scala/cats/kernel/instances/UUIDInstances.scala	38	42	call_arg	scala.Long	MaxValue	4	false	Long.MaxValue
cats-kernel	kernel/src/main/scala/cats/kernel/instances/UUIDInstances.scala	38	57	call_arg	scala.Long	MaxValue	4	false	Long.MaxValue
cats-kernel	kernel/.jvm/target/scala-3.3.4/src_managed/main/cats/kernel/instances/TupleInstances.scala	3169	32	typed_decl	cats.kernel.Semilattice	instance	11	false	Semilattice.instance
cats-kernel	kernel/.jvm/target/scala-3.3.4/src_managed/main/cats/kernel/instances/TupleInstances.scala	3175	30	typed_decl	cats.kernel.Semilattice	instance	11	false	Semilattice.instance
cats-kernel	kernel/.jvm/target/scala-3.3.4/src_managed/main/cats/kernel/instances/TupleInstances.scala	3181	34	typed_decl	cats.kernel.Semilattice	instance	11	false	Semilattice.instance
cats-kernel	kernel/.jvm/target/scala-3.3.4/src_managed/main/cats/kernel/instances/TupleInstances.scala	3187	38	typed_decl	cats.kernel.Semilattice	instance	11	false	Semilattice.instance
cats-kernel	kernel/.jvm/target/scala-3.3.4/src_managed/main/cats/kernel/instances/TupleInstances.scala	3193	42	typed_decl	cats.kernel.Semilattice	instance	11	false	Semilattice.instance
cats-kernel	kernel/.jvm/target/scala-3.3.4/src_managed/main/cats/kernel/instances/TupleInstances.scala	3199	46	typed_decl	cats.kernel.Semilattice	instance	11	false	Semilattice.instance
cats-kernel	kernel/.jvm/target/scala-3.3.4/src_managed/main/cats/kernel/instances/TupleInstances.scala	3205	50	typed_decl	cats.kernel.Semilattice	instance	11	false	Semilattice.instance
cats-kernel	kernel/.jvm/target/scala-3.3.4/src_managed/main/cats/kernel/instances/TupleInstances.scala	3211	54	typed_decl	cats.kernel.Semilattice	instance	11	false	Semilattice.instance
cats-kernel	kernel/.jvm/target/scala-3.3.4/src_managed/main/cats/kernel/instances/TupleInstances.scala	3217	58	typed_decl	cats.kernel.Semilattice	instance	11	false	Semilattice.instance
cats-kernel	kernel/.jvm/target/scala-3.3.4/src_managed/main/cats/kernel/instances/TupleInstances.scala	3223	62	typed_decl	cats.kernel.Semilattice	instance	11	false	Semilattice.instance
cats-kernel	kernel/.jvm/target/scala-3.3.4/src_managed/main/cats/kernel/instances/TupleInstances.scala	3229	67	typed_decl	cats.kernel.Semilattice	instance	11	false	Semilattice.instance
cats-kernel	kernel/.jvm/target/scala-3.3.4/src_managed/main/cats/kernel/instances/TupleInstances.scala	3235	72	typed_decl	cats.kernel.Semilattice	instance	11	false	Semilattice.instance
cats-kernel	kernel/.jvm/target/scala-3.3.4/src_managed/main/cats/kernel/instances/TupleInstances.scala	3241	77	typed_decl	cats.kernel.Semilattice	instance	11	false	Semilattice.instance
cats-kernel	kernel/.jvm/target/scala-3.3.4/src_managed/main/cats/kernel/instances/TupleInstances.scala	3247	82	typed_decl	cats.kernel.Semilattice	instance	11	false	Semilattice.instance
cats-kernel	kernel/.jvm/target/scala-3.3.4/src_managed/main/cats/kernel/instances/TupleInstances.scala	3253	87	typed_decl	cats.kernel.Semilattice	instance	11	false	Semilattice.instance
cats-kernel	kernel/.jvm/target/scala-3.3.4/src_managed/main/cats/kernel/instances/TupleInstances.scala	3259	92	typed_decl	cats.kernel.Semilattice	instance	11	false	Semilattice.instance
cats-kernel	kernel/.jvm/target/scala-3.3.4/src_managed/main/cats/kernel/instances/TupleInstances.scala	3265	97	typed_decl	cats.kernel.Semilattice	instance	11	false	Semilattice.instance
cats-kernel	kernel/.jvm/target/scala-3.3.4/src_managed/main/cats/kernel/instances/TupleInstances.scala	3271	102	typed_decl	cats.kernel.Semilattice	instance	11	false	Semilattice.instance
cats-kernel	kernel/.jvm/target/scala-3.3.4/src_managed/main/cats/kernel/instances/TupleInstances.scala	3277	107	typed_decl	cats.kernel.Semilattice	instance	11	false	Semilattice.instance
cats-kernel	kernel/.jvm/target/scala-3.3.4/src_managed/main/cats/kernel/instances/TupleInstances.scala	3283	112	typed_decl	cats.kernel.Semilattice	instance	11	false	Semilattice.instance
cats-kernel	kernel/.jvm/target/scala-3.3.4/src_managed/main/cats/kernel/instances/TupleInstances.scala	3289	117	typed_decl	cats.kernel.Semilattice	instance	11	false	Semilattice.instance
cats-kernel	kernel/.jvm/target/scala-3.3.4/src_managed/main/cats/kernel/instances/TupleInstances.scala	3295	122	typed_decl	cats.kernel.Semilattice	instance	11	false	Semilattice.instance
cats-kernel	kernel/.jvm/target/scala-3.3.4/src_managed/main/cats/kernel/instances/TupleInstances.scala	3035	30	typed_decl	cats.kernel.Semigroup	instance	9	false	Semigroup.instance
cats-kernel	kernel/.jvm/target/scala-3.3.4/src_managed/main/cats/kernel/instances/TupleInstances.scala	3041	28	typed_decl	cats.kernel.Semigroup	instance	9	false	Semigroup.instance
cats-kernel	kernel/.jvm/target/scala-3.3.4/src_managed/main/cats/kernel/instances/TupleInstances.scala	3047	32	typed_decl	cats.kernel.Semigroup	instance	9	false	Semigroup.instance
cats-kernel	kernel/.jvm/target/scala-3.3.4/src_managed/main/cats/kernel/instances/TupleInstances.scala	3053	36	typed_decl	cats.kernel.Semigroup	instance	9	false	Semigroup.instance
cats-kernel	kernel/.jvm/target/scala-3.3.4/src_managed/main/cats/kernel/instances/TupleInstances.scala	3059	40	typed_decl	cats.kernel.Semigroup	instance	9	false	Semigroup.instance
cats-kernel	kernel/.jvm/target/scala-3.3.4/src_managed/main/cats/kernel/instances/TupleInstances.scala	3065	44	typed_decl	cats.kernel.Semigroup	instance	9	false	Semigroup.instance
cats-kernel	kernel/.jvm/target/scala-3.3.4/src_managed/main/cats/kernel/instances/TupleInstances.scala	3071	48	typed_decl	cats.kernel.Semigroup	instance	9	false	Semigroup.instance
cats-kernel	kernel/.jvm/target/scala-3.3.4/src_managed/main/cats/kernel/instances/TupleInstances.scala	3077	52	typed_decl	cats.kernel.Semigroup	instance	9	false	Semigroup.instance
cats-kernel	kernel/.jvm/target/scala-3.3.4/src_managed/main/cats/kernel/instances/TupleInstances.scala	3083	56	typed_decl	cats.kernel.Semigroup	instance	9	false	Semigroup.instance
cats-kernel	kernel/.jvm/target/scala-3.3.4/src_managed/main/cats/kernel/instances/TupleInstances.scala	3089	60	typed_decl	cats.kernel.Semigroup	instance	9	false	Semigroup.instance
