project	file	line	col	category	expected	member	chars_saved	import_based	source
cats-laws	laws/src/main/scala/cats/laws/ParallelLaws.scala	39	5	typed_decl	cats.laws.ParallelLaws	apply	0	true	apply
cats-laws	laws/src/main/scala/cats/laws/NonEmptyParallelLaws.scala	46	5	typed_decl	cats.laws.NonEmptyParallelLaws	apply	0	true	apply
cats-laws	laws/src/main/scala/cats/laws/FoldableLaws.scala	141	50	call_arg	scala.Option	empty	6	false	Option.empty
cats-laws	laws/src/main/scala/cats/laws/FoldableLaws.scala	141	50	call_arg	scala.Option	empty	6	false	Option.empty
cats-laws	laws/src/main/scala/cats/laws/FoldableLaws.scala	150	28	call_arg	scala.collection.immutable.List	empty	4	false	List.empty
cats-laws	laws/src/main/scala/cats/laws/FoldableLaws.scala	150	28	call_arg	scala.collection.immutable.List	empty	4	false	List.empty
cats-laws	laws/src/main/scala/cats/laws/FlatMapLaws.scala	75	52	call_arg	scala.Option	empty	6	false	Option.empty
cats-laws	laws/src/main/scala/cats/laws/FlatMapLaws.scala	75	52	call_arg	scala.Option	empty	6	false	Option.empty
cats-laws	laws/src/main/scala/cats/laws/discipline/Eq.scala	41	5	typed_decl	cats.kernel.Eq	by	2	false	Eq.by
cats-laws	laws/src/main/scala/cats/laws/discipline/Eq.scala	50	5	typed_decl	cats.kernel.Eq	by	2	false	Eq.by
cats-laws	laws/src/main/scala/cats/laws/discipline/Eq.scala	53	5	typed_decl	cats.kernel.Eq	by	2	false	Eq.by
cats-laws	laws/src/main/scala/cats/laws/discipline/Eq.scala	56	5	typed_decl	cats.kernel.Eq	by	2	false	Eq.by
cats-laws	laws/src/main/scala/cats/laws/discipline/Eq.scala	59	5	typed_decl	cats.kernel.Eq	by	2	false	Eq.by
cats-laws	laws/src/main/scala/cats/laws/discipline/Eq.scala	62	5	typed_decl	cats.kernel.Eq	by	2	false	Eq.by
cats-laws	laws/src/main/scala/cats/laws/discipline/Eq.scala	65	5	typed_decl	cats.kernel.Eq	by	2	false	Eq.by
cats-laws	laws/src/main/scala/cats/laws/discipline/Eq.scala	68	5	typed_decl	cats.kernel.Eq	by	2	false	Eq.by
cats-laws	laws/src/main/scala/cats/laws/discipline/Eq.scala	71	5	typed_decl	cats.kernel.Eq	by	2	false	Eq.by
cats-laws	laws/src/main/scala/cats/laws/discipline/Eq.scala	74	5	typed_decl	cats.kernel.Eq	by	2	false	Eq.by
cats-laws	laws/src/main/scala/cats/laws/discipline/Eq.scala	77	5	typed_decl	cats.kernel.Eq	by	2	false	Eq.by
cats-laws	laws/src/main/scala/cats/laws/discipline/Eq.scala	83	5	typed_decl	cats.kernel.Eq	by	2	false	Eq.by
cats-laws	laws/src/main/scala/cats/laws/discipline/Eq.scala	86	5	typed_decl	cats.kernel.Eq	by	2	false	Eq.by
cats-laws	laws/src/main/scala/cats/laws/discipline/Eq.scala	89	5	typed_decl	cats.kernel.Eq	by	2	false	Eq.by
cats-laws	laws/src/main/scala/cats/laws/discipline/arbitrary.scala	161	15	call_arg	org.scalacheck.Gen	oneOf	3	false	Gen.oneOf
cats-laws	laws/src/main/scala/cats/laws/discipline/arbitrary.scala	168	7	call_arg	org.scalacheck.Gen	oneOf	3	false	Gen.oneOf
cats-laws	laws/src/main/scala/cats/laws/discipline/arbitrary.scala	217	7	call_arg	org.scalacheck.Gen	oneOf	3	false	Gen.oneOf
cats-laws	laws/src/main/scala/cats/laws/discipline/arbitrary.scala	263	15	call_arg	org.scalacheck.Gen	oneOf	3	false	Gen.oneOf
cats-laws	laws/src/main/scala/cats/laws/discipline/arbitrary.scala	275	15	call_arg	cats.Show	fromToString	4	false	Show.fromToString
cats-laws	laws/src/main/scala/cats/laws/discipline/arbitrary.scala	275	15	call_arg	cats.Show	fromToString	4	false	Show.fromToString
cats-laws	laws/src/main/scala/cats/laws/discipline/arbitrary.scala	334	15	call_arg	cats.kernel.Hash	fromUniversalHashCode	4	false	Hash.fromUniversalHashCode
cats-laws	laws/src/main/scala/cats/laws/discipline/arbitrary.scala	334	15	call_arg	cats.kernel.Hash	fromUniversalHashCode	4	false	Hash.fromUniversalHashCode
cats-laws	laws/src/main/scala/cats/laws/discipline/arbitrary.scala	396	31	call_arg	cats.data.Chain	nil	5	false	Chain.nil
cats-laws	laws/src/main/scala/cats/laws/discipline/arbitrary.scala	410	7	typed_decl	org.scalacheck.Gen	frequency	3	false	Gen.frequency
cats-laws	laws/src/main/scala/cats/laws/discipline/arbitrary.scala	413	15	call_arg	org.scalacheck.Gen	sized	3	false	Gen.sized
cats-laws	laws/src/main/scala/cats/laws/discipline/arbitrary.scala	423	15	call_arg	org.scalacheck.Gen	oneOf	3	false	Gen.oneOf
cats-laws	laws/src/main/scala/cats/laws/discipline/UnorderedTraverseTests.scala	57	52	call_arg	org.scalacheck.Prop	forAll	0	true	forAll
cats-laws	laws/src/main/scala/cats/laws/discipline/UnorderedTraverseTests.scala	60	50	call_arg	org.scalacheck.Prop	forAll	0	true	forAll
cats-laws	laws/src/main/scala/cats/laws/discipline/UnorderedTraverseTests.scala	61	54	call_arg	org.scalacheck.Prop	forAll	0	true	forAll
cats-laws	laws/src/main/scala/cats/laws/discipline/UnorderedFoldableTests.scala	47	59	call_arg	org.scalacheck.Prop	forAll	0	true	forAll
cats-laws	laws/src/main/scala/cats/laws/discipline/UnorderedFoldableTests.scala	48	39	call_arg	org.scalacheck.Prop	forAll	0	true	forAll
cats-laws	laws/src/main/scala/cats/laws/discipline/UnorderedFoldableTests.scala	49	42	call_arg	org.scalacheck.Prop	forAll	0	true	forAll
cats-laws	laws/src/main/scala/cats/laws/discipline/UnorderedFoldableTests.scala	50	33	call_arg	org.scalacheck.Prop	forAll	0	true	forAll
cats-laws	laws/src/main/scala/cats/laws/discipline/UnorderedFoldableTests.scala	51	31	call_arg	org.scalacheck.Prop	forAll	0	true	forAll
cats-laws	laws/src/main/scala/cats/laws/discipline/UnorderedFoldableTests.scala	52	27	call_arg	org.scalacheck.Prop	forAll	0	true	forAll
cats-laws	laws/src/main/scala/cats/laws/discipline/UnorderedFoldableTests.scala	53	27	call_arg	org.scalacheck.Prop	forAll	0	true	forAll
cats-laws	laws/src/main/scala/cats/laws/discipline/UnorderedFoldableTests.scala	54	44	call_arg	org.scalacheck.Prop	forAll	0	true	forAll
cats-laws	laws/src/main/scala/cats/laws/discipline/UnorderedFoldableTests.scala	55	44	call_arg	org.scalacheck.Prop	forAll	0	true	forAll
cats-laws	laws/src/main/scala/cats/laws/discipline/UnorderedFoldableTests.scala	56	46	call_arg	org.scalacheck.Prop	forAll	0	true	forAll
cats-laws	laws/src/main/scala/cats/laws/discipline/TraverseTests.scala	72	32	call_arg	org.scalacheck.Prop	forAll	0	true	forAll
cats-laws	laws/src/main/scala/cats/laws/discipline/TraverseTests.scala	73	46	call_arg	org.scalacheck.Prop	forAll	0	true	forAll
cats-laws	laws/src/main/scala/cats/laws/discipline/TraverseTests.scala	74	44	call_arg	org.scalacheck.Prop	forAll	0	true	forAll
cats-laws	laws/src/main/scala/cats/laws/discipline/TraverseTests.scala	75	35	call_arg	org.scalacheck.Prop	forAll	0	true	forAll
cats-laws	laws/src/main/scala/cats/laws/discipline/TraverseTests.scala	76	38	call_arg	org.scalacheck.Prop	forAll	0	true	forAll
cats-laws	laws/src/main/scala/cats/laws/discipline/TraverseTests.scala	77	41	call_arg	org.scalacheck.Prop	forAll	0	true	forAll
cats-laws	laws/src/main/scala/cats/laws/discipline/TraverseTests.scala	78	41	call_arg	org.scalacheck.Prop	forAll	0	true	forAll
