project	file	line	col	category	expected	member	chars_saved	import_based	source
scalacheck-effect	core/shared/src/main/scala/org/scalacheck/effect/PropF.scala	60	41	default_arg	org.scalacheck.Gen$.Parameters	default	14	false	Gen.Parameters.default
scalacheck-effect	core/shared/src/main/scala/org/scalacheck/effect/PropF.scala	85	60	call_arg	org.scalacheck.util.FreqMap	empty	7	false	FreqMap.empty
scalacheck-effect	core/shared/src/main/scala/org/scalacheck/effect/PropF.scala	85	60	call_arg	org.scalacheck.util.FreqMap	empty	7	false	FreqMap.empty
scalacheck-effect	core/shared/src/main/scala/org/scalacheck/effect/PropF.scala	87	63	call_arg	org.scalacheck.util.FreqMap	empty	7	false	FreqMap.empty
scalacheck-effect	core/shared/src/main/scala/org/scalacheck/effect/PropF.scala	87	63	call_arg	org.scalacheck.util.FreqMap	empty	7	false	FreqMap.empty
scalacheck-effect	core/shared/src/main/scala/org/scalacheck/effect/PropF.scala	75	37	default_arg	org.scalacheck.Test$.Parameters	default	15	false	Test.Parameters.default
scalacheck-effect	core/shared/src/main/scala/org/scalacheck/effect/PropF.scala	76	35	default_arg	org.scalacheck.Gen$.Parameters	default	14	false	Gen.Parameters.default
scalacheck-effect	core/shared/src/main/scala/org/scalacheck/effect/PropF.scala	160	25	call_arg	scala.collection.immutable.Set	empty	3	false	Set.empty
scalacheck-effect	core/shared/src/main/scala/org/scalacheck/effect/PropF.scala	160	25	call_arg	scala.collection.immutable.Set	empty	3	false	Set.empty
scalacheck-effect	core/shared/src/main/scala/org/scalacheck/effect/PropF.scala	160	36	call_arg	scala.collection.immutable.Set	empty	3	false	Set.empty
scalacheck-effect	core/shared/src/main/scala/org/scalacheck/effect/PropF.scala	160	36	call_arg	scala.collection.immutable.Set	empty	3	false	Set.empty
scalacheck-effect	core/shared/src/main/scala/org/scalacheck/effect/PropF.scala	163	5	typed_decl	org.scalacheck.effect.PropF	status	0	true	status
scalacheck-effect	core/shared/src/main/scala/org/scalacheck/effect/PropF.scala	166	5	typed_decl	org.scalacheck.effect.PropF	status	0	true	status
scalacheck-effect	core/shared/src/main/scala/org/scalacheck/effect/PropF.scala	169	5	typed_decl	org.scalacheck.effect.PropF	status	0	true	status
scalacheck-effect	core/shared/src/main/scala/org/scalacheck/effect/PropF.scala	172	5	typed_decl	org.scalacheck.effect.PropF	status	0	true	status
scalacheck-effect	core/shared/src/main/scala/org/scalacheck/effect/PropF.scala	175	5	typed_decl	org.scalacheck.effect.PropF	status	0	true	status
scalacheck-effect	core/shared/src/main/scala/org/scalacheck/effect/PropF.scala	179	62	if_branch	org.scalacheck.effect.PropF	passed	0	true	passed
scalacheck-effect	core/shared/src/main/scala/org/scalacheck/effect/PropF.scala	179	74	if_branch	org.scalacheck.effect.PropF	falsified	0	true	falsified
scalacheck-effect	core/shared/src/main/scala/org/scalacheck/effect/PropF.scala	203	5	typed_decl	org.scalacheck.effect.PropF	effectOfPropFToPropF	0	true	effectOfPropFToPropF
scalacheck-effect	core/shared/src/main/scala/org/scalacheck/effect/PropF.scala	237	5	typed_decl	org.scalacheck.effect.PropF	forAllNoShrinkF	0	true	forAllNoShrinkF
scalacheck-effect	core/shared/src/main/scala/org/scalacheck/effect/PropF.scala	250	5	typed_decl	org.scalacheck.effect.PropF	forAllNoShrinkF	0	true	forAllNoShrinkF
scalacheck-effect	core/shared/src/main/scala/org/scalacheck/effect/PropF.scala	262	5	typed_decl	org.scalacheck.effect.PropF	forAllNoShrinkF	0	true	forAllNoShrinkF
scalacheck-effect	core/shared/src/main/scala/org/scalacheck/effect/PropF.scala	277	5	typed_decl	org.scalacheck.effect.PropF	forAllNoShrinkF	0	true	forAllNoShrinkF
scalacheck-effect	core/shared/src/main/scala/org/scalacheck/effect/PropF.scala	291	5	typed_decl	org.scalacheck.effect.PropF	forAllNoShrinkF	0	true	forAllNoShrinkF
scalacheck-effect	core/shared/src/main/scala/org/scalacheck/effect/PropF.scala	308	5	typed_decl	org.scalacheck.effect.PropF	forAllNoShrinkF	0	true	forAllNoShrinkF
scalacheck-effect	core/shared/src/main/scala/org/scalacheck/effect/PropF.scala	324	5	typed_decl	org.scalacheck.effect.PropF	forAllNoShrinkF	0	true	forAllNoShrinkF
scalacheck-effect	core/shared/src/main/scala/org/scalacheck/effect/PropF.scala	343	5	typed_decl	org.scalacheck.effect.PropF	forAllNoShrinkF	0	true	forAllNoShrinkF
scalacheck-effect	core/shared/src/main/scala/org/scalacheck/effect/PropF.scala	361	5	typed_decl	org.scalacheck.effect.PropF	forAllNoShrinkF	0	true	forAllNoShrinkF
scalacheck-effect	core/shared/src/main/scala/org/scalacheck/effect/PropF.scala	388	5	typed_decl	org.scalacheck.effect.PropF	forAllNoShrinkF	0	true	forAllNoShrinkF
