project	file	line	col	category	expected	member	chars_saved	import_based	source
scodec-bits	core/shared/src/main/scala/scodec/bits/HexDumpFormat.scala	279	80	call_arg	scala.Long	MaxValue	4	false	Long.MaxValue
scodec-bits	core/jvm/src/main/scala/scodec/bits/ByteVectorCrossPlatform.scala	86	27	call_arg	scala.Array	empty	5	false	Array.empty
scodec-bits	core/jvm/src/main/scala/scodec/bits/ByteVectorCrossPlatform.scala	88	24	call_arg	scodec.bits.ByteVector	empty	10	false	ByteVector.empty
scodec-bits	core/jvm/src/main/scala/scodec/bits/ByteVectorCrossPlatform.scala	119	31	call_arg	scodec.bits.ByteVector	empty	10	false	ByteVector.empty
scodec-bits	core/jvm/src/main/scala/scodec/bits/ByteVectorCrossPlatform.scala	153	60	call_arg	java.security.MessageDigest	getInstance	13	false	MessageDigest.getInstance
scodec-bits	core/jvm/src/main/scala/scodec/bits/ByteVectorCrossPlatform.scala	164	5	typed_decl	scodec.bits.ByteVector	view	10	false	ByteVector.view
scodec-bits	core/jvm/src/main/scala/scodec/bits/ByteVectorCrossPlatform.scala	212	13	call_arg	scodec.bits.ByteVector	view	10	false	ByteVector.view
scodec-bits	core/shared/src/main/scala/scodec/bits/ByteVector.scala	98	48	call_arg	scala.Int	MaxValue	3	false	Int.MaxValue
scodec-bits	core/shared/src/main/scala/scodec/bits/ByteVector.scala	195	21	if_branch	scodec.bits.ByteVector	empty	10	false	ByteVector.empty
scodec-bits	core/shared/src/main/scala/scodec/bits/ByteVector.scala	253	23	if_branch	scodec.bits.ByteVector	empty	10	false	ByteVector.empty
scodec-bits	core/shared/src/main/scala/scodec/bits/ByteVector.scala	265	10	call_arg	scodec.bits.ByteVector	empty	10	false	ByteVector.empty
scodec-bits	core/shared/src/main/scala/scodec/bits/ByteVector.scala	486	18	if_branch	scala.collection.Iterator	empty	8	false	Iterator.empty
scodec-bits	core/shared/src/main/scala/scodec/bits/ByteVector.scala	486	18	if_branch	scala.collection.Iterator	empty	8	false	Iterator.empty
scodec-bits	core/shared/src/main/scala/scodec/bits/ByteVector.scala	537	18	call_arg	scodec.bits.ByteVector	fill	10	false	ByteVector.fill
scodec-bits	core/shared/src/main/scala/scodec/bits/ByteVector.scala	555	5	typed_decl	scodec.bits.ByteVector	viewAt	10	false	ByteVector.viewAt
scodec-bits	core/shared/src/main/scala/scodec/bits/ByteVector.scala	566	5	typed_decl	scodec.bits.ByteVector	view	10	false	ByteVector.view
scodec-bits	core/shared/src/main/scala/scodec/bits/ByteVector.scala	572	5	typed_decl	scodec.bits.ByteVector	viewAt	10	false	ByteVector.viewAt
scodec-bits	core/shared/src/main/scala/scodec/bits/ByteVector.scala	617	15	call_arg	scala.Int	MaxValue	3	false	Int.MaxValue
scodec-bits	core/shared/src/main/scala/scodec/bits/ByteVector.scala	980	30	call_arg	scala.collection.immutable.List	empty	4	false	List.empty
scodec-bits	core/shared/src/main/scala/scodec/bits/ByteVector.scala	980	30	call_arg	scala.collection.immutable.List	empty	4	false	List.empty
scodec-bits	core/shared/src/main/scala/scodec/bits/ByteVector.scala	1087	32	default_arg	scodec.bits.ByteOrdering	BigEndian	12	false	ByteOrdering.BigEndian
scodec-bits	core/shared/src/main/scala/scodec/bits/ByteVector.scala	1101	68	default_arg	scodec.bits.ByteOrdering	BigEndian	12	false	ByteOrdering.BigEndian
