project	file	line	col	category	expected	member	chars_saved	import_based	source
scodec-core	shared/src/main/scala/scodec/SizeBound.scala	97	28	typed_decl	scodec.SizeBound	atLeast	0	true	atLeast
scodec-core	shared/src/main/scala/scodec/SizeBound.scala	101	28	if_branch	scodec.SizeBound	exact	9	false	SizeBound.exact
scodec-core	jvm/src/main/scala/scodec/Platform.scala	36	23	call_arg	java.nio.charset.Charset	forName	7	false	Charset.forName
scodec-core	jvm/src/main/scala/scodec/Platform.scala	37	24	call_arg	java.nio.charset.Charset	forName	7	false	Charset.forName
scodec-core	shared/src/main/scala/scodec/Iso.scala	66	5	typed_decl	scala.Tuple	fromProductTyped	5	false	Tuple.fromProductTyped
scodec-core	shared/src/main/scala/scodec/Iso.scala	87	5	typed_decl	scodec.Iso	product	0	true	product
scodec-core	shared/src/main/scala/scodec/Iso.scala	99	5	typed_decl	scodec.Iso	singleton	0	true	singleton
scodec-core	shared/src/main/scala/scodec/Encoder.scala	66	39	call_arg	scodec.Attempt	failure	7	false	Attempt.failure
scodec-core	shared/src/main/scala/scodec/Encoder.scala	109	7	if_branch	scodec.Attempt	successful	7	false	Attempt.successful
scodec-core	shared/src/main/scala/scodec/Encoder.scala	111	7	if_branch	scodec.Attempt	failure	7	false	Attempt.failure
scodec-core	shared/src/main/scala/scodec/Decoder.scala	131	36	call_arg	scala.Int	MaxValue	3	false	Int.MaxValue
scodec-core	shared/src/main/scala/scodec/Decoder.scala	142	5	typed_decl	scodec.Attempt	fromErrOption	7	false	Attempt.fromErrOption
scodec-core	shared/src/main/scala/scodec/Codec.scala	307	41	typed_decl	scodec.SizeBound	unknown	9	false	SizeBound.unknown
scodec-core	shared/src/main/scala/scodec/Codec.scala	354	14	ascription	scodec.Codec	++	0	true	++
scodec-core	shared/src/main/scala/scodec/Codec.scala	515	48	call_arg	scodec.SizeBound	exact	9	false	SizeBound.exact
scodec-core	shared/src/main/scala/scodec/Codec.scala	521	30	typed_decl	scodec.bits.BitVector	empty	9	false	BitVector.empty
scodec-core	shared/src/main/scala/scodec/Attempt.scala	105	23	if_branch	scodec.Attempt	successful	0	true	successful
scodec-core	shared/src/main/scala/scodec/Attempt.scala	105	43	if_branch	scodec.Attempt	failure	0	true	failure
scodec-core	shared/src/main/scala/scodec/Attempt.scala	109	23	if_branch	scodec.Attempt	successful	0	true	successful
scodec-core	shared/src/main/scala/scodec/Attempt.scala	109	43	if_branch	scodec.Attempt	failure	0	true	failure
scodec-core	shared/src/main/scala/scodec/Attempt.scala	116	14	call_arg	scodec.Attempt	failure	0	true	failure
scodec-core	shared/src/main/scala/scodec/Attempt.scala	120	14	call_arg	scodec.Attempt	successful	0	true	successful
scodec-core	shared/src/main/scala/scodec/Attempt.scala	153	36	if_branch	scodec.Attempt	successful	7	false	Attempt.successful
scodec-core	shared/src/main/scala/scodec/codecs/codecs.scala	103	75	call_arg	scodec.bits.BitVector	empty	9	false	BitVector.empty
scodec-core	shared/src/main/scala/scodec/codecs/codecs.scala	151	54	call_arg	scodec.bits.ByteOrdering	BigEndian	12	false	ByteOrdering.BigEndian
scodec-core	shared/src/main/scala/scodec/codecs/codecs.scala	155	54	call_arg	scodec.bits.ByteOrdering	BigEndian	12	false	ByteOrdering.BigEndian
scodec-core	shared/src/main/scala/scodec/codecs/codecs.scala	159	46	call_arg	scodec.bits.ByteOrdering	BigEndian	12	false	ByteOrdering.BigEndian
scodec-core	shared/src/main/scala/scodec/codecs/codecs.scala	163	48	call_arg	scodec.bits.ByteOrdering	BigEndian	12	false	ByteOrdering.BigEndian
scodec-core	shared/src/main/scala/scodec/codecs/codecs.scala	167	48	call_arg	scodec.bits.ByteOrdering	BigEndian	12	false	ByteOrdering.BigEndian
scodec-core	shared/src/main/scala/scodec/codecs/codecs.scala	171	48	call_arg	scodec.bits.ByteOrdering	BigEndian	12	false	ByteOrdering.BigEndian
scodec-core	shared/src/main/scala/scodec/codecs/codecs.scala	175	50	call_arg	scodec.bits.ByteOrdering	BigEndian	12	false	ByteOrdering.BigEndian
scodec-core	shared/src/main/scala/scodec/codecs/codecs.scala	179	48	call_arg	scodec.bits.ByteOrdering	BigEndian	12	false	ByteOrdering.BigEndian
scodec-core	shared/src/main/scala/scodec/codecs/codecs.scala	183	48	call_arg	scodec.bits.ByteOrdering	BigEndian	12	false	ByteOrdering.BigEndian
scodec-core	shared/src/main/scala/scodec/codecs/codecs.scala	187	48	call_arg	scodec.bits.ByteOrdering	BigEndian	12	false	ByteOrdering.BigEndian
scodec-core	shared/src/main/scala/scodec/codecs/codecs.scala	191	50	call_arg	scodec.bits.ByteOrdering	BigEndian	12	false	ByteOrdering.BigEndian
scodec-core	shared/src/main/scala/scodec/codecs/codecs.scala	195	50	call_arg	scodec.bits.ByteOrdering	BigEndian	12	false	ByteOrdering.BigEndian
scodec-core	shared/src/main/scala/scodec/codecs/codecs.scala	199	52	call_arg	scodec.bits.ByteOrdering	BigEndian	12	false	ByteOrdering.BigEndian
scodec-core	shared/src/main/scala/scodec/codecs/codecs.scala	203	56	call_arg	scodec.bits.ByteOrdering	BigEndian	12	false	ByteOrdering.BigEndian
scodec-core	shared/src/main/scala/scodec/codecs/codecs.scala	207	55	call_arg	scodec.bits.ByteOrdering	LittleEndian	12	false	ByteOrdering.LittleEndian
scodec-core	shared/src/main/scala/scodec/codecs/codecs.scala	211	47	call_arg	scodec.bits.ByteOrdering	LittleEndian	12	false	ByteOrdering.LittleEndian
scodec-core	shared/src/main/scala/scodec/codecs/codecs.scala	215	49	call_arg	scodec.bits.ByteOrdering	LittleEndian	12	false	ByteOrdering.LittleEndian
scodec-core	shared/src/main/scala/scodec/codecs/codecs.scala	219	49	call_arg	scodec.bits.ByteOrdering	LittleEndian	12	false	ByteOrdering.LittleEndian
scodec-core	shared/src/main/scala/scodec/codecs/codecs.scala	223	49	call_arg	scodec.bits.ByteOrdering	LittleEndian	12	false	ByteOrdering.LittleEndian
scodec-core	shared/src/main/scala/scodec/codecs/codecs.scala	227	51	call_arg	scodec.bits.ByteOrdering	LittleEndian	12	false	ByteOrdering.LittleEndian
scodec-core	shared/src/main/scala/scodec/codecs/codecs.scala	231	49	call_arg	scodec.bits.ByteOrdering	LittleEndian	12	false	ByteOrdering.LittleEndian
scodec-core	shared/src/main/scala/scodec/codecs/codecs.scala	235	49	call_arg	scodec.bits.ByteOrdering	LittleEndian	12	false	ByteOrdering.LittleEndian
scodec-core	shared/src/main/scala/scodec/codecs/codecs.scala	239	49	call_arg	scodec.bits.ByteOrdering	LittleEndian	12	false	ByteOrdering.LittleEndian
scodec-core	shared/src/main/scala/scodec/codecs/codecs.scala	243	51	call_arg	scodec.bits.ByteOrdering	LittleEndian	12	false	ByteOrdering.LittleEndian
scodec-core	shared/src/main/scala/scodec/codecs/codecs.scala	247	51	call_arg	scodec.bits.ByteOrdering	LittleEndian	12	false	ByteOrdering.LittleEndian
scodec-core	shared/src/main/scala/scodec/codecs/codecs.scala	251	53	call_arg	scodec.bits.ByteOrdering	LittleEndian	12	false	ByteOrdering.LittleEndian
scodec-core	shared/src/main/scala/scodec/codecs/codecs.scala	255	57	call_arg	scodec.bits.ByteOrdering	LittleEndian	12	false	ByteOrdering.LittleEndian
scodec-core	shared/src/main/scala/scodec/codecs/codecs.scala	261	40	call_arg	scodec.bits.ByteOrdering	BigEndian	12	false	ByteOrdering.BigEndian
scodec-core	shared/src/main/scala/scodec/codecs/codecs.scala	267	41	call_arg	scodec.bits.ByteOrdering	LittleEndian	12	false	ByteOrdering.LittleEndian
scodec-core	shared/src/main/scala/scodec/codecs/codecs.scala	274	43	call_arg	scodec.bits.ByteOrdering	BigEndian	12	false	ByteOrdering.BigEndian
scodec-core	shared/src/main/scala/scodec/codecs/codecs.scala	286	44	call_arg	scodec.bits.ByteOrdering	LittleEndian	12	false	ByteOrdering.LittleEndian
scodec-core	shared/src/main/scala/scodec/codecs/codecs.scala	292	46	call_arg	scodec.bits.ByteOrdering	BigEndian	12	false	ByteOrdering.BigEndian
scodec-core	shared/src/main/scala/scodec/codecs/codecs.scala	298	47	call_arg	scodec.bits.ByteOrdering	LittleEndian	12	false	ByteOrdering.LittleEndian
scodec-core	shared/src/main/scala/scodec/codecs/codecs.scala	304	49	call_arg	scodec.bits.ByteOrdering	BigEndian	12	false	ByteOrdering.BigEndian
scodec-core	shared/src/main/scala/scodec/codecs/codecs.scala	310	50	call_arg	scodec.bits.ByteOrdering	LittleEndian	12	false	ByteOrdering.LittleEndian
scodec-core	shared/src/main/scala/scodec/codecs/codecs.scala	325	65	call_arg	scodec.bits.ByteOrdering	BigEndian	12	false	ByteOrdering.BigEndian
scodec-core	shared/src/main/scala/scodec/codecs/codecs.scala	330	67	call_arg	scodec.bits.ByteOrdering	BigEndian	12	false	ByteOrdering.BigEndian
scodec-core	shared/src/main/scala/scodec/codecs/codecs.scala	335	59	call_arg	scodec.bits.ByteOrdering	BigEndian	12	false	ByteOrdering.BigEndian
scodec-core	shared/src/main/scala/scodec/codecs/codecs.scala	340	61	call_arg	scodec.bits.ByteOrdering	BigEndian	12	false	ByteOrdering.BigEndian
scodec-core	shared/src/main/scala/scodec/codecs/codecs.scala	345	62	call_arg	scodec.bits.ByteOrdering	BigEndian	12	false	ByteOrdering.BigEndian
scodec-core	shared/src/main/scala/scodec/codecs/codecs.scala	350	64	call_arg	scodec.bits.ByteOrdering	BigEndian	12	false	ByteOrdering.BigEndian
scodec-core	shared/src/main/scala/scodec/codecs/codecs.scala	354	58	call_arg	scodec.bits.ByteOrdering	BigEndian	12	false	ByteOrdering.BigEndian
scodec-core	shared/src/main/scala/scodec/codecs/codecs.scala	359	68	call_arg	scodec.bits.ByteOrdering	BigEndian	12	false	ByteOrdering.BigEndian
scodec-core	shared/src/main/scala/scodec/codecs/codecs.scala	364	60	call_arg	scodec.bits.ByteOrdering	BigEndian	12	false	ByteOrdering.BigEndian
scodec-core	shared/src/main/scala/scodec/codecs/codecs.scala	369	70	call_arg	scodec.bits.ByteOrdering	BigEndian	12	false	ByteOrdering.BigEndian
scodec-core	shared/src/main/scala/scodec/codecs/codecs.scala	374	66	call_arg	scodec.bits.ByteOrdering	LittleEndian	12	false	ByteOrdering.LittleEndian
scodec-core	shared/src/main/scala/scodec/codecs/codecs.scala	379	68	call_arg	scodec.bits.ByteOrdering	LittleEndian	12	false	ByteOrdering.LittleEndian
scodec-core	shared/src/main/scala/scodec/codecs/codecs.scala	384	60	call_arg	scodec.bits.ByteOrdering	LittleEndian	12	false	ByteOrdering.LittleEndian
