project	file	line	col	category	expected	member	chars_saved	import_based	source
cask	/home/runner/work/cask/cask/cask/src/cask/model/Status.scala	10	12	call_arg	cask.model.Status$.Continue$	Continue	0	true	Continue
cask	/home/runner/work/cask/cask/cask/src/cask/model/Status.scala	11	12	call_arg	cask.model.Status$.SwitchingProtocols$	SwitchingProtocols	0	true	SwitchingProtocols
cask	/home/runner/work/cask/cask/cask/src/cask/model/Status.scala	12	12	call_arg	cask.model.Status$.OK$	OK	0	true	OK
cask	/home/runner/work/cask/cask/cask/src/cask/model/Status.scala	13	12	call_arg	cask.model.Status$.Created$	Created	0	true	Created
cask	/home/runner/work/cask/cask/cask/src/cask/model/Status.scala	14	12	call_arg	cask.model.Status$.Accepted$	Accepted	0	true	Accepted
cask	/home/runner/work/cask/cask/cask/src/cask/model/Status.scala	15	12	call_arg	cask.model.Status$.NonAuthoritativeInformation$	NonAuthoritativeInformation	0	true	NonAuthoritativeInformation
cask	/home/runner/work/cask/cask/cask/src/cask/model/Status.scala	16	12	call_arg	cask.model.Status$.NoContent$	NoContent	0	true	NoContent
cask	/home/runner/work/cask/cask/cask/src/cask/model/Status.scala	17	12	call_arg	cask.model.Status$.ResetContent$	ResetContent	0	true	ResetContent
cask	/home/runner/work/cask/cask/cask/src/cask/model/Status.scala	18	12	call_arg	cask.model.Status$.PartialContent$	PartialContent	0	true	PartialContent
cask	/home/runner/work/cask/cask/cask/src/cask/model/Status.scala	19	12	call_arg	cask.model.Status$.MultipleChoices$	MultipleChoices	0	true	MultipleChoices
cask	/home/runner/work/cask/cask/cask/src/cask/model/Status.scala	20	12	call_arg	cask.model.Status$.MovedPermanently$	MovedPermanently	0	true	MovedPermanently
cask	/home/runner/work/cask/cask/cask/src/cask/model/Status.scala	21	12	call_arg	cask.model.Status$.Found$	Found	0	true	Found
cask	/home/runner/work/cask/cask/cask/src/cask/model/Status.scala	22	12	call_arg	cask.model.Status$.SeeOther$	SeeOther	0	true	SeeOther
cask	/home/runner/work/cask/cask/cask/src/cask/model/Status.scala	23	12	call_arg	cask.model.Status$.NotModified$	NotModified	0	true	NotModified
cask	/home/runner/work/cask/cask/cask/src/cask/model/Status.scala	24	12	call_arg	cask.model.Status$.UseProxy$	UseProxy	0	true	UseProxy
cask	/home/runner/work/cask/cask/cask/src/cask/model/Status.scala	25	12	call_arg	cask.model.Status$.TemporaryRedirect$	TemporaryRedirect	0	true	TemporaryRedirect
cask	/home/runner/work/cask/cask/cask/src/cask/model/Status.scala	26	12	call_arg	cask.model.Status$.PermanentRedirect$	PermanentRedirect	0	true	PermanentRedirect
cask	/home/runner/work/cask/cask/cask/src/cask/model/Status.scala	27	12	call_arg	cask.model.Status$.BadRequest$	BadRequest	0	true	BadRequest
cask	/home/runner/work/cask/cask/cask/src/cask/model/Status.scala	28	12	call_arg	cask.model.Status$.Unauthorized$	Unauthorized	0	true	Unauthorized
cask	/home/runner/work/cask/cask/cask/src/cask/model/Status.scala	29	12	call_arg	cask.model.Status$.PaymentRequired$	PaymentRequired	0	true	PaymentRequired
cask	/home/runner/work/cask/cask/cask/src/cask/model/Status.scala	30	12	call_arg	cask.model.Status$.Forbidden$	Forbidden	0	true	Forbidden
cask	/home/runner/work/cask/cask/cask/src/cask/model/Status.scala	31	12	call_arg	cask.model.Status$.NotFound$	NotFound	0	true	NotFound
cask	/home/runner/work/cask/cask/cask/src/cask/model/Status.scala	32	12	call_arg	cask.model.Status$.MethodNotAllowed$	MethodNotAllowed	0	true	MethodNotAllowed
