project	file	line	col	category	expected	member	chars_saved	import_based	source
fastparse	fastparse/src-3/fastparse/package.scala	179	27	ascription	scala.Int	MaxValue	3	false	Int.MaxValue
fastparse	fastparse/src-3/fastparse/package.scala	211	27	ascription	scala.Int	MaxValue	3	false	Int.MaxValue
fastparse	fastparse/src-3/fastparse/package.scala	268	41	call_arg	fastparse.internal.Msgs	empty	4	false	Msgs.empty
fastparse	fastparse/src-3/fastparse/package.scala	310	62	default_arg	fastparse.internal.Logger	stdout	6	false	Logger.stdout
fastparse	fastparse/src-3/fastparse/package.scala	313	57	default_arg	fastparse.internal.Logger	stdout	6	false	Logger.stdout
fastparse	fastparse/src-3/fastparse/package.scala	316	58	default_arg	fastparse.internal.Logger	stdout	6	false	Logger.stdout
fastparse	fastparse/src/fastparse/internal/Util.scala	16	10	if_branch	fastparse.internal.Msgs	fromFunction	4	false	Msgs.fromFunction
fastparse	fastparse/src/fastparse/Whitespace.scala	33	61	call_arg	fastparse.internal.Msgs	empty	4	false	Msgs.empty
fastparse	fastparse/src/fastparse/SharedPackageDefs.scala	35	5	typed_decl	fastparse.Parsed	fromParsingRun	6	false	Parsed.fromParsingRun
fastparse	fastparse/src/fastparse/SharedPackageDefs.scala	57	20	call_arg	fastparse.internal.Msgs	empty	4	false	Msgs.empty
fastparse	fastparse/src/fastparse/SharedPackageDefs.scala	58	21	call_arg	fastparse.internal.Msgs	empty	4	false	Msgs.empty
fastparse	fastparse/src/fastparse/SharedPackageDefs.scala	59	16	call_arg	fastparse.internal.Msgs	empty	4	false	Msgs.empty
fastparse	fastparse/src/fastparse/SharedPackageDefs.scala	61	20	call_arg	scala.collection.immutable.List	empty	4	false	List.empty
fastparse	fastparse/src/fastparse/SharedPackageDefs.scala	61	20	call_arg	scala.collection.immutable.List	empty	4	false	List.empty
fastparse	fastparse/src/fastparse/SharedPackageDefs.scala	140	63	call_arg	fastparse.internal.Msgs	empty	4	false	Msgs.empty
fastparse	fastparse/src/fastparse/SharedPackageDefs.scala	251	95	default_arg	fastparse.internal.Logger	stdout	6	false	Logger.stdout
fastparse	fastparse/src/fastparse/SharedPackageDefs.scala	288	90	default_arg	fastparse.internal.Logger	stdout	6	false	Logger.stdout
fastparse	fastparse/src/fastparse/SharedPackageDefs.scala	296	91	default_arg	fastparse.internal.Logger	stdout	6	false	Logger.stdout
fastparse	fastparse/src/fastparse/Whitespace.scala	68	67	call_arg	fastparse.internal.Msgs	empty	4	false	Msgs.empty
fastparse	fastparse/src/fastparse/Whitespace.scala	79	75	call_arg	fastparse.internal.Msgs	empty	4	false	Msgs.empty
fastparse	fastparse/src/fastparse/Whitespace.scala	226	69	call_arg	fastparse.internal.Msgs	empty	4	false	Msgs.empty
fastparse	fastparse/src/fastparse/Whitespace.scala	230	69	call_arg	fastparse.internal.Msgs	empty	4	false	Msgs.empty
fastparse	fastparse/src/fastparse/Whitespace.scala	247	75	call_arg	fastparse.internal.Msgs	empty	4	false	Msgs.empty
fastparse	fastparse/src/fastparse/Whitespace.scala	259	77	call_arg	fastparse.internal.Msgs	empty	4	false	Msgs.empty
fastparse	fastparse/src/fastparse/ParsingRun.scala	189	54	if_branch	fastparse.internal.Msgs	empty	4	false	Msgs.empty
fastparse	fastparse/src/fastparse/ParsingRun.scala	190	54	if_branch	fastparse.internal.Msgs	empty	4	false	Msgs.empty
fastparse	fastparse/src/fastparse/Whitespace.scala	52	61	call_arg	fastparse.internal.Msgs	empty	4	false	Msgs.empty
fastparse	fastparse/src/fastparse/Whitespace.scala	164	69	call_arg	fastparse.internal.Msgs	empty	4	false	Msgs.empty
fastparse	fastparse/src/fastparse/Whitespace.scala	168	69	call_arg	fastparse.internal.Msgs	empty	4	false	Msgs.empty
fastparse	fastparse/src/fastparse/Whitespace.scala	187	75	call_arg	fastparse.internal.Msgs	empty	4	false	Msgs.empty
fastparse	fastparse/src/fastparse/Whitespace.scala	196	75	call_arg	fastparse.internal.Msgs	empty	4	false	Msgs.empty
fastparse	fastparse/src/fastparse/Whitespace.scala	103	69	call_arg	fastparse.internal.Msgs	empty	4	false	Msgs.empty
fastparse	fastparse/src/fastparse/Whitespace.scala	107	69	call_arg	fastparse.internal.Msgs	empty	4	false	Msgs.empty
fastparse	fastparse/src/fastparse/Whitespace.scala	124	75	call_arg	fastparse.internal.Msgs	empty	4	false	Msgs.empty
fastparse	fastparse/src/fastparse/Whitespace.scala	133	75	call_arg	fastparse.internal.Msgs	empty	4	false	Msgs.empty
fastparse	fastparse/src/fastparse/ParserInput.scala	192	5	typed_decl	java.lang.String	valueOf	6	false	String.valueOf
