project	file	line	col	category	expected	member	chars_saved	import_based	source
openapi	openapi/openapi/src/main/scala/endpoints4s/ujson/codecs.scala	18	5	typed_decl	endpoints4s.Codec	fromEncoderAndDecoder	5	false	Codec.fromEncoderAndDecoder
openapi	openapi/openapi/src/main/scala/endpoints4s/ujson/codecs.scala	29	5	typed_decl	endpoints4s.Codec	sequentially	5	false	Codec.sequentially
openapi	openapi/openapi/src/main/scala/endpoints4s/openapi/Urls.scala	133	32	call_arg	endpoints4s.openapi.model.Schema	simpleString	6	false	Schema.simpleString
openapi	openapi/openapi/src/main/scala/endpoints4s/openapi/Urls.scala	137	7	call_arg	endpoints4s.openapi.model.Schema	simpleUUID	6	false	Schema.simpleUUID
openapi	openapi/openapi/src/main/scala/endpoints4s/openapi/Urls.scala	144	7	call_arg	endpoints4s.openapi.model.Schema	simpleInteger	6	false	Schema.simpleInteger
openapi	openapi/openapi/src/main/scala/endpoints4s/openapi/Urls.scala	151	7	call_arg	endpoints4s.openapi.model.Schema	simpleLong	6	false	Schema.simpleLong
openapi	openapi/openapi/src/main/scala/endpoints4s/openapi/Urls.scala	157	32	call_arg	endpoints4s.openapi.model.Schema	simpleBoolean	6	false	Schema.simpleBoolean
openapi	openapi/openapi/src/main/scala/endpoints4s/openapi/Urls.scala	160	32	call_arg	endpoints4s.openapi.model.Schema	simpleNumber	6	false	Schema.simpleNumber
openapi	openapi/openapi/src/main/scala/endpoints4s/openapi/Urls.scala	173	40	typed_decl	endpoints4s.openapi.model.Schema	simpleString	6	false	Schema.simpleString
openapi	openapi/openapi/src/main/scala/endpoints4s/openapi/Urls.scala	175	45	typed_decl	endpoints4s.openapi.model.Schema	simpleUUID	6	false	Schema.simpleUUID
openapi	openapi/openapi/src/main/scala/endpoints4s/openapi/Urls.scala	177	43	typed_decl	endpoints4s.openapi.model.Schema	simpleInteger	6	false	Schema.simpleInteger
openapi	openapi/openapi/src/main/scala/endpoints4s/openapi/Urls.scala	179	45	typed_decl	endpoints4s.openapi.model.Schema	simpleLong	6	false	Schema.simpleLong
openapi	openapi/openapi/src/main/scala/endpoints4s/openapi/Urls.scala	181	49	typed_decl	endpoints4s.openapi.model.Schema	simpleNumber	6	false	Schema.simpleNumber
openapi	openapi/openapi/src/main/scala/endpoints4s/openapi/Responses.scala	46	45	typed_decl	scala.collection.immutable.Map	empty	3	false	Map.empty
openapi	openapi/openapi/src/main/scala/endpoints4s/openapi/Responses.scala	46	45	typed_decl	scala.collection.immutable.Map	empty	3	false	Map.empty
