project	file	line	col	category	expected	member	chars_saved	import_based	source
parboiled	parboiled-core/src/main/scala/org/parboiled2/util/Base64.scala	26	5	typed_decl	org.parboiled2.util.Base64	CUSTOM	0	true	CUSTOM
parboiled	parboiled-core/src/main/scala/org/parboiled2/util/Base64.scala	32	5	typed_decl	org.parboiled2.util.Base64	RFC2045	0	true	RFC2045
parboiled	parboiled-core/src/main/scala/org/parboiled2/util/Base64.scala	42	24	typed_decl	scala.Array	fill	5	false	Array.fill
parboiled	parboiled-core/src/main/scala-3/org/parboiled2/support/OpTreeContext.scala	513	21	call_arg	scala.quoted.Type	of	4	false	Type.of
parboiled	parboiled-core/src/main/scala/org/parboiled2/ParserInput.scala	50	21	call_arg	scala.Array	empty	5	false	Array.empty
parboiled	parboiled-core/src/main/scala/org/parboiled2/Parser.scala	256	73	call_arg	scala.Int	MinValue	3	false	Int.MinValue
parboiled	parboiled-core/src/main/scala/org/parboiled2/Parser.scala	407	63	call_arg	scala.math.Ordering	by	8	false	Ordering.by
parboiled	parboiled-core/src/main/scala/org/parboiled2/Parser.scala	426	63	call_arg	scala.math.Ordering	by	8	false	Ordering.by
parboiled	parboiled-core/src/main/scala/org/parboiled2/Parser.scala	567	33	call_arg	scala.Int	MinValue	3	false	Int.MinValue
parboiled	parboiled-core/src/main/scala/org/parboiled2/Parser.scala	568	34	call_arg	scala.Int	MinValue	3	false	Int.MinValue
parboiled	parboiled-core/src/main/scala/org/parboiled2/Parser.scala	560	37	default_arg	scala.Int	MinValue	3	false	Int.MinValue
parboiled	parboiled-core/src/main/scala/org/parboiled2/Parser.scala	561	38	default_arg	scala.Int	MinValue	3	false	Int.MinValue
parboiled	parboiled/src/main/scala-3/org/parboiled2/DynamicRuleDispatchMacro.scala	55	62	typed_decl	scala.quoted.Expr	ofSeq	4	false	Expr.ofSeq
parboiled	parboiled-core/src/main/scala/org/parboiled2/CharUtils.scala	98	17	call_arg	scala.Long	MinValue	4	false	Long.MinValue
parboiled	parboiled-core/src/main/scala/org/parboiled2/CharUtils.scala	112	17	call_arg	scala.Long	MinValue	4	false	Long.MinValue
parboiled	parboiled-core/src/main/scala/org/parboiled2/CharPredicate.scala	51	12	match_case	org.parboiled2.CharPredicate	Empty	0	true	Empty
parboiled	parboiled-core/src/main/scala/org/parboiled2/CharPredicate.scala	52	12	match_case	org.parboiled2.CharPredicate	All	0	true	All
parboiled	parboiled-core/src/main/scala/org/parboiled2/CharPredicate.scala	93	34	if_branch	org.parboiled2.CharPredicate	from	0	true	from
parboiled	parboiled-core/src/main/scala/org/parboiled2/CharPredicate.scala	96	24	if_branch	org.parboiled2.CharPredicate	Empty	0	true	Empty
parboiled	parboiled-core/src/main/scala/org/parboiled2/CharPredicate.scala	96	35	if_branch	org.parboiled2.CharPredicate	from	0	true	from
parboiled	parboiled-core/src/main/scala/org/parboiled2/CharPredicate.scala	99	24	if_branch	org.parboiled2.CharPredicate	from	0	true	from
parboiled	parboiled-core/src/main/scala/org/parboiled2/CharPredicate.scala	99	49	if_branch	org.parboiled2.CharPredicate	from	0	true	from
parboiled	parboiled-core/src/main/scala/org/parboiled2/CharPredicate.scala	104	30	typed_decl	org.parboiled2.CharPredicate	from	0	true	from
parboiled	parboiled-core/src/main/scala/org/parboiled2/CharPredicate.scala	107	44	call_arg	org.parboiled2.CharPredicate	UpperAlpha	0	true	UpperAlpha
parboiled	parboiled-core/src/main/scala/org/parboiled2/CharPredicate.scala	110	39	call_arg	org.parboiled2.CharPredicate	Digit	0	true	Digit
parboiled	parboiled-core/src/main/scala/org/parboiled2/CharPredicate.scala	113	48	call_arg	org.parboiled2.CharPredicate	UpperHexLetter	0	true	UpperHexLetter
parboiled	parboiled-core/src/main/scala/org/parboiled2/CharPredicate.scala	114	39	call_arg	org.parboiled2.CharPredicate	HexLetter	0	true	HexLetter
parboiled	parboiled-core/src/main/scala/org/parboiled2/CharPredicate.scala	120	70	call_arg	org.parboiled2.CharPredicate	Empty	0	true	Empty
parboiled	parboiled-core/src/main/scala/org/parboiled2/CharPredicate.scala	125	91	call_arg	org.parboiled2.CharPredicate	from	0	true	from
parboiled	parboiled-core/src/main/scala/org/parboiled2/CharPredicate.scala	127	75	typed_decl	org.parboiled2.CharPredicate$.ApplyMagnet	fromChars	0	true	fromChars
