project	file	line	col	category	expected	member	chars_saved	import_based	source
scala-java8-compat	src/main/scala/scala/compat/java8/OptionConverters.scala	66	76	if_branch	java.util.OptionalDouble	of	14	false	OptionalDouble.of
scala-java8-compat	src/main/scala/scala/compat/java8/OptionConverters.scala	66	106	if_branch	java.util.OptionalDouble	empty	14	false	OptionalDouble.empty
scala-java8-compat	src/main/scala/scala/compat/java8/OptionConverters.scala	75	70	if_branch	java.util.OptionalInt	of	11	false	OptionalInt.of
scala-java8-compat	src/main/scala/scala/compat/java8/OptionConverters.scala	75	97	if_branch	java.util.OptionalInt	empty	11	false	OptionalInt.empty
scala-java8-compat	src/main/scala/scala/compat/java8/OptionConverters.scala	84	72	if_branch	java.util.OptionalLong	of	12	false	OptionalLong.of
scala-java8-compat	src/main/scala/scala/compat/java8/OptionConverters.scala	84	100	if_branch	java.util.OptionalLong	empty	12	false	OptionalLong.empty
scala-java8-compat	src/main/scala/scala/compat/java8/OptionConverters.scala	110	65	if_branch	java.util.Optional	of	8	false	Optional.of
scala-java8-compat	src/main/scala/scala/compat/java8/OptionConverters.scala	110	106	if_branch	java.util.Optional	empty	8	false	Optional.empty
scala-java8-compat	src/main/scala/scala/compat/java8/OptionConverters.scala	118	62	if_branch	java.util.Optional	of	8	false	Optional.of
scala-java8-compat	src/main/scala/scala/compat/java8/OptionConverters.scala	118	100	if_branch	java.util.Optional	empty	8	false	Optional.empty
scala-java8-compat	src/main/scala/scala/compat/java8/OptionConverters.scala	126	63	if_branch	java.util.Optional	of	8	false	Optional.of
scala-java8-compat	src/main/scala/scala/compat/java8/OptionConverters.scala	126	102	if_branch	java.util.Optional	empty	8	false	Optional.empty
scala-java8-compat	src/main/scala/scala/compat/java8/FutureConverters.scala	112	5	typed_decl	scala.concurrent.ExecutionContextExecutorService	fromExecutorService	16	false	ExecutionContext.fromExecutorService
scala-java8-compat	src/main/scala/scala/compat/java8/FutureConverters.scala	123	5	typed_decl	scala.concurrent.ExecutionContextExecutorService	fromExecutorService	16	false	ExecutionContext.fromExecutorService
scala-java8-compat	src/main/scala/scala/compat/java8/FutureConverters.scala	139	5	typed_decl	scala.concurrent.ExecutionContextExecutor	fromExecutor	16	false	ExecutionContext.fromExecutor
scala-java8-compat	src/main/scala/scala/compat/java8/FutureConverters.scala	150	5	typed_decl	scala.concurrent.ExecutionContextExecutor	fromExecutor	16	false	ExecutionContext.fromExecutor
scala-java8-compat	src/main/scala/scala/compat/java8/FutureConverters.scala	157	50	typed_decl	scala.concurrent.ExecutionContext	global	16	false	ExecutionContext.global
scala-java8-compat	src/main/scala/scala/compat/java8/FutureConverters.scala	171	42	typed_decl	scala.concurrent.Promise	successful	7	false	Promise.successful
scala-java8-compat	src/main/scala/scala/compat/java8/FutureConverters.scala	178	53	typed_decl	scala.concurrent.Promise	failed	7	false	Promise.failed
scala-java8-compat	src/main/scala/scala/compat/java8/DurationConverters.scala	41	33	if_branch	scala.concurrent.duration.FiniteDuration	Zero	13	false	ScalaDuration.Zero
scala-java8-compat	src/main/scala/scala/compat/java8/DurationConverters.scala	42	44	call_arg	java.util.concurrent.TimeUnit	SECONDS	8	false	TimeUnit.SECONDS
scala-java8-compat	src/main/scala/scala/compat/java8/DurationConverters.scala	44	37	call_arg	java.util.concurrent.TimeUnit	NANOSECONDS	8	false	TimeUnit.NANOSECONDS
scala-java8-compat	src/main/scala/scala/compat/java8/DurationConverters.scala	49	122	call_arg	java.util.concurrent.TimeUnit	NANOSECONDS	8	false	TimeUnit.NANOSECONDS
scala-java8-compat	src/main/scala/scala/compat/java8/DurationConverters.scala	62	31	if_branch	java.time.Duration	ZERO	12	false	JavaDuration.ZERO
scala-java8-compat	src/main/scala/scala/compat/java8/DurationConverters.scala	64	12	match_case	java.util.concurrent.TimeUnit	NANOSECONDS	8	false	TimeUnit.NANOSECONDS
scala-java8-compat	src/main/scala/scala/compat/java8/DurationConverters.scala	65	12	match_case	java.util.concurrent.TimeUnit	MICROSECONDS	8	false	TimeUnit.MICROSECONDS
scala-java8-compat	src/main/scala/scala/compat/java8/DurationConverters.scala	66	12	match_case	java.util.concurrent.TimeUnit	MILLISECONDS	8	false	TimeUnit.MILLISECONDS
scala-java8-compat	src/main/scala/scala/compat/java8/DurationConverters.scala	67	12	match_case	java.util.concurrent.TimeUnit	SECONDS	8	false	TimeUnit.SECONDS
scala-java8-compat	src/main/scala/scala/compat/java8/DurationConverters.scala	68	12	match_case	java.util.concurrent.TimeUnit	MINUTES	8	false	TimeUnit.MINUTES
scala-java8-compat	src/main/scala/scala/compat/java8/DurationConverters.scala	69	12	match_case	java.util.concurrent.TimeUnit	HOURS	8	false	TimeUnit.HOURS
scala-java8-compat	src/main/scala/scala/compat/java8/DurationConverters.scala	70	12	match_case	java.util.concurrent.TimeUnit	DAYS	8	false	TimeUnit.DAYS
