project	file	line	col	category	expected	member	chars_saved	import_based	source
scala-parallel-collections	core/src/main/scala/scala/collection/parallel/ParSeqLike.scala	141	22	call_arg	scala.Int	MaxValue	3	false	Int.MaxValue
scala-parallel-collections	core/src/main/scala/scala/collection/parallel/ParSeqLike.scala	199	22	call_arg	scala.Int	MaxValue	3	false	Int.MaxValue
scala-parallel-collections	core/src/main/scala/scala/collection/parallel/ParSeqLike.scala	249	22	call_arg	scala.Int	MinValue	3	false	Int.MinValue
scala-parallel-collections	core/src/main/scala/scala/collection/parallel/ParIterableLike.scala	720	25	call_arg	scala.Int	MaxValue	3	false	Int.MaxValue
scala-parallel-collections	core/src/main/scala/scala/collection/parallel/ParIterableLike.scala	748	25	call_arg	scala.Int	MaxValue	3	false	Int.MaxValue
scala-parallel-collections	core/src/main/scala/scala/collection/parallel/ParIterableLike.scala	766	23	call_arg	scala.Int	MaxValue	3	false	Int.MaxValue
scala-parallel-collections	core/src/main/scala/scala/collection/parallel/Tasks.scala	297	48	typed_decl	java.util.concurrent.ForkJoinPool	commonPool	12	false	ForkJoinPool.commonPool
scala-parallel-collections	core/src/main/scala/scala/collection/parallel/TaskSupport.scala	75	71	default_arg	scala.concurrent.ExecutionContext	global	33	false	scala.concurrent.ExecutionContext.global
scala-parallel-collections	core/src/main/scala/scala/collection/parallel/mutable/ResizableParArrayCombiner.scala	90	50	typed_decl	scala.collection.parallel.mutable.ResizableParArrayCombiner	apply	0	true	apply
scala-parallel-collections	core/src/main/scala/scala/collection/parallel/mutable/ParTrieMap.scala	49	42	typed_decl	scala.collection.parallel.mutable.ParTrieMap	empty	10	false	ParTrieMap.empty
scala-parallel-collections	core/src/main/scala/scala/collection/parallel/mutable/ParTrieMap.scala	49	42	typed_decl	scala.collection.parallel.mutable.ParTrieMap	empty	10	false	ParTrieMap.empty
scala-parallel-collections	core/src/main/scala/scala/collection/parallel/mutable/ParHashSet.scala	243	19	call_arg	scala.Int	MinValue	3	false	Int.MinValue
scala-parallel-collections	core/src/main/scala/scala/collection/parallel/mutable/ParArray.scala	698	48	typed_decl	scala.collection.parallel.mutable.ParArray	wrapOrRebuild	0	true	wrapOrRebuild
scala-parallel-collections	core/src/main/scala/scala/collection/parallel/mutable/ParArray.scala	702	57	typed_decl	scala.collection.parallel.mutable.ParArray	wrapOrRebuild	0	true	wrapOrRebuild
scala-parallel-collections	core/src/main/scala/scala/collection/parallel/mutable/ParArray.scala	710	5	typed_decl	scala.collection.parallel.mutable.ParArray	handoff	0	true	handoff
scala-parallel-collections	core/src/main/scala/scala/collection/parallel/mutable/ParArray.scala	714	79	typed_decl	scala.collection.parallel.mutable.ParArray	fromIterables	0	true	fromIterables
scala-parallel-collections	core/src/main/scala/scala/collection/parallel/immutable/ParRange.scala	118	20	if_branch	scala.collection.immutable.Range	inclusive	5	false	Range.inclusive
scala-parallel-collections	core/src/main/scala/scala/collection/immutable/OldHashSet.scala	52	38	typed_decl	scala.collection.immutable.OldHashSet	nullToEmpty	0	true	nullToEmpty
scala-parallel-collections	core/src/main/scala/scala/collection/immutable/OldHashSet.scala	177	44	call_arg	scala.collection.immutable.OldHashSet	empty	0	true	empty
scala-parallel-collections	core/src/main/scala/scala/collection/immutable/OldHashSet.scala	177	44	call_arg	scala.collection.immutable.OldHashSet	empty	0	true	empty
scala-parallel-collections	core/src/main/scala/scala/collection/immutable/OldHashSet.scala	183	35	typed_decl	scala.collection.Iterator	empty	8	false	Iterator.empty
scala-parallel-collections	core/src/main/scala/scala/collection/immutable/OldHashSet.scala	183	35	typed_decl	scala.collection.Iterator	empty	8	false	Iterator.empty
scala-parallel-collections	core/src/main/scala/scala/collection/immutable/OldHashSet.scala	231	33	typed_decl	scala.collection.Iterator	single	8	false	Iterator.single
scala-parallel-collections	core/src/main/scala/scala/collection/immutable/OldHashSet.scala	239	40	typed_decl	scala.collection.immutable.OldHashSet	empty	10	false	OldHashSet.empty
scala-parallel-collections	core/src/main/scala/scala/collection/immutable/OldHashSet.scala	239	40	typed_decl	scala.collection.immutable.OldHashSet	empty	10	false	OldHashSet.empty
scala-parallel-collections	core/src/main/scala/scala/collection/immutable/OldHashSet.scala	243	40	typed_decl	scala.collection.immutable.OldHashSet	empty	10	false	OldHashSet.empty
scala-parallel-collections	core/src/main/scala/scala/collection/immutable/OldHashSet.scala	243	40	typed_decl	scala.collection.immutable.OldHashSet	empty	10	false	OldHashSet.empty
