project	file	line	col	category	expected	member	chars_saved	import_based	source
scala-xml	shared/src/main/scala/scala/xml/parsing/MarkupParser.scala	454	25	typed_decl	scala.xml.NodeSeq	fromSeq	7	false	NodeSeq.fromSeq
scala-xml	shared/src/main/scala/scala/xml/parsing/MarkupParser.scala	589	9	if_branch	scala.xml.NodeSeq	Empty	7	false	NodeSeq.Empty
scala-xml	shared/src/main/scala/scala/xml/parsing/MarkupHandler.scala	41	5	typed_decl	scala.io.Source	fromString	6	false	Source.fromString
scala-xml	shared/src/main/scala/scala/xml/parsing/FactoryAdapter.scala	55	56	typed_decl	scala.collection.immutable.List	empty	4	false	List.empty
scala-xml	shared/src/main/scala/scala/xml/parsing/FactoryAdapter.scala	55	56	typed_decl	scala.collection.immutable.List	empty	4	false	List.empty
scala-xml	shared/src/main/scala/scala/xml/parsing/FactoryAdapter.scala	58	28	typed_decl	scala.collection.immutable.List	empty	4	false	List.empty
scala-xml	shared/src/main/scala/scala/xml/parsing/FactoryAdapter.scala	58	28	typed_decl	scala.collection.immutable.List	empty	4	false	List.empty
scala-xml	shared/src/main/scala/scala/xml/parsing/FactoryAdapter.scala	60	30	typed_decl	scala.collection.immutable.List	empty	4	false	List.empty
scala-xml	shared/src/main/scala/scala/xml/parsing/FactoryAdapter.scala	60	30	typed_decl	scala.collection.immutable.List	empty	4	false	List.empty
scala-xml	shared/src/main/scala/scala/xml/parsing/FactoryAdapter.scala	71	37	typed_decl	scala.collection.immutable.List	empty	4	false	List.empty
scala-xml	shared/src/main/scala/scala/xml/parsing/FactoryAdapter.scala	71	37	typed_decl	scala.collection.immutable.List	empty	4	false	List.empty
scala-xml	shared/src/main/scala/scala/xml/parsing/FactoryAdapter.scala	78	28	typed_decl	scala.collection.immutable.List	empty	4	false	List.empty
scala-xml	shared/src/main/scala/scala/xml/parsing/FactoryAdapter.scala	78	28	typed_decl	scala.collection.immutable.List	empty	4	false	List.empty
scala-xml	shared/src/main/scala/scala/xml/parsing/FactoryAdapter.scala	85	32	typed_decl	scala.collection.immutable.List	empty	4	false	List.empty
scala-xml	shared/src/main/scala/scala/xml/parsing/FactoryAdapter.scala	85	32	typed_decl	scala.collection.immutable.List	empty	4	false	List.empty
scala-xml	shared/src/main/scala/scala/xml/parsing/FactoryAdapter.scala	92	44	typed_decl	scala.collection.immutable.List	empty	4	false	List.empty
scala-xml	shared/src/main/scala/scala/xml/parsing/FactoryAdapter.scala	92	44	typed_decl	scala.collection.immutable.List	empty	4	false	List.empty
scala-xml	shared/src/main/scala/scala/xml/parsing/FactoryAdapter.scala	422	31	typed_decl	java.lang.String	valueOf	6	false	String.valueOf
scala-xml	shared/src/main/scala/scala/xml/parsing/ExternalSources.scala	37	5	typed_decl	scala.io.Source	fromFile	6	false	Source.fromFile
scala-xml	shared/src/main/scala/scala/xml/parsing/ElementContentModel.scala	37	10	match_case	scala.xml.parsing.ElementContentModel$.ContentSpec	Empty	11	false	ContentSpec.Empty
scala-xml	shared/src/main/scala/scala/xml/parsing/ElementContentModel.scala	38	10	match_case	scala.xml.parsing.ElementContentModel$.ContentSpec	Any	11	false	ContentSpec.Any
scala-xml	shared/src/main/scala/scala/xml/parsing/ElementContentModel.scala	39	10	match_case	scala.xml.parsing.ElementContentModel$.ContentSpec	PCData	11	false	ContentSpec.PCData
scala-xml	shared/src/main/scala/scala/xml/parsing/ElementContentModel.scala	63	12	match_case	scala.xml.parsing.ElementContentModel$.Occurrence	Once	10	false	Occurrence.Once
scala-xml	shared/src/main/scala/scala/xml/parsing/ElementContentModel.scala	64	12	match_case	scala.xml.parsing.ElementContentModel$.Occurrence	RepeatOptional	10	false	Occurrence.RepeatOptional
scala-xml	shared/src/main/scala/scala/xml/parsing/ElementContentModel.scala	65	12	match_case	scala.xml.parsing.ElementContentModel$.Occurrence	OnceOptional	10	false	Occurrence.OnceOptional
scala-xml	shared/src/main/scala/scala/xml/parsing/ElementContentModel.scala	66	12	match_case	scala.xml.parsing.ElementContentModel$.Occurrence	Repeat	10	false	Occurrence.Repeat
scala-xml	shared/src/main/scala/scala/xml/parsing/ElementContentModel.scala	97	18	call_arg	scala.xml.parsing.ElementContentModel$.Elements$.Many	parse	13	false	Elements.Many.parse
scala-xml	shared/src/main/scala/scala/xml/parsing/ElementContentModel.scala	152	10	call_arg	scala.xml.parsing.ElementContentModel$.Elements	parse	8	false	Elements.parse
scala-xml	shared/src/main/scala/scala/xml/parsing/ElementContentModel.scala	175	61	call_arg	scala.xml.parsing.ElementContentModel$.Occurrence$.OnceOptional$	OnceOptional	0	true	OnceOptional
scala-xml	shared/src/main/scala/scala/xml/parsing/ElementContentModel.scala	176	63	call_arg	scala.xml.parsing.ElementContentModel$.Occurrence$.RepeatOptional$	RepeatOptional	0	true	RepeatOptional
scala-xml	shared/src/main/scala/scala/xml/parsing/ElementContentModel.scala	177	55	call_arg	scala.xml.parsing.ElementContentModel$.Occurrence$.Repeat$	Repeat	0	true	Repeat
scala-xml	shared/src/main/scala/scala/xml/parsing/ElementContentModel.scala	178	18	call_arg	scala.xml.parsing.ElementContentModel$.Occurrence$.Once$	Once	0	true	Once
scala-xml	shared/src/main/scala/scala/xml/parsing/ElementContentModel.scala	223	7	call_arg	scala.collection.immutable.List	empty	4	false	List.empty
scala-xml	shared/src/main/scala/scala/xml/parsing/ElementContentModel.scala	223	7	call_arg	scala.collection.immutable.List	empty	4	false	List.empty
scala-xml	shared/src/main/scala/scala/xml/parsing/DtdBuilder.scala	24	42	typed_decl	scala.collection.immutable.List	empty	4	false	List.empty
scala-xml	shared/src/main/scala/scala/xml/parsing/DtdBuilder.scala	24	42	typed_decl	scala.collection.immutable.List	empty	4	false	List.empty
scala-xml	shared/src/main/scala/scala/xml/parsing/DtdBuilder.scala	25	51	typed_decl	scala.collection.immutable.List	empty	4	false	List.empty
scala-xml	shared/src/main/scala/scala/xml/parsing/DtdBuilder.scala	25	51	typed_decl	scala.collection.immutable.List	empty	4	false	List.empty
scala-xml	shared/src/main/scala/scala/xml/parsing/DtdBuilder.scala	26	44	typed_decl	scala.collection.immutable.List	empty	4	false	List.empty
scala-xml	shared/src/main/scala/scala/xml/parsing/DtdBuilder.scala	26	44	typed_decl	scala.collection.immutable.List	empty	4	false	List.empty
scala-xml	shared/src/main/scala/scala/xml/parsing/DtdBuilder.scala	27	47	typed_decl	scala.collection.immutable.List	empty	4	false	List.empty
scala-xml	shared/src/main/scala/scala/xml/parsing/DtdBuilder.scala	27	47	typed_decl	scala.collection.immutable.List	empty	4	false	List.empty
scala-xml	shared/src/main/scala/scala/xml/parsing/DtdBuilder.scala	28	60	typed_decl	scala.collection.immutable.List	empty	4	false	List.empty
scala-xml	shared/src/main/scala/scala/xml/parsing/DtdBuilder.scala	28	60	typed_decl	scala.collection.immutable.List	empty	4	false	List.empty
scala-xml	shared/src/main/scala/scala/xml/parsing/DtdBuilder.scala	29	56	typed_decl	scala.collection.immutable.List	empty	4	false	List.empty
scala-xml	shared/src/main/scala/scala/xml/parsing/DtdBuilder.scala	29	56	typed_decl	scala.collection.immutable.List	empty	4	false	List.empty
scala-xml	shared/src/main/scala/scala/xml/parsing/DtdBuilder.scala	33	44	typed_decl	scala.collection.immutable.List	empty	4	false	List.empty
scala-xml	shared/src/main/scala/scala/xml/parsing/DtdBuilder.scala	33	44	typed_decl	scala.collection.immutable.List	empty	4	false	List.empty
scala-xml	shared/src/main/scala/scala/xml/parsing/DefaultMarkupHandler.scala	21	79	typed_decl	scala.xml.NodeSeq	Empty	7	false	NodeSeq.Empty
scala-xml	shared/src/main/scala/scala/xml/parsing/DefaultMarkupHandler.scala	23	76	typed_decl	scala.xml.NodeSeq	Empty	7	false	NodeSeq.Empty
scala-xml	shared/src/main/scala/scala/xml/parsing/DefaultMarkupHandler.scala	25	62	typed_decl	scala.xml.NodeSeq	Empty	7	false	NodeSeq.Empty
scala-xml	shared/src/main/scala/scala/xml/parsing/DefaultMarkupHandler.scala	27	58	typed_decl	scala.xml.NodeSeq	Empty	7	false	NodeSeq.Empty
scala-xml	shared/src/main/scala/scala/xml/parsing/DefaultMarkupHandler.scala	29	55	typed_decl	scala.xml.NodeSeq	Empty	7	false	NodeSeq.Empty
scala-xml	shared/src/main/scala/scala/xml/factory/XMLLoader.scala	41	45	typed_decl	javax.xml.parsers.SAXParserFactory	newInstance	16	false	SAXParserFactory.newInstance
scala-xml	shared/src/main/scala/scala/xml/dtd/impl/SubsetConstruction.scala	33	34	typed_decl	scala.collection.immutable.BitSet	empty	16	false	immutable.BitSet.empty
scala-xml	shared/src/main/scala/scala/xml/dtd/impl/SubsetConstruction.scala	40	50	typed_decl	scala.collection.immutable.List	empty	14	false	immutable.List.empty
scala-xml	shared/src/main/scala/scala/xml/dtd/impl/SubsetConstruction.scala	40	50	typed_decl	scala.collection.immutable.List	empty	14	false	immutable.List.empty
scala-xml	shared/src/main/scala/scala/xml/dtd/impl/NondetWordAutom.scala	55	29	call_arg	scala.collection.immutable.BitSet	empty	16	false	immutable.BitSet.empty
scala-xml	shared/src/main/scala/scala/xml/dtd/DocType.scala	44	38	typed_decl	scala.xml.dtd.DocType	apply	0	true	apply
scala-xml	shared/src/main/scala-2.13+/scala/xml/ScalaVersionSpecific.scala	36	33	typed_decl	scala.xml.NodeSeq	Empty	7	false	NodeSeq.Empty
scala-xml	shared/src/main/scala/scala/xml/Null.scala	28	46	typed_decl	scala.collection.Iterator	empty	8	false	Iterator.empty
scala-xml	shared/src/main/scala/scala/xml/Null.scala	28	46	typed_decl	scala.collection.Iterator	empty	8	false	Iterator.empty
scala-xml	shared/src/main/scala/scala/xml/NodeSeq.scala	27	30	typed_decl	scala.xml.NodeSeq	fromSeq	0	true	fromSeq
scala-xml	shared/src/main/scala/scala/xml/NodeSeq.scala	44	54	typed_decl	scala.xml.NodeSeq	fromSeq	0	true	fromSeq
scala-xml	shared/src/main/scala/scala/xml/NodeSeq.scala	120	7	typed_decl	scala.xml.NodeSeq	fromSeq	7	false	NodeSeq.fromSeq
scala-xml	shared/src/main/scala/scala/xml/MetaData.scala	33	10	if_branch	scala.xml.MetaData	concatenate	0	true	concatenate
scala-xml	shared/src/main/scala/scala/xml/MetaData.scala	68	5	typed_decl	scala.xml.MetaData	normalize	0	true	normalize
scala-xml	shared/src/main/scala/scala/xml/MetaData.scala	68	15	call_arg	scala.xml.MetaData	concatenate	0	true	concatenate
scala-xml	shared/src/main/scala/scala/xml/MetaData.scala	102	5	typed_decl	scala.xml.MetaData	update	8	false	MetaData.update
scala-xml	shared/src/main/scala/scala/xml/Elem.scala	69	39	typed_decl	scala.xml.MetaData	normalize	8	false	MetaData.normalize
