project	file	line	col	category	expected	member	chars_saved	import_based	source
scalacheck	core/shared/src/main/scala/org/scalacheck/Test.scala	434	13	call_arg	org.scalacheck.Test$.Parameters	default	10	false	Parameters.default
scalacheck	core/shared/src/main/scala/org/scalacheck/Test.scala	455	50	call_arg	org.scalacheck.rng.Seed	random	8	false	rng.Seed.random
scalacheck	core/shared/src/main/scala/org/scalacheck/Test.scala	532	14	call_arg	org.scalacheck.Test$.Parameters	default	10	false	Parameters.default
scalacheck	core/shared/src/main/scala/org/scalacheck/Shrink.scala	298	25	if_branch	scala.collection.immutable.Stream	empty	6	false	Stream.empty
scalacheck	core/shared/src/main/scala/org/scalacheck/Shrink.scala	298	25	if_branch	scala.collection.immutable.Stream	empty	6	false	Stream.empty
scalacheck	core/shared/src/main/scala/org/scalacheck/Shrink.scala	329	41	if_branch	scala.collection.immutable.Stream	empty	6	false	Stream.empty
scalacheck	core/shared/src/main/scala/org/scalacheck/Shrink.scala	329	41	if_branch	scala.collection.immutable.Stream	empty	6	false	Stream.empty
scalacheck	core/shared/src/main/scala/org/scalacheck/Shrink.scala	79	21	if_branch	scala.collection.immutable.Stream	empty	0	true	empty
scalacheck	core/shared/src/main/scala/org/scalacheck/Shrink.scala	79	21	if_branch	scala.collection.immutable.Stream	empty	0	true	empty
scalacheck	core/shared/src/main/scala/org/scalacheck/Shrink.scala	80	36	call_arg	scala.collection.immutable.Stream	empty	0	true	empty
scalacheck	core/shared/src/main/scala/org/scalacheck/Shrink.scala	80	36	call_arg	scala.collection.immutable.Stream	empty	0	true	empty
scalacheck	core/shared/src/main/scala/org/scalacheck/Shrink.scala	80	43	call_arg	scala.collection.immutable.Stream	empty	0	true	empty
scalacheck	core/shared/src/main/scala/org/scalacheck/Shrink.scala	80	43	call_arg	scala.collection.immutable.Stream	empty	0	true	empty
scalacheck	core/shared/src/main/scala/org/scalacheck/Shrink.scala	95	21	if_branch	scala.collection.immutable.Stream	empty	0	true	empty
scalacheck	core/shared/src/main/scala/org/scalacheck/Shrink.scala	95	21	if_branch	scala.collection.immutable.Stream	empty	0	true	empty
scalacheck	core/shared/src/main/scala/org/scalacheck/Shrink.scala	263	5	typed_decl	org.scalacheck.Shrink	xmap	0	true	xmap
