project	file	line	col	category	expected	member	chars_saved	import_based	source
scalapb-runtime	scalapb-runtime/src/main/scala/scalapb/UnknownFieldSet.scala	15	68	default_arg	scala.collection.immutable.Map	empty	3	false	Map.empty
scalapb-runtime	scalapb-runtime/src/main/scala/scalapb/UnknownFieldSet.scala	15	68	default_arg	scala.collection.immutable.Map	empty	3	false	Map.empty
scalapb-runtime	scalapb-runtime/src/main/scala/scalapb/StructUtils.scala	40	32	nested_pattern	scalapb.descriptors.ScalaType	Int	9	false	ScalaType.Int
scalapb-runtime	scalapb-runtime/src/main/scala/scalapb/StructUtils.scala	42	32	nested_pattern	scalapb.descriptors.ScalaType	Long	9	false	ScalaType.Long
scalapb-runtime	scalapb-runtime/src/main/scala/scalapb/StructUtils.scala	54	32	nested_pattern	scalapb.descriptors.ScalaType	Double	9	false	ScalaType.Double
scalapb-runtime	scalapb-runtime/src/main/scala/scalapb/StructUtils.scala	55	32	nested_pattern	scalapb.descriptors.ScalaType	Float	9	false	ScalaType.Float
scalapb-runtime	scalapb-runtime/src/main/scala/scalapb/StructUtils.scala	56	32	nested_pattern	scalapb.descriptors.ScalaType	ByteString	9	false	ScalaType.ByteString
scalapb-runtime	scalapb-runtime/src/main/scala/scalapb/StructUtils.scala	57	25	call_arg	com.google.protobuf.ByteString	copyFrom	10	false	ByteString.copyFrom
scalapb-runtime	scalapb-runtime/src/main/scala/scalapb/StructUtils.scala	67	32	nested_pattern	scalapb.descriptors.ScalaType	String	9	false	ScalaType.String
scalapb-runtime	scalapb-runtime/src/main/scala/scalapb/StructUtils.scala	68	30	nested_pattern	scalapb.descriptors.ScalaType	Boolean	9	false	ScalaType.Boolean
scalapb-runtime	scalapb-runtime/src/main/scala/scalapb/StructUtils.scala	73	11	nested_pattern	com.google.protobuf.struct.Value$.Kind	Empty	4	false	Kind.Empty
scalapb-runtime	scalapb-runtime/src/main/scala/scalapb/StructUtils.scala	84	17	call_arg	scala.collection.immutable.Vector	empty	6	false	Vector.empty
scalapb-runtime	scalapb-runtime/src/main/scala/scalapb/StructUtils.scala	84	17	call_arg	scala.collection.immutable.Vector	empty	6	false	Vector.empty
scalapb-runtime	scalapb-runtime/src/main/scala/scalapb/StructUtils.scala	117	61	call_arg	scala.collection.immutable.Vector	empty	6	false	Vector.empty
scalapb-runtime	scalapb-runtime/src/main/scala/scalapb/StructUtils.scala	117	61	call_arg	scala.collection.immutable.Vector	empty	6	false	Vector.empty
scalapb-runtime	scalapb-runtime/src/main/scala/scalapb/LiteParser.scala	37	26	call_arg	com.google.protobuf.CodedInputStream	newInstance	16	false	CodedInputStream.newInstance
scalapb-runtime	scalapb-runtime/src/main/scala/scalapb/GeneratedMessageCompanion.scala	175	52	call_arg	com.google.protobuf.CodedInputStream	newInstance	16	false	CodedInputStream.newInstance
