project	file	line	col	category	expected	member	chars_saved	import_based	source
scalaz-core	core/src/main/scala/scalaz/Zipper.scala	376	7	typed_decl	scalaz.Zipper	zipper	0	true	zipper
scalaz-core	core/src/main/scala/scalaz/Zipper.scala	376	14	call_arg	scala.collection.immutable.LazyList	continually	8	false	LazyList.continually
scalaz-core	core/src/main/scala/scalaz/Zipper.scala	376	42	call_arg	scala.collection.immutable.LazyList	continually	8	false	LazyList.continually
scalaz-core	core/src/main/scala/scalaz/Zipper.scala	444	55	typed_decl	scalaz.Show	show	4	false	Show.show
scalaz-core	core/src/main/scala/scalaz/Zipper.scala	452	49	typed_decl	scalaz.IsCovariant	force	11	false	IsCovariant.force
scalaz-core	core/src/main/scala/scalaz/Zipper.scala	452	49	typed_decl	scalaz.IsCovariant	force	11	false	IsCovariant.force
scalaz-core	core/src/main/scala/scalaz/Zipper.scala	17	5	typed_decl	scalaz.Zipper	zipper	0	true	zipper
scalaz-core	core/src/main/scala/scalaz/Zipper.scala	50	31	call_arg	scalaz.Zipper	zipper	0	true	zipper
scalaz-core	core/src/main/scala/scalaz/Zipper.scala	64	31	call_arg	scalaz.Zipper	zipper	0	true	zipper
scalaz-core	core/src/main/scala/scalaz/Zipper.scala	86	37	typed_decl	scalaz.Zipper	zipper	0	true	zipper
scalaz-core	core/src/main/scala/scalaz/Zipper.scala	91	38	typed_decl	scalaz.Zipper	zipper	0	true	zipper
scalaz-core	core/src/main/scala/scalaz/Zipper.scala	103	31	call_arg	scalaz.Zipper	zipper	0	true	zipper
scalaz-core	core/src/main/scala/scalaz/Zipper.scala	105	33	call_arg	scalaz.Zipper	zipper	0	true	zipper
scalaz-core	core/src/main/scala/scalaz/Zipper.scala	105	40	call_arg	scala.collection.immutable.LazyList	empty	8	false	LazyList.empty
scalaz-core	core/src/main/scala/scalaz/Zipper.scala	105	40	call_arg	scala.collection.immutable.LazyList	empty	8	false	LazyList.empty
scalaz-core	core/src/main/scala/scalaz/Zipper.scala	122	31	call_arg	scalaz.Zipper	zipper	0	true	zipper
scalaz-core	core/src/main/scala/scalaz/Zipper.scala	124	33	call_arg	scalaz.Zipper	zipper	0	true	zipper
