project	file	line	col	category	expected	member	chars_saved	import_based	source
sconfig	sconfig/shared/src/main/scala/org/ekrich/config/ConfigRenderOptions.scala	41	5	call_arg	org.ekrich.config.ConfigFormatOptions	defaults	19	false	ConfigFormatOptions.defaults
sconfig	sconfig/shared/src/main/scala/org/ekrich/config/ConfigRenderOptions.scala	64	5	call_arg	org.ekrich.config.ConfigFormatOptions	defaults	19	false	ConfigFormatOptions.defaults
sconfig	sconfig/shared/src/main/scala/org/ekrich/config/ConfigMemorySize.scala	36	5	call_arg	java.math.BigInteger	valueOf	13	false	jm.BigInteger.valueOf
sconfig	sconfig/shared/src/main/scala/org/ekrich/config/ConfigFactoryShared.scala	35	20	call_arg	org.ekrich.config.ConfigParseOptions	defaults	18	false	ConfigParseOptions.defaults
sconfig	sconfig/shared/src/main/scala/org/ekrich/config/ConfigFactoryShared.scala	69	25	call_arg	org.ekrich.config.ConfigParseOptions	defaults	18	false	ConfigParseOptions.defaults
sconfig	sconfig/shared/src/main/scala/org/ekrich/config/ConfigFactory.scala	68	7	call_arg	org.ekrich.config.ConfigParseOptions	defaults	18	false	ConfigParseOptions.defaults
sconfig	sconfig/shared/src/main/scala/org/ekrich/config/ConfigFactory.scala	69	7	call_arg	org.ekrich.config.ConfigResolveOptions	defaults	20	false	ConfigResolveOptions.defaults
sconfig	sconfig/shared/src/main/scala/org/ekrich/config/ConfigFactory.scala	96	7	call_arg	org.ekrich.config.ConfigResolveOptions	defaults	20	false	ConfigResolveOptions.defaults
sconfig	sconfig/shared/src/main/scala/org/ekrich/config/ConfigFactory.scala	192	26	call_arg	org.ekrich.config.ConfigResolveOptions	defaults	20	false	ConfigResolveOptions.defaults
sconfig	sconfig/shared/src/main/scala/org/ekrich/config/ConfigFactory.scala	261	24	call_arg	org.ekrich.config.ConfigResolveOptions	defaults	20	false	ConfigResolveOptions.defaults
sconfig	sconfig/shared/src/main/scala/org/ekrich/config/ConfigFactory.scala	308	18	call_arg	org.ekrich.config.ConfigParseOptions	defaults	18	false	ConfigParseOptions.defaults
sconfig	sconfig/shared/src/main/scala/org/ekrich/config/ConfigFactory.scala	458	24	call_arg	org.ekrich.config.ConfigParseOptions	defaults	18	false	ConfigParseOptions.defaults
sconfig	sconfig/shared/src/main/scala/org/ekrich/config/ConfigFactory.scala	616	33	call_arg	org.ekrich.config.ConfigParseOptions	defaults	18	false	ConfigParseOptions.defaults
sconfig	sconfig/shared/src/main/scala/org/ekrich/config/ConfigFactory.scala	649	50	call_arg	org.ekrich.config.ConfigParseOptions	defaults	18	false	ConfigParseOptions.defaults
sconfig	sconfig/shared/src/main/scala/org/ekrich/config/ConfigFactory.scala	683	21	call_arg	org.ekrich.config.ConfigParseOptions	defaults	18	false	ConfigParseOptions.defaults
sconfig	sconfig/shared/src/main/scala/org/ekrich/config/ConfigFactory.scala	731	38	call_arg	org.ekrich.config.ConfigParseOptions	defaults	18	false	ConfigParseOptions.defaults
sconfig	sconfig/shared/src/main/scala/org/ekrich/config/ConfigFactory.scala	782	37	call_arg	org.ekrich.config.ConfigParseOptions	defaults	18	false	ConfigParseOptions.defaults
sconfig	sconfig/shared/src/main/scala/org/ekrich/config/ConfigFactory.scala	844	7	call_arg	org.ekrich.config.ConfigParseOptions	defaults	18	false	ConfigParseOptions.defaults
sconfig	sconfig/shared/src/main/scala/org/ekrich/config/ConfigFactory.scala	888	38	call_arg	org.ekrich.config.ConfigParseOptions	defaults	18	false	ConfigParseOptions.defaults
sconfig	sconfig/shared/src/main/scala/org/ekrich/config/ConfigFactory.scala	940	7	call_arg	org.ekrich.config.ConfigParseOptions	defaults	18	false	ConfigParseOptions.defaults
sconfig	sconfig/shared/src/main/scala/org/ekrich/config/ConfigFactory.scala	973	30	call_arg	org.ekrich.config.ConfigParseOptions	defaults	18	false	ConfigParseOptions.defaults
sconfig	sconfig/shared/src/main/scala/org/ekrich/config/ConfigFactory.scala	1006	47	call_arg	org.ekrich.config.ConfigParseOptions	defaults	18	false	ConfigParseOptions.defaults
sconfig	sconfig/shared/src/main/scala/org/ekrich/config/parser/ConfigDocumentFactoryShared.scala	42	25	call_arg	org.ekrich.config.ConfigParseOptions	defaults	18	false	ConfigParseOptions.defaults
sconfig	sconfig/shared/src/main/scala/org/ekrich/config/parser/ConfigDocumentFactoryShared.scala	67	20	call_arg	org.ekrich.config.ConfigParseOptions	defaults	18	false	ConfigParseOptions.defaults
