project	file	line	col	category	expected	member	chars_saved	import_based	source
specs2-common	common/shared/src/main/scala/org/specs2/time/Timer.scala	114	30	typed_decl	org.specs2.fp.Monad	idMonad	5	false	Monad.idMonad
specs2-common	common/shared/src/main/scala/org/specs2/text/SourceFile.scala	35	12	if_branch	scala.collection.immutable.LazyList	empty	8	false	LazyList.empty
specs2-common	common/shared/src/main/scala/org/specs2/text/SourceFile.scala	35	12	if_branch	scala.collection.immutable.LazyList	empty	8	false	LazyList.empty
specs2-common	common/shared/src/main/scala/org/specs2/text/SourceFile.scala	39	7	call_arg	org.specs2.control.Operation	delayed	9	false	Operation.delayed
specs2-common	common/shared/src/main/scala/org/specs2/text/SourceFile.scala	45	12	if_branch	scala.collection.immutable.LazyList	empty	8	false	LazyList.empty
specs2-common	common/shared/src/main/scala/org/specs2/text/SourceFile.scala	45	12	if_branch	scala.collection.immutable.LazyList	empty	8	false	LazyList.empty
specs2-common	common/shared/src/main/scala/org/specs2/text/Sentences.scala	14	5	typed_decl	org.specs2.collection.BiMap	fromSeq	5	false	BiMap.fromSeq
specs2-common	common/shared/src/main/scala/org/specs2/text/Regexes.scala	19	31	call_arg	java.util.regex.Pattern	compile	7	false	Pattern.compile
specs2-common	common/shared/src/main/scala/org/specs2/text/Regexes.scala	20	9	call_arg	java.util.regex.Pattern	compile	7	false	Pattern.compile
specs2-common	common/shared/src/main/scala/org/specs2/text/ContentDifference.scala	56	65	call_arg	scala.math.Equiv	universal	5	false	Equiv.universal
specs2-common	common/shared/src/main/scala/org/specs2/text/ContentDifference.scala	56	65	call_arg	scala.math.Equiv	universal	5	false	Equiv.universal
specs2-common	common/jvm/src/main/scala/org/specs2/reflect/Classes.scala	80	13	call_arg	org.specs2.control.Operation	fail	9	false	Operation.fail
specs2-common	common/jvm/src/main/scala/org/specs2/reflect/Classes.scala	118	12	if_branch	org.specs2.control.Operation	fail	9	false	Operation.fail
specs2-common	common/jvm/src/main/scala/org/specs2/reflect/Classes.scala	132	5	typed_decl	org.specs2.control.Operation	delayed	9	false	Operation.delayed
specs2-common	common/jvm/src/main/scala/org/specs2/reflect/Classes.scala	143	81	typed_decl	org.specs2.control.Operation	delayed	9	false	Operation.delayed
specs2-common	common/shared/src/main/scala/org/specs2/main/ArgumentsShortcuts.scala	31	40	call_arg	scala.Int	MaxValue	3	false	Int.MaxValue
specs2-common	common/shared/src/main/scala/org/specs2/main/Arguments.scala	119	5	typed_decl	org.specs2.main.Arguments	extract	0	true	extract
specs2-common	common/shared/src/main/scala/org/specs2/main/Arguments.scala	127	16	call_arg	org.specs2.main.Select	extract	6	false	Select.extract
specs2-common	common/shared/src/main/scala/org/specs2/main/Arguments.scala	128	17	call_arg	org.specs2.main.Execute	extract	7	false	Execute.extract
specs2-common	common/shared/src/main/scala/org/specs2/main/Arguments.scala	129	15	call_arg	org.specs2.main.Store	extract	5	false	Store.extract
specs2-common	common/shared/src/main/scala/org/specs2/main/Arguments.scala	130	16	call_arg	org.specs2.main.Report	extract	6	false	Report.extract
specs2-common	common/shared/src/main/scala/org/specs2/main/Arguments.scala	131	21	call_arg	org.specs2.main.CommandLine	extract	11	false	CommandLine.extract
specs2-common	common/shared/src/main/scala/org/specs2/io/FileSystem.scala	22	5	typed_decl	org.specs2.control.Operation	delayed	9	false	Operation.delayed
specs2-common	common/shared/src/main/scala/org/specs2/io/FileSystem.scala	57	5	call_arg	org.specs2.control.Operation	protect	9	false	Operation.protect
specs2-common	common/shared/src/main/scala/org/specs2/io/FileSystem.scala	121	5	typed_decl	org.specs2.control.Operation	delayed	9	false	Operation.delayed
specs2-common	common/shared/src/main/scala/org/specs2/io/FileSystem.scala	164	7	call_arg	org.specs2.control.Operation	delayed	9	false	Operation.delayed
specs2-common	common/shared/src/main/scala/org/specs2/io/FileSystem.scala	183	7	call_arg	org.specs2.control.Operation	delayed	9	false	Operation.delayed
specs2-common	common/shared/src/main/scala/org/specs2/io/FileSystem.scala	187	5	call_arg	org.specs2.control.Operation	delayed	9	false	Operation.delayed
specs2-common	common/shared/src/main/scala/org/specs2/io/FilePathReader.scala	54	5	typed_decl	org.specs2.control.Operation	delayed	9	false	Operation.delayed
specs2-common	common/shared/src/main/scala/org/specs2/io/FilePathReader.scala	66	5	typed_decl	org.specs2.control.Operation	delayed	9	false	Operation.delayed
