project	file	line	col	category	expected	member	chars_saved	import_based	source
specs2-core	core/shared/src/main/scala/specs2/files.scala	19	47	call_arg	org.specs2.runner.SpecificationsFinder	create	20	false	SpecificationsFinder.create
specs2-core	core/shared/src/main/scala/org/specs2/specification/Contexts.scala	103	9	call_arg	org.specs2.specification.core.Execution	withEnvFlatten	9	false	Execution.withEnvFlatten
specs2-core	core/shared/src/main/scala/org/specs2/specification/Contexts.scala	126	7	typed_decl	org.specs2.specification.core.Execution	withEnvFlatten	9	false	Execution.withEnvFlatten
specs2-core	core/shared/src/main/scala/org/specs2/specification/process/StatisticsRepository.scala	78	32	typed_decl	org.specs2.control.Operation	ok	9	false	Operation.ok
specs2-core	core/shared/src/main/scala/org/specs2/specification/process/Statistics.scala	58	10	if_branch	org.specs2.specification.process.Stats	empty	5	false	Stats.empty
specs2-core	core/shared/src/main/scala/org/specs2/specification/process/Statistics.scala	65	10	if_branch	org.specs2.control.Action	pure	6	false	Action.pure
specs2-core	core/shared/src/main/scala/org/specs2/specification/process/Statistics.scala	65	22	call_arg	org.specs2.specification.process.Stats	empty	5	false	Stats.empty
specs2-core	core/shared/src/main/scala/org/specs2/specification/process/Indentation.scala	32	50	call_arg	org.specs2.specification.process.IndentationState	empty	16	false	IndentationState.empty
specs2-core	core/shared/src/main/scala/org/specs2/specification/process/Selector.scala	89	18	call_arg	org.specs2.specification.core.Execution	NoExecution	9	false	Execution.NoExecution
specs2-core	core/shared/src/main/scala/org/specs2/specification/dsl/SpecStructureDsl.scala	92	7	typed_decl	org.specs2.specification.core.SpecStructure	create	13	false	SpecStructure.create
specs2-core	core/shared/src/main/scala/org/specs2/specification/dsl/SpecStructureDsl.scala	96	7	typed_decl	org.specs2.specification.core.SpecStructure	create	13	false	SpecStructure.create
specs2-core	core/shared/src/main/scala/org/specs2/specification/dsl/SpecStructureDsl.scala	121	7	typed_decl	org.specs2.specification.core.SpecStructure	create	13	false	SpecStructure.create
specs2-core	core/shared/src/main/scala/org/specs2/specification/dsl/SpecStructureDsl.scala	125	7	typed_decl	org.specs2.specification.core.SpecStructure	create	13	false	SpecStructure.create
specs2-core	core/shared/src/main/scala/org/specs2/specification/dsl/SpecStructureDsl.scala	129	7	typed_decl	org.specs2.specification.core.SpecStructure	create	13	false	SpecStructure.create
specs2-core	core/shared/src/main/scala/org/specs2/specification/dsl/SpecStructureDsl.scala	133	7	typed_decl	org.specs2.specification.core.SpecStructure	create	13	false	SpecStructure.create
specs2-core	core/shared/src/main/scala/org/specs2/specification/dsl/SpecStructureDsl.scala	176	7	typed_decl	org.specs2.specification.core.SpecStructure	create	13	false	SpecStructure.create
