project	file	line	col	category	expected	member	chars_saved	import_based	source
specs2-fp	fp/src/main/scala/org/specs2/fp/TreeLoc.scala	13	39	call_arg	org.specs2.fp.TreeLoc	loc	0	true	loc
specs2-fp	fp/src/main/scala/org/specs2/fp/TreeLoc.scala	25	27	call_arg	org.specs2.fp.TreeLoc	loc	0	true	loc
specs2-fp	fp/src/main/scala/org/specs2/fp/TreeLoc.scala	30	27	call_arg	org.specs2.fp.TreeLoc	loc	0	true	loc
specs2-fp	fp/src/main/scala/org/specs2/fp/TreeLoc.scala	35	27	call_arg	org.specs2.fp.TreeLoc	loc	0	true	loc
specs2-fp	fp/src/main/scala/org/specs2/fp/TreeLoc.scala	35	34	call_arg	scala.collection.immutable.LazyList	empty	8	false	LazyList.empty
specs2-fp	fp/src/main/scala/org/specs2/fp/TreeLoc.scala	35	34	call_arg	scala.collection.immutable.LazyList	empty	8	false	LazyList.empty
specs2-fp	fp/src/main/scala/org/specs2/fp/TreeLoc.scala	40	27	call_arg	org.specs2.fp.TreeLoc	loc	0	true	loc
specs2-fp	fp/src/main/scala/org/specs2/fp/TreeLoc.scala	40	38	call_arg	scala.collection.immutable.LazyList	empty	8	false	LazyList.empty
specs2-fp	fp/src/main/scala/org/specs2/fp/TreeLoc.scala	40	38	call_arg	scala.collection.immutable.LazyList	empty	8	false	LazyList.empty
specs2-fp	fp/src/main/scala/org/specs2/fp/TreeLoc.scala	91	41	typed_decl	org.specs2.fp.TreeLoc	loc	0	true	loc
specs2-fp	fp/src/main/scala/org/specs2/fp/TreeLoc.scala	106	44	typed_decl	org.specs2.fp.TreeLoc	loc	0	true	loc
specs2-fp	fp/src/main/scala/org/specs2/fp/TreeLoc.scala	109	45	typed_decl	org.specs2.fp.TreeLoc	loc	0	true	loc
specs2-fp	fp/src/main/scala/org/specs2/fp/TreeLoc.scala	112	49	typed_decl	org.specs2.fp.TreeLoc	loc	0	true	loc
specs2-fp	fp/src/main/scala/org/specs2/fp/TreeLoc.scala	112	56	call_arg	scala.collection.immutable.LazyList	empty	8	false	LazyList.empty
specs2-fp	fp/src/main/scala/org/specs2/fp/TreeLoc.scala	112	56	call_arg	scala.collection.immutable.LazyList	empty	8	false	LazyList.empty
