project	file	line	col	category	expected	member	chars_saved	import_based	source
specs2-matcher	matcher/shared/src/main/scala/org/specs2/matcher/TryMatchers.scala	50	78	call_arg	org.specs2.matcher.ValueCheck	alwaysOk	10	false	ValueCheck.alwaysOk
specs2-matcher	matcher/shared/src/main/scala/org/specs2/matcher/TryMatchers.scala	50	78	call_arg	org.specs2.matcher.ValueCheck	alwaysOk	10	false	ValueCheck.alwaysOk
specs2-matcher	matcher/shared/src/main/scala/org/specs2/matcher/ResultMatchers.scala	24	15	call_arg	org.specs2.matcher.ValueCheck	alwaysOk	10	false	ValueCheck.alwaysOk
specs2-matcher	matcher/shared/src/main/scala/org/specs2/matcher/ResultMatchers.scala	24	15	call_arg	org.specs2.matcher.ValueCheck	alwaysOk	10	false	ValueCheck.alwaysOk
specs2-matcher	matcher/shared/src/main/scala/org/specs2/matcher/ResultMatchers.scala	38	13	call_arg	org.specs2.matcher.ValueCheck	alwaysOk	10	false	ValueCheck.alwaysOk
specs2-matcher	matcher/shared/src/main/scala/org/specs2/matcher/ResultMatchers.scala	38	13	call_arg	org.specs2.matcher.ValueCheck	alwaysOk	10	false	ValueCheck.alwaysOk
specs2-matcher	matcher/shared/src/main/scala/org/specs2/matcher/ResultMatchers.scala	52	15	call_arg	org.specs2.matcher.ValueCheck	alwaysOk	10	false	ValueCheck.alwaysOk
specs2-matcher	matcher/shared/src/main/scala/org/specs2/matcher/ResultMatchers.scala	52	15	call_arg	org.specs2.matcher.ValueCheck	alwaysOk	10	false	ValueCheck.alwaysOk
specs2-matcher	matcher/shared/src/main/scala/org/specs2/matcher/ResultMatchers.scala	66	15	call_arg	org.specs2.matcher.ValueCheck	alwaysOk	10	false	ValueCheck.alwaysOk
specs2-matcher	matcher/shared/src/main/scala/org/specs2/matcher/ResultMatchers.scala	66	15	call_arg	org.specs2.matcher.ValueCheck	alwaysOk	10	false	ValueCheck.alwaysOk
specs2-matcher	matcher/shared/src/main/scala/org/specs2/matcher/StringMatchers.scala	167	17	call_arg	java.util.regex.Pattern	compile	7	false	Pattern.compile
specs2-matcher	matcher/shared/src/main/scala/org/specs2/matcher/StringMatchers.scala	168	9	call_arg	java.util.regex.Pattern	compile	7	false	Pattern.compile
specs2-matcher	matcher/shared/src/main/scala/org/specs2/matcher/CheckedResults.scala	13	24	call_arg	org.specs2.execute.Result	result	0	true	result
specs2-matcher	matcher/shared/src/main/scala/org/specs2/matcher/CheckedResults.scala	16	24	call_arg	org.specs2.execute.Result	result	0	true	result
specs2-matcher	matcher/shared/src/main/scala/org/specs2/matcher/CheckedResults.scala	19	24	call_arg	org.specs2.execute.Result	result	0	true	result
specs2-matcher	matcher/shared/src/main/scala/org/specs2/matcher/CheckedResults.scala	22	24	call_arg	org.specs2.execute.Result	result	0	true	result
specs2-matcher	matcher/shared/src/main/scala/org/specs2/matcher/ExpectationsDescription.scala	50	46	call_arg	org.specs2.matcher.Checker	pass	7	false	Checker.pass
specs2-matcher	matcher/shared/src/main/scala/org/specs2/matcher/Expectations.scala	23	25	call_arg	org.specs2.matcher.Checker	pass	7	false	Checker.pass
specs2-matcher	matcher/shared/src/main/scala/org/specs2/matcher/Expectable.scala	19	24	default_arg	org.specs2.matcher.Checker	pass	7	false	Checker.pass
specs2-matcher	matcher/shared/src/main/scala/org/specs2/matcher/EqualityMatcher.scala	32	5	typed_decl	org.specs2.execute.Result	result	0	true	result
specs2-matcher	matcher/shared/src/main/scala/org/specs2/matcher/DataTable.scala	587	23	call_arg	scala.concurrent.duration.Duration	Inf	8	false	Duration.Inf
specs2-matcher	matcher/shared/src/main/scala/org/specs2/matcher/IterableMatchers.scala	583	41	if_branch	org.specs2.execute.Result	result	6	false	Result.result
specs2-matcher	matcher/shared/src/main/scala/org/specs2/matcher/IterableMatchers.scala	584	18	if_branch	org.specs2.execute.Result	result	6	false	Result.result
specs2-matcher	matcher/shared/src/main/scala/org/specs2/matcher/IterableMatchers.scala	586	13	if_branch	org.specs2.execute.Result	result	6	false	Result.result
specs2-matcher	matcher/shared/src/main/scala/org/specs2/matcher/IterableMatchers.scala	592	13	if_branch	org.specs2.execute.Result	result	6	false	Result.result
specs2-matcher	matcher/shared/src/main/scala/org/specs2/matcher/IterableMatchers.scala	596	16	if_branch	org.specs2.execute.Result	result	6	false	Result.result
specs2-matcher	matcher/shared/src/main/scala/org/specs2/matcher/IterableMatchers.scala	598	11	if_branch	org.specs2.execute.Result	result	6	false	Result.result
specs2-matcher	matcher/shared/src/main/scala/org/specs2/matcher/IterableMatchers.scala	600	11	if_branch	org.specs2.execute.Result	result	6	false	Result.result
specs2-matcher	matcher/shared/src/main/scala/org/specs2/matcher/IterableMatchers.scala	607	11	if_branch	org.specs2.execute.Result	result	6	false	Result.result
specs2-matcher	matcher/shared/src/main/scala/org/specs2/matcher/IterableMatchers.scala	615	9	if_branch	org.specs2.execute.Result	result	6	false	Result.result
specs2-matcher	matcher/shared/src/main/scala/org/specs2/matcher/NumericMatchers.scala	182	52	call_arg	java.math.RoundingMode	HALF_UP	12	false	RoundingMode.HALF_UP
specs2-matcher	matcher/shared/src/main/scala/org/specs2/matcher/NumericMatchers.scala	183	80	call_arg	java.math.RoundingMode	HALF_UP	12	false	RoundingMode.HALF_UP
specs2-matcher	matcher/shared/src/main/scala/org/specs2/matcher/AnyMatchers.scala	186	5	typed_decl	org.specs2.execute.Result	result	0	true	result
