project	file	line	col	category	expected	member	chars_saved	import_based	source
utest	/home/runner/work/utest/utest/out/utest/jvm/3.3.6/generatedSources.dest/TPrintImpl.scala	89	25	call_arg	utest.shaded.pprint.TPrintLowPri$.WrapType$.NoWrap$	NoWrap	8	false	WrapType.NoWrap
utest	/home/runner/work/utest/utest/out/utest/jvm/3.3.6/generatedSources.dest/TPrintImpl.scala	92	25	call_arg	utest.shaded.pprint.TPrintLowPri$.WrapType$.NoWrap$	NoWrap	8	false	WrapType.NoWrap
utest	/home/runner/work/utest/utest/out/utest/jvm/3.3.6/generatedSources.dest/TPrintImpl.scala	105	13	call_arg	utest.shaded.pprint.TPrintLowPri$.WrapType$.Infix$	Infix	8	false	WrapType.Infix
utest	/home/runner/work/utest/utest/out/utest/jvm/3.3.6/generatedSources.dest/TPrintImpl.scala	109	66	call_arg	utest.shaded.pprint.TPrintLowPri$.WrapType$.Tuple$	Tuple	8	false	WrapType.Tuple
utest	/home/runner/work/utest/utest/out/utest/jvm/3.3.6/generatedSources.dest/TPrintImpl.scala	110	65	call_arg	utest.shaded.pprint.TPrintLowPri$.WrapType$.NoWrap$	NoWrap	8	false	WrapType.NoWrap
utest	/home/runner/work/utest/utest/out/utest/jvm/3.3.6/generatedSources.dest/TPrintImpl.scala	122	93	call_arg	utest.shaded.pprint.TPrintLowPri$.WrapType$.NoWrap$	NoWrap	8	false	WrapType.NoWrap
utest	/home/runner/work/utest/utest/out/utest/jvm/3.3.6/generatedSources.dest/TPrintImpl.scala	124	28	call_arg	utest.shaded.pprint.TPrintLowPri$.WrapType$.NoWrap$	NoWrap	8	false	WrapType.NoWrap
utest	/home/runner/work/utest/utest/out/utest/jvm/3.3.6/generatedSources.dest/TPrintImpl.scala	126	35	call_arg	utest.shaded.pprint.TPrintLowPri$.WrapType$.NoWrap$	NoWrap	8	false	WrapType.NoWrap
utest	/home/runner/work/utest/utest/out/utest/jvm/3.3.6/generatedSources.dest/pprint/TPrint.scala	32	5	typed_decl	utest.shaded.pprint.TPrint	recolor	0	true	recolor
utest	/home/runner/work/utest/utest/out/utest/jvm/3.3.6/generatedSources.dest/pprint/PPrinter.scala	112	5	typed_decl	utest.shaded.fansi.Str	join	9	false	fansi.Str.join
utest	/home/runner/work/utest/utest/out/utest/jvm/3.3.6/generatedSources.dest/pprint/PPrinter.scala	25	70	default_arg	scala.PartialFunction	empty	15	false	PartialFunction.empty
utest	/home/runner/work/utest/utest/out/utest/jvm/3.3.6/generatedSources.dest/pprint/PPrinter.scala	25	70	default_arg	scala.PartialFunction	empty	15	false	PartialFunction.empty
utest	/home/runner/work/utest/utest/out/utest/jvm/3.3.6/generatedSources.dest/fansi/Fansi.scala	228	62	typed_decl	utest.shaded.fansi.Str	apply	0	true	apply
utest	/home/runner/work/utest/utest/out/utest/jvm/3.3.6/generatedSources.dest/fansi/Fansi.scala	246	48	call_arg	utest.shaded.fansi.ErrorMode	Sanitize	9	false	ErrorMode.Sanitize
utest	/home/runner/work/utest/utest/out/utest/jvm/3.3.6/generatedSources.dest/fansi/Fansi.scala	249	45	call_arg	utest.shaded.fansi.ErrorMode	Strip	9	false	ErrorMode.Strip
utest	/home/runner/work/utest/utest/out/utest/jvm/3.3.6/generatedSources.dest/fansi/Fansi.scala	252	45	call_arg	utest.shaded.fansi.ErrorMode	Throw	9	false	ErrorMode.Throw
utest	/home/runner/work/utest/utest/out/utest/jvm/3.3.6/generatedSources.dest/fansi/Fansi.scala	265	55	default_arg	utest.shaded.fansi.ErrorMode	Sanitize	9	false	ErrorMode.Sanitize
utest	/home/runner/work/utest/utest/out/utest/jvm/3.3.6/generatedSources.dest/fansi/Fansi.scala	367	5	typed_decl	utest.shaded.fansi.Str	join	0	true	join
utest	/home/runner/work/utest/utest/out/utest/jvm/3.3.6/generatedSources.dest/fansi/Fansi.scala	402	29	call_arg	utest.shaded.fansi.EscapeAttr	Reset	4	false	Attr.Reset
utest	/home/runner/work/utest/utest/utest/src/utest/runner/MasterRunner.scala	59	57	call_arg	utest.shaded.fansi.Str	join	22	false	utest.shaded.fansi.Str.join
utest	/home/runner/work/utest/utest/utest/src/utest/runner/BaseRunner.scala	133	47	call_arg	sbt.testing.Status	Failure	6	false	Status.Failure
utest	/home/runner/work/utest/utest/utest/src-jvm/utest/framework/PlatformShims.scala	10	51	call_arg	scala.concurrent.duration.Duration	Inf	8	false	Duration.Inf
utest	/home/runner/work/utest/utest/utest/src/utest/framework/Formatter.scala	26	40	call_arg	utest.shaded.fansi.Attrs	Empty	11	false	fansi.Attrs.Empty
utest	/home/runner/work/utest/utest/utest/src/utest/framework/Formatter.scala	29	48	call_arg	utest.shaded.fansi.Attrs	Empty	11	false	fansi.Attrs.Empty
utest	/home/runner/work/utest/utest/utest/src/utest/framework/DefaultFormatters.scala	16	12	if_branch	utest.shaded.fansi.Str	join	22	false	utest.shaded.fansi.Str.join
utest	/home/runner/work/utest/utest/utest/src/utest/asserts/Util.scala	27	42	call_arg	scala.Array	empty	5	false	Array.empty
