project	file	line	col	category	expected	member	chars_saved	import_based	source
dfhdl-compiler-ir	compiler/ir/src/main/scala/dfhdl/options/PrinterOptions.scala	48	31	typed_decl	dfhdl.options.PrinterOptions$.DesignPrintFilter	All	0	true	All
dfhdl-compiler-ir	compiler/ir/src/main/scala/dfhdl/compiler/Equality.scala	3	50	typed_decl	scala.CanEqual	derived	8	false	CanEqual.derived
dfhdl-compiler-ir	compiler/ir/src/main/scala/dfhdl/compiler/Equality.scala	4	50	typed_decl	scala.CanEqual	derived	8	false	CanEqual.derived
dfhdl-compiler-ir	compiler/ir/src/main/scala/dfhdl/compiler/printing/Printer.scala	58	16	match_case	dfhdl.compiler.ir.DFNet$.Op	Connection	8	false	DFNet.Op.Connection
dfhdl-compiler-ir	compiler/ir/src/main/scala/dfhdl/compiler/printing/Printer.scala	59	16	match_case	dfhdl.compiler.ir.DFNet$.Op	ViaConnection	8	false	DFNet.Op.ViaConnection
dfhdl-compiler-ir	compiler/ir/src/main/scala/dfhdl/compiler/printing/Printer.scala	60	16	match_case	dfhdl.compiler.ir.DFNet$.Op	LazyConnection	8	false	DFNet.Op.LazyConnection
dfhdl-compiler-ir	compiler/ir/src/main/scala/dfhdl/compiler/printing/Printer.scala	72	16	match_case	dfhdl.compiler.ir.DFNet$.Op	Assignment	8	false	DFNet.Op.Assignment
dfhdl-compiler-ir	compiler/ir/src/main/scala/dfhdl/compiler/printing/Printer.scala	73	16	match_case	dfhdl.compiler.ir.DFNet$.Op	NBAssignment	8	false	DFNet.Op.NBAssignment
dfhdl-compiler-ir	compiler/ir/src/main/scala/dfhdl/compiler/printing/Printer.scala	84	12	match_case	dfhdl.compiler.ir.Config$package$.ClkCfg$.Edge	Rising	11	false	ClkCfg.Edge.Rising
dfhdl-compiler-ir	compiler/ir/src/main/scala/dfhdl/compiler/printing/Printer.scala	85	12	match_case	dfhdl.compiler.ir.Config$package$.ClkCfg$.Edge	Falling	11	false	ClkCfg.Edge.Falling
dfhdl-compiler-ir	compiler/ir/src/main/scala/dfhdl/compiler/printing/Printer.scala	96	12	match_case	dfhdl.compiler.ir.Config$package$.RstCfg$.Mode	Sync	11	false	RstCfg.Mode.Sync
dfhdl-compiler-ir	compiler/ir/src/main/scala/dfhdl/compiler/printing/Printer.scala	97	12	match_case	dfhdl.compiler.ir.Config$package$.RstCfg$.Mode	Async	11	false	RstCfg.Mode.Async
dfhdl-compiler-ir	compiler/ir/src/main/scala/dfhdl/compiler/printing/Printer.scala	100	12	match_case	dfhdl.compiler.ir.Config$package$.RstCfg$.Active	High	13	false	RstCfg.Active.High
dfhdl-compiler-ir	compiler/ir/src/main/scala/dfhdl/compiler/printing/Printer.scala	101	12	match_case	dfhdl.compiler.ir.Config$package$.RstCfg$.Active	Low	13	false	RstCfg.Active.Low
dfhdl-compiler-ir	compiler/ir/src/main/scala/dfhdl/compiler/printing/Printer.scala	114	12	match_case	dfhdl.compiler.ir.RTDomainCfg	Derived	11	false	RTDomainCfg.Derived
dfhdl-compiler-ir	compiler/ir/src/main/scala/dfhdl/compiler/printing/Printer.scala	132	16	match_case	dfhdl.compiler.ir.DFDesignBlock$.InstMode	Def	8	false	InstMode.Def
dfhdl-compiler-ir	compiler/ir/src/main/scala/dfhdl/compiler/printing/Printer.scala	167	12	match_case	dfhdl.compiler.ir.DFDesignBlock$.InstMode	Def	8	false	InstMode.Def
dfhdl-compiler-ir	compiler/ir/src/main/scala/dfhdl/compiler/printing/Printer.scala	179	13	call_arg	dfhdl.compiler.ir.SourceOrigin	Compiled	12	false	SourceOrigin.Compiled
dfhdl-compiler-ir	compiler/ir/src/main/scala/dfhdl/compiler/printing/Printer.scala	180	13	call_arg	dfhdl.compiler.ir.SourceType	DFHDLDef	10	false	SourceType.DFHDLDef
dfhdl-compiler-ir	compiler/ir/src/main/scala/dfhdl/compiler/printing/Printer.scala	188	9	call_arg	dfhdl.compiler.ir.SourceOrigin	Compiled	12	false	SourceOrigin.Compiled
dfhdl-compiler-ir	compiler/ir/src/main/scala/dfhdl/compiler/printing/Printer.scala	189	9	call_arg	dfhdl.compiler.ir.SourceType	GlobalDef	10	false	SourceType.GlobalDef
dfhdl-compiler-ir	compiler/ir/src/main/scala/dfhdl/compiler/printing/DFValPrinter.scala	204	13	nested_pattern	dfhdl.compiler.ir.DFVal$.Func$.Op	===	7	false	Func.Op.===
dfhdl-compiler-ir	compiler/ir/src/main/scala/dfhdl/compiler/printing/DFValPrinter.scala	205	13	nested_pattern	dfhdl.compiler.ir.DFVal$.Func$.Op	=!=	7	false	Func.Op.=!=
dfhdl-compiler-ir	compiler/ir/src/main/scala/dfhdl/compiler/printing/DFValPrinter.scala	207	13	nested_pattern	dfhdl.compiler.ir.DFVal$.Func$.Op	|	7	false	Func.Op.|
dfhdl-compiler-ir	compiler/ir/src/main/scala/dfhdl/compiler/printing/DFValPrinter.scala	207	25	nested_pattern	dfhdl.compiler.ir.DFVal$.Func$.Op	&	7	false	Func.Op.&
dfhdl-compiler-ir	compiler/ir/src/main/scala/dfhdl/compiler/printing/DFValPrinter.scala	228	16	match_case	dfhdl.compiler.ir.DFVal$.Func$.Op	+	7	false	Func.Op.+
dfhdl-compiler-ir	compiler/ir/src/main/scala/dfhdl/compiler/printing/DFValPrinter.scala	228	28	match_case	dfhdl.compiler.ir.DFVal$.Func$.Op	-	7	false	Func.Op.-
dfhdl-compiler-ir	compiler/ir/src/main/scala/dfhdl/compiler/printing/DFValPrinter.scala	238	16	match_case	dfhdl.compiler.ir.DFVal$.Func$.Op	unary_!	7	false	Func.Op.unary_!
dfhdl-compiler-ir	compiler/ir/src/main/scala/dfhdl/compiler/printing/DFValPrinter.scala	238	34	match_case	dfhdl.compiler.ir.DFVal$.Func$.Op	unary_-	7	false	Func.Op.unary_-
dfhdl-compiler-ir	compiler/ir/src/main/scala/dfhdl/compiler/printing/DFValPrinter.scala	238	52	match_case	dfhdl.compiler.ir.DFVal$.Func$.Op	unary_!	7	false	Func.Op.unary_!
dfhdl-compiler-ir	compiler/ir/src/main/scala/dfhdl/compiler/printing/DFValPrinter.scala	238	70	match_case	dfhdl.compiler.ir.DFVal$.Func$.Op	unary_~	7	false	Func.Op.unary_~
dfhdl-compiler-ir	compiler/ir/src/main/scala/dfhdl/compiler/printing/DFValPrinter.scala	242	16	match_case	dfhdl.compiler.ir.DFVal$.Func$.Op	clog2	7	false	Func.Op.clog2
dfhdl-compiler-ir	compiler/ir/src/main/scala/dfhdl/compiler/printing/DFValPrinter.scala	245	16	match_case	dfhdl.compiler.ir.DFVal$.Func$.Op	abs	7	false	Func.Op.abs
dfhdl-compiler-ir	compiler/ir/src/main/scala/dfhdl/compiler/printing/DFValPrinter.scala	253	16	match_case	dfhdl.compiler.ir.DFVal$.Func$.Op	++	13	false	DFVal.Func.Op.++
