project	file	line	col	category	expected	member	chars_saved	import_based	source
dfhdl-compiler-stages	compiler/stages/src/main/scala/dfhdl/backends.scala	23	34	call_arg	dfhdl.compiler.stages.verilog.VerilogDialect	sv2009	14	false	VerilogDialect.sv2009
dfhdl-compiler-stages	compiler/stages/src/main/scala/dfhdl/backends.scala	24	36	call_arg	dfhdl.compiler.stages.verilog.VerilogDialect	v95	14	false	VerilogDialect.v95
dfhdl-compiler-stages	compiler/stages/src/main/scala/dfhdl/backends.scala	25	38	call_arg	dfhdl.compiler.stages.verilog.VerilogDialect	v2001	14	false	VerilogDialect.v2001
dfhdl-compiler-stages	compiler/stages/src/main/scala/dfhdl/backends.scala	26	39	call_arg	dfhdl.compiler.stages.verilog.VerilogDialect	sv2005	14	false	VerilogDialect.sv2005
dfhdl-compiler-stages	compiler/stages/src/main/scala/dfhdl/backends.scala	28	39	call_arg	dfhdl.compiler.stages.verilog.VerilogDialect	sv2012	14	false	VerilogDialect.sv2012
dfhdl-compiler-stages	compiler/stages/src/main/scala/dfhdl/backends.scala	29	39	call_arg	dfhdl.compiler.stages.verilog.VerilogDialect	sv2017	14	false	VerilogDialect.sv2017
dfhdl-compiler-stages	compiler/stages/src/main/scala/dfhdl/backends.scala	43	28	call_arg	dfhdl.compiler.stages.vhdl.VHDLDialect	v2008	11	false	VHDLDialect.v2008
dfhdl-compiler-stages	compiler/stages/src/main/scala/dfhdl/backends.scala	44	30	call_arg	dfhdl.compiler.stages.vhdl.VHDLDialect	v93	11	false	VHDLDialect.v93
dfhdl-compiler-stages	compiler/stages/src/main/scala/dfhdl/backends.scala	46	32	call_arg	dfhdl.compiler.stages.vhdl.VHDLDialect	v2019	11	false	VHDLDialect.v2019
dfhdl-compiler-stages	compiler/stages/src/main/scala/dfhdl/compiler/stages/ViaConnection.scala	13	20	typed_decl	dfhdl.compiler.ir.RefGen	fromGetSet	6	false	RefGen.fromGetSet
dfhdl-compiler-stages	compiler/stages/src/main/scala/dfhdl/compiler/stages/VHDLProcToVerilog.scala	32	20	typed_decl	dfhdl.compiler.ir.RefGen	fromGetSet	6	false	RefGen.fromGetSet
dfhdl-compiler-stages	compiler/stages/src/main/scala/dfhdl/compiler/stages/ToED.scala	18	20	typed_decl	dfhdl.compiler.ir.RefGen	fromGetSet	6	false	RefGen.fromGetSet
dfhdl-compiler-stages	compiler/stages/src/main/scala/dfhdl/compiler/stages/StagedDesign.scala	16	7	typed_decl	dfhdl.compiler.stages.StagedDesign	newStage	0	true	newStage
dfhdl-compiler-stages	compiler/stages/src/main/scala/dfhdl/compiler/stages/StageRunner.scala	10	23	call_arg	wvlet.log.LogFormatter	BareFormatter	12	false	LogFormatter.BareFormatter
dfhdl-compiler-stages	compiler/stages/src/main/scala/dfhdl/compiler/stages/StageRunner.scala	15	24	call_arg	wvlet.log.LogLevel	DEBUG	8	false	LogLevel.DEBUG
dfhdl-compiler-stages	compiler/stages/src/main/scala/dfhdl/compiler/stages/StageRunner.scala	17	24	call_arg	wvlet.log.LogLevel	INFO	8	false	LogLevel.INFO
dfhdl-compiler-stages	compiler/stages/src/main/scala/dfhdl/compiler/stages/StageRunner.scala	19	24	call_arg	wvlet.log.LogLevel	WARN	8	false	LogLevel.WARN
dfhdl-compiler-stages	compiler/stages/src/main/scala/dfhdl/compiler/stages/SimplifyRTOps.scala	26	20	typed_decl	dfhdl.compiler.ir.RefGen	fromGetSet	6	false	RefGen.fromGetSet
dfhdl-compiler-stages	compiler/stages/src/main/scala/dfhdl/compiler/stages/SimplifyMatchSel.scala	20	16	match_case	dfhdl.compiler.stages.vhdl.VHDLDialect	v93	11	false	VHDLDialect.v93
dfhdl-compiler-stages	compiler/stages/src/main/scala/dfhdl/compiler/stages/SimplifyMatchSel.scala	26	20	typed_decl	dfhdl.compiler.ir.RefGen	fromGetSet	6	false	RefGen.fromGetSet
dfhdl-compiler-stages	compiler/stages/src/main/scala/dfhdl/compiler/stages/SimplifyMatchSel.scala	36	24	match_case	dfhdl.compiler.ir.DFVal$.Func$.Op	+	6	false	FuncOp.+
dfhdl-compiler-stages	compiler/stages/src/main/scala/dfhdl/compiler/stages/SimplifyMatchSel.scala	36	35	match_case	dfhdl.compiler.ir.DFVal$.Func$.Op	-	6	false	FuncOp.-
dfhdl-compiler-stages	compiler/stages/src/main/scala/dfhdl/compiler/stages/SimplifyMatchSel.scala	36	59	match_case	dfhdl.compiler.ir.DFVal$.Func$.Op	/	6	false	FuncOp./
dfhdl-compiler-stages	compiler/stages/src/main/scala/dfhdl/compiler/stages/SimplifyMatchSel.scala	36	70	match_case	dfhdl.compiler.ir.DFVal$.Func$.Op	%	6	false	FuncOp.%
dfhdl-compiler-stages	compiler/stages/src/main/scala/dfhdl/compiler/stages/SimplifyMatchSel.scala	36	81	match_case	dfhdl.compiler.ir.DFVal$.Func$.Op	**	6	false	FuncOp.**
dfhdl-compiler-stages	compiler/stages/src/main/scala/dfhdl/compiler/stages/SimplifyMatchSel.scala	36	93	match_case	dfhdl.compiler.ir.DFVal$.Func$.Op	===	6	false	FuncOp.===
