project	file	line	col	category	expected	member	chars_saved	import_based	source
dfhdl-core	core/src/main/scala/dfhdl/options/WError.scala	7	10	match_case	dfhdl.options.WError	Scalac	0	true	Scalac
dfhdl-core	core/src/main/scala/dfhdl/options/WError.scala	10	10	match_case	dfhdl.options.WError	Scalac	0	true	Scalac
dfhdl-core	core/src/main/scala/dfhdl/options/WError.scala	14	18	typed_decl	dfhdl.options.WError	Scalac	0	true	Scalac
dfhdl-core	core/src/main/scala/dfhdl/options/OnError.scala	7	62	if_branch	dfhdl.options.OnError	Exception	0	true	Exception
dfhdl-core	core/src/main/scala/dfhdl/options/OnError.scala	7	77	if_branch	dfhdl.options.OnError	Exit	0	true	Exit
dfhdl-core	core/src/main/scala/dfhdl/options/LogLevel.scala	8	20	typed_decl	wvlet.log.LogLevel	WARN	13	false	wvletLogLevel.WARN
dfhdl-core	core/src/main/scala/dfhdl/hw/annotation.scala	27	40	typed_decl	dfhdl.compiler.ir.annotation$.Unused	Quiet	20	false	ir.annotation.Unused.Quiet
dfhdl-core	core/src/main/scala/dfhdl/hw/annotation.scala	33	40	typed_decl	dfhdl.compiler.ir.annotation$.Unused	Keep	20	false	ir.annotation.Unused.Keep
dfhdl-core	core/src/main/scala/dfhdl/hw/annotation.scala	39	40	typed_decl	dfhdl.compiler.ir.annotation$.Unused	Prune	20	false	ir.annotation.Unused.Prune
dfhdl-core	core/src/main/scala/dfhdl/hw/annotation.scala	54	62	typed_decl	dfhdl.compiler.ir.annotation$.FlattenMode	Transparent	25	false	ir.annotation.FlattenMode.Transparent
dfhdl-core	core/src/main/scala/dfhdl/core/r__For_Plugin.scala	69	34	typed_decl	dfhdl.compiler.ir.DFConditional$.DFCaseBlock$.Pattern	CatchAll	7	false	Pattern.CatchAll
dfhdl-core	core/src/main/scala/dfhdl/core/r__For_Plugin.scala	76	34	call_arg	dfhdl.core.Modifier$.VAR$	VAR	8	false	Modifier.VAR
dfhdl-core	core/src/main/scala/dfhdl/core/r__For_Plugin.scala	95	40	call_arg	dfhdl.core.Width	wide	5	false	Width.wide
dfhdl-core	core/src/main/scala/dfhdl/core/r__For_Plugin.scala	128	18	call_arg	dfhdl.compiler.ir.DomainType	DF	13	false	ir.DomainType.DF
dfhdl-core	core/src/main/scala/dfhdl/core/r__For_Plugin.scala	130	20	call_arg	dfhdl.compiler.ir.DFDesignBlock$.InstMode	Def	25	false	ir.DFDesignBlock.InstMode.Def
dfhdl-core	core/src/main/scala/dfhdl/core/r__For_Plugin.scala	143	44	call_arg	dfhdl.core.Modifier$.OUT$	OUT	8	false	Modifier.OUT
dfhdl-core	core/src/main/scala/dfhdl/core/asFE.scala	10	50	typed_decl	scala.CanEqual	derived	8	false	CanEqual.derived
dfhdl-core	core/src/main/scala/dfhdl/core/asFE.scala	11	50	typed_decl	scala.CanEqual	derived	8	false	CanEqual.derived
dfhdl-core	core/src/main/scala/dfhdl/core/TextOut.scala	63	65	default_arg	dfhdl.compiler.ir.TextOut$.Severity	Info	8	false	Severity.Info
dfhdl-core	core/src/main/scala/dfhdl/core/TextOut.scala	80	49	call_arg	dfhdl.compiler.ir.TextOut$.Severity	Error	8	false	Severity.Error
dfhdl-core	core/src/main/scala/dfhdl/core/TextOut.scala	94	40	call_arg	dfhdl.compiler.ir.TextOut$.Severity	Error	8	false	Severity.Error
dfhdl-core	core/src/main/scala/dfhdl/core/Step.scala	10	7	call_arg	dfhdl.compiler.ir.DFMember$.Empty$	Empty	11	false	ir.DFMember.Empty
dfhdl-core	core/src/main/scala/dfhdl/core/SameElementsVector.scala	42	10	call_arg	scodec.bits.BitVector	fill	9	false	BitVector.fill
dfhdl-core	core/src/main/scala/dfhdl/core/SameElementsVector.scala	42	42	call_arg	scodec.bits.BitVector	low	9	false	BitVector.low
dfhdl-core	core/src/main/scala/dfhdl/core/SameElementsVector.scala	55	5	typed_decl	scala.CanEqual	derived	8	false	CanEqual.derived
dfhdl-core	core/src/main/scala/dfhdl/core/SameElementsVector.scala	58	5	typed_decl	scala.CanEqual	derived	8	false	CanEqual.derived
dfhdl-core	core/src/main/scala/dfhdl/core/RTDomainCfg.scala	17	20	default_arg	dfhdl.compiler.ir.Config$package$.ClkCfg$.Edge	Rising	4	false	Edge.Rising
dfhdl-core	core/src/main/scala/dfhdl/core/RTDomainCfg.scala	20	42	default_arg	dfhdl.compiler.ir.ClkRstInclusionPolicy	AsNeeded	15	false	InclusionPolicy.AsNeeded
dfhdl-core	core/src/main/scala/dfhdl/core/RTDomainCfg.scala	40	20	default_arg	dfhdl.compiler.ir.Config$package$.RstCfg$.Mode	Sync	4	false	Mode.Sync
dfhdl-core	core/src/main/scala/dfhdl/core/RTDomainCfg.scala	41	24	default_arg	dfhdl.compiler.ir.Config$package$.RstCfg$.Active	High	6	false	Active.High
dfhdl-core	core/src/main/scala/dfhdl/core/RTDomainCfg.scala	43	42	default_arg	dfhdl.compiler.ir.ClkRstInclusionPolicy	AsNeeded	15	false	InclusionPolicy.AsNeeded
dfhdl-core	core/src/main/scala/dfhdl/core/RTDomainCfg.scala	54	30	typed_decl	dfhdl.compiler.ir.RTDomainCfg	Derived	14	false	ir.RTDomainCfg.Derived
dfhdl-core	core/src/main/scala/dfhdl/core/Process.scala	20	9	call_arg	dfhdl.compiler.ir.ProcessBlock$.Sensitivity	All	27	false	ir.ProcessBlock.Sensitivity.All
dfhdl-core	core/src/main/scala/dfhdl/core/Process.scala	47	21	call_arg	dfhdl.core.DFC$.Scope$.Process	Process	9	false	DFC.Scope.Process
dfhdl-core	core/src/main/scala/dfhdl/core/Process.scala	54	21	call_arg	dfhdl.core.DFC$.Scope$.Process	Process	9	false	DFC.Scope.Process
dfhdl-core	core/src/main/scala/dfhdl/core/Process.scala	61	21	call_arg	dfhdl.core.DFC$.Scope$.Process	Process	9	false	DFC.Scope.Process
dfhdl-core	core/src/main/scala/dfhdl/core/Modifier.scala	82	18	match_case	dfhdl.compiler.ir.DFOpaque$.Kind	Clk	16	false	ir.DFOpaque.Kind.Clk
dfhdl-core	core/src/main/scala/dfhdl/core/Modifier.scala	82	41	match_case	dfhdl.compiler.ir.DFOpaque$.Kind	Rst	16	false	ir.DFOpaque.Kind.Rst
dfhdl-core	core/src/main/scala/dfhdl/core/IntParam.scala	61	5	typed_decl	scala.CanEqual	derived	8	false	CanEqual.derived
dfhdl-core	core/src/main/scala/dfhdl/core/IntParam.scala	62	51	typed_decl	scala.CanEqual	derived	8	false	CanEqual.derived
dfhdl-core	core/src/main/scala/dfhdl/core/IntParam.scala	63	51	typed_decl	scala.CanEqual	derived	8	false	CanEqual.derived
dfhdl-core	core/src/main/scala/dfhdl/core/IntParam.scala	128	12	call_arg	dfhdl.compiler.ir.DFVal$.Func$.Op	+	6	false	FuncOp.+
dfhdl-core	core/src/main/scala/dfhdl/core/IntParam.scala	130	12	call_arg	dfhdl.compiler.ir.DFVal$.Func$.Op	-	6	false	FuncOp.-
dfhdl-core	core/src/main/scala/dfhdl/core/IntParam.scala	134	12	call_arg	dfhdl.compiler.ir.DFVal$.Func$.Op	/	6	false	FuncOp./
dfhdl-core	core/src/main/scala/dfhdl/core/IntParam.scala	136	12	call_arg	dfhdl.compiler.ir.DFVal$.Func$.Op	%	6	false	FuncOp.%
dfhdl-core	core/src/main/scala/dfhdl/core/IntParam.scala	139	12	call_arg	dfhdl.compiler.ir.DFVal$.Func$.Op	max	6	false	FuncOp.max
dfhdl-core	core/src/main/scala/dfhdl/core/IntParam.scala	142	12	call_arg	dfhdl.compiler.ir.DFVal$.Func$.Op	min	6	false	FuncOp.min
dfhdl-core	core/src/main/scala/dfhdl/core/IntParam.scala	144	12	call_arg	dfhdl.compiler.ir.DFVal$.Func$.Op	clog2	6	false	FuncOp.clog2
dfhdl-core	core/src/main/scala/dfhdl/core/Design.scala	213	62	call_arg	dfhdl.compiler.ir.constraints$.DeviceID$.Vendor	XilinxAMD	6	false	Vendor.XilinxAMD
dfhdl-core	core/src/main/scala/dfhdl/core/DomainType.scala	8	18	typed_decl	dfhdl.compiler.ir.DomainType	DF	13	false	ir.DomainType.DF
dfhdl-core	core/src/main/scala/dfhdl/core/DomainType.scala	15	16	typed_decl	dfhdl.compiler.ir.DomainType	ED	13	false	ir.DomainType.ED
dfhdl-core	core/src/main/scala/dfhdl/core/Domain.scala	9	34	typed_decl	dfhdl.core.DFC$.Scope$.Domain	Domain	9	false	DFC.Scope.Domain
dfhdl-core	core/src/main/scala/dfhdl/core/Domain.scala	26	51	call_arg	dfhdl.compiler.ir.DFMember$.Empty$	Empty	11	false	ir.DFMember.Empty
dfhdl-core	core/src/main/scala/dfhdl/core/Design.scala	16	34	typed_decl	dfhdl.core.DFC$.Scope$.Design	Design	9	false	DFC.Scope.Design
dfhdl-core	core/src/main/scala/dfhdl/core/Design.scala	17	44	typed_decl	dfhdl.compiler.ir.DFDesignBlock$.InstMode	Normal	8	false	InstMode.Normal
dfhdl-core	core/src/main/scala/dfhdl/core/Design.scala	19	53	call_arg	dfhdl.internals.Position	unknown	8	false	Position.unknown
dfhdl-core	core/src/main/scala/dfhdl/core/Design.scala	19	83	call_arg	dfhdl.compiler.ir.DFDesignBlock$.InstMode	Normal	8	false	InstMode.Normal
dfhdl-core	core/src/main/scala/dfhdl/core/DFVector.scala	85	30	call_arg	dfhdl.compiler.ir.DFVal$.Func$.Op	++	6	false	FuncOp.++
dfhdl-core	core/src/main/scala/dfhdl/core/DFVector.scala	148	30	call_arg	dfhdl.compiler.ir.DFVal$.Func$.Op	repeat	6	false	FuncOp.repeat
dfhdl-core	core/src/main/scala/dfhdl/core/DFVector.scala	278	15	call_arg	dfhdl.compiler.ir.DFVal$.Func$.Op	repeat	6	false	FuncOp.repeat
dfhdl-core	core/src/main/scala/dfhdl/core/DFVector.scala	286	36	call_arg	dfhdl.compiler.ir.DFVal$.Func$.Op	++	6	false	FuncOp.++
dfhdl-core	core/src/main/scala/dfhdl/core/DFVal.scala	1694	58	call_arg	dfhdl.compiler.ir.DFVal$.Func$.Op	++	6	false	FuncOp.++
dfhdl-core	core/src/main/scala/dfhdl/core/DFVal.scala	328	5	typed_decl	scala.CanEqual	derived	8	false	CanEqual.derived
