project	file	line	col	category	expected	member	chars_saved	import_based	source
dfhdl-internals	internals/src/main/scala/dfhdl/internals/helpers.scala	323	16	call_arg	scala.collection.immutable.Map	empty	3	false	Map.empty
dfhdl-internals	internals/src/main/scala/dfhdl/internals/helpers.scala	323	16	call_arg	scala.collection.immutable.Map	empty	3	false	Map.empty
dfhdl-internals	internals/src/main/scala/dfhdl/internals/helpers.scala	331	16	call_arg	scala.collection.immutable.ListMap	empty	7	false	ListMap.empty
dfhdl-internals	internals/src/main/scala/dfhdl/internals/helpers.scala	331	16	call_arg	scala.collection.immutable.ListMap	empty	7	false	ListMap.empty
dfhdl-internals	internals/src/main/scala/dfhdl/internals/helpers.scala	192	11	call_arg	scala.quoted.Expr	ofTupleFromSeq	4	false	Expr.ofTupleFromSeq
dfhdl-internals	internals/src/main/scala/dfhdl/internals/Inlined.scala	30	50	typed_decl	scala.CanEqual	derived	8	false	CanEqual.derived
dfhdl-internals	internals/src/main/scala/dfhdl/internals/Inlined.scala	31	50	typed_decl	scala.CanEqual	derived	8	false	CanEqual.derived
dfhdl-internals	internals/src/main/scala/dfhdl/internals/Inlined.scala	38	5	typed_decl	scala.CanEqual	derived	8	false	CanEqual.derived
dfhdl-internals	internals/src/main/scala/dfhdl/internals/Inlined.scala	39	49	typed_decl	scala.CanEqual	derived	8	false	CanEqual.derived
dfhdl-internals	internals/src/main/scala/dfhdl/internals/Inlined.scala	40	55	typed_decl	scala.CanEqual	derived	8	false	CanEqual.derived
dfhdl-internals	internals/src/main/scala/dfhdl/internals/Inlined.scala	41	57	typed_decl	scala.CanEqual	derived	8	false	CanEqual.derived
dfhdl-internals	internals/src/main/scala/dfhdl/internals/HasClsMetaArgs.scala	13	46	typed_decl	dfhdl.internals.ClsMetaArgs	empty	11	false	ClsMetaArgs.empty
dfhdl-internals	internals/src/main/scala/dfhdl/internals/Exact.scala	100	36	typed_decl	scala.CanEqual	derived	8	false	CanEqual.derived
dfhdl-internals	internals/src/main/scala/dfhdl/internals/CommonOps.scala	61	71	typed_decl	scodec.bits.BitVector	fill	9	false	BitVector.fill
dfhdl-internals	internals/src/main/scala/dfhdl/internals/HasClsMetaArgs.scala	24	47	call_arg	dfhdl.internals.Position	unknown	8	false	Position.unknown
dfhdl-internals	internals/src/main/scala/dfhdl/internals/BitVector.scala	12	5	typed_decl	scodec.bits.BitVector	fill	9	false	BitVector.fill
dfhdl-internals	internals/src/main/scala/dfhdl/internals/BitVector.scala	31	34	call_arg	scodec.bits.BitVector	low	9	false	BitVector.low
