project	file	line	col	category	expected	member	chars_saved	import_based	source
dfhdl-platforms	platforms/src/main/scala/dfhdl/platforms/devboards/tinytapeout/TT10.scala	55	12	call_arg	dfhdl.compiler.ir.Config$package$.ClkCfg$.Edge	Rising	11	false	ClkCfg.Edge.Rising
dfhdl-platforms	platforms/src/main/scala/dfhdl/platforms/devboards/tinytapeout/TT10.scala	58	23	call_arg	dfhdl.compiler.ir.ClkRstInclusionPolicy	AlwaysAtTop	22	false	ClkCfg.InclusionPolicy.AlwaysAtTop
dfhdl-platforms	platforms/src/main/scala/dfhdl/platforms/devboards/tinytapeout/TT10.scala	61	12	call_arg	dfhdl.compiler.ir.Config$package$.RstCfg$.Mode	Sync	11	false	RstCfg.Mode.Sync
dfhdl-platforms	platforms/src/main/scala/dfhdl/platforms/devboards/tinytapeout/TT10.scala	62	14	call_arg	dfhdl.compiler.ir.Config$package$.RstCfg$.Active	Low	13	false	RstCfg.Active.Low
dfhdl-platforms	platforms/src/main/scala/dfhdl/platforms/devboards/tinytapeout/TT10.scala	64	23	call_arg	dfhdl.compiler.ir.ClkRstInclusionPolicy	AlwaysAtTop	22	false	RstCfg.InclusionPolicy.AlwaysAtTop
dfhdl-platforms	platforms/src/main/scala/dfhdl/platforms/pmods/sipeed/PMOD_LEDx8.scala	37	60	call_arg	dfhdl.platforms.resources.Led	Off	3	false	Led.Off
dfhdl-platforms	platforms/src/main/scala/dfhdl/platforms/pmods/sipeed/PMOD_BTN4x4.scala	49	45	call_arg	dfhdl.platforms.resources.Button	Released	6	false	Button.Released
dfhdl-platforms	platforms/src/main/scala/dfhdl/platforms/pmods/sipeed/PMOD_BTN4x4.scala	49	45	call_arg	dfhdl.platforms.resources.Button	Released	6	false	Button.Released
dfhdl-platforms	platforms/src/main/scala/dfhdl/platforms/pmods/sipeed/PMOD_BTN4x4.scala	49	45	call_arg	dfhdl.platforms.resources.Button	Released	6	false	Button.Released
dfhdl-platforms	platforms/src/main/scala/dfhdl/platforms/pmods/sipeed/PMOD_BTN4x4.scala	49	45	call_arg	dfhdl.platforms.resources.Button	Released	6	false	Button.Released
dfhdl-platforms	platforms/src/main/scala/dfhdl/platforms/pmods/sipeed/PMOD_BTN4x4.scala	51	47	call_arg	dfhdl.platforms.resources.SwitchNS	North	8	false	SwitchNS.North
dfhdl-platforms	platforms/src/main/scala/dfhdl/platforms/pmods/sipeed/PMOD_BTN4x4.scala	51	47	call_arg	dfhdl.platforms.resources.SwitchNS	North	8	false	SwitchNS.North
dfhdl-platforms	platforms/src/main/scala/dfhdl/platforms/pmods/sipeed/PMOD_BTN4x4.scala	51	47	call_arg	dfhdl.platforms.resources.SwitchNS	North	8	false	SwitchNS.North
dfhdl-platforms	platforms/src/main/scala/dfhdl/platforms/pmods/sipeed/PMOD_BTN4x4.scala	51	47	call_arg	dfhdl.platforms.resources.SwitchNS	North	8	false	SwitchNS.North
dfhdl-platforms	platforms/src/main/scala/dfhdl/platforms/pmods/digilent/Pmod8LD.scala	37	60	call_arg	dfhdl.platforms.resources.Led	On	3	false	Led.On
dfhdl-platforms	platforms/src/main/scala/dfhdl/platforms/ips/alteraintel/intelclkctrl.scala	56	33	default_arg	dfhdl.platforms.ips.alteraintel.intelclkctrl$.ClockGatingLevel	RootLevel	16	false	ClockGatingLevel.RootLevel
dfhdl-platforms	platforms/src/main/scala/dfhdl/platforms/ips/alteraintel/intelclkctrl.scala	57	42	default_arg	dfhdl.platforms.ips.alteraintel.intelclkctrl$.ClockGatingRegisterMode	NegativeLatch	23	false	ClockGatingRegisterMode.NegativeLatch
dfhdl-platforms	platforms/src/main/scala/dfhdl/platforms/ips/alteraintel/intel_user_rst_clkgate.scala	43	12	match_case	dfhdl.platforms.ips.alteraintel.intel_user_rst_clkgate$.OutputType	ResetInterface	0	true	ResetInterface
dfhdl-platforms	platforms/src/main/scala/dfhdl/platforms/ips/alteraintel/intel_user_rst_clkgate.scala	44	12	match_case	dfhdl.platforms.ips.alteraintel.intel_user_rst_clkgate$.OutputType	ConduitInterface	0	true	ConduitInterface
dfhdl-platforms	platforms/src/main/scala/dfhdl/platforms/devices/xilinxamd/series7/xc7a35tcpg236.scala	32	28	call_arg	dfhdl.platforms.devices.xilinxamd.series7.Pin$.IOType	CONFIG	0	true	CONFIG
dfhdl-platforms	platforms/src/main/scala/dfhdl/platforms/devices/xilinxamd/series7/xc7a35tcpg236.scala	84	29	call_arg	dfhdl.platforms.devices.xilinxamd.series7.Pin$.IOType	HR	0	true	HR
dfhdl-platforms	platforms/src/main/scala/dfhdl/platforms/devices/xilinxamd/series7/xc7a35tcpg236.scala	218	29	call_arg	dfhdl.platforms.devices.xilinxamd.series7.Pin$.IOType	HR	0	true	HR
dfhdl-platforms	platforms/src/main/scala/dfhdl/platforms/devices/xilinxamd/series7/xc7a35tcpg236.scala	258	29	call_arg	dfhdl.platforms.devices.xilinxamd.series7.Pin$.IOType	HR	0	true	HR
dfhdl-platforms	platforms/src/main/scala/dfhdl/platforms/devices/xilinxamd/series7/xc7a35tcpg236.scala	328	29	call_arg	dfhdl.platforms.devices.xilinxamd.series7.Pin$.IOType	HR	0	true	HR
dfhdl-platforms	platforms/src/main/scala/dfhdl/platforms/devices/xilinxamd/series7/xc7a100tcsg324.scala	32	28	call_arg	dfhdl.platforms.devices.xilinxamd.series7.Pin$.IOType	CONFIG	0	true	CONFIG
dfhdl-platforms	platforms/src/main/scala/dfhdl/platforms/devices/xilinxamd/series7/xc7a100tcsg324.scala	84	29	call_arg	dfhdl.platforms.devices.xilinxamd.series7.Pin$.IOType	HR	0	true	HR
dfhdl-platforms	platforms/src/main/scala/dfhdl/platforms/devices/xilinxamd/series7/xc7a100tcsg324.scala	218	29	call_arg	dfhdl.platforms.devices.xilinxamd.series7.Pin$.IOType	HR	0	true	HR
dfhdl-platforms	platforms/src/main/scala/dfhdl/platforms/devices/xilinxamd/series7/xc7a100tcsg324.scala	352	29	call_arg	dfhdl.platforms.devices.xilinxamd.series7.Pin$.IOType	HR	0	true	HR
dfhdl-platforms	platforms/src/main/scala/dfhdl/platforms/devices/xilinxamd/series7/xc7a100tcsg324.scala	386	29	call_arg	dfhdl.platforms.devices.xilinxamd.series7.Pin$.IOType	HR	0	true	HR
dfhdl-platforms	platforms/src/main/scala/dfhdl/platforms/devices/xilinxamd/series7/xc7a100tcsg324.scala	520	29	call_arg	dfhdl.platforms.devices.xilinxamd.series7.Pin$.IOType	HR	0	true	HR
dfhdl-platforms	platforms/src/main/scala/dfhdl/platforms/devices/xilinxamd/series7/Device.scala	29	44	typed_decl	dfhdl.compiler.ir.constraints$.DeviceID$.Vendor	XilinxAMD	15	false	deviceID.Vendor.XilinxAMD
dfhdl-platforms	platforms/src/main/scala/dfhdl/platforms/devices/tinytapeout/TTDevice.scala	22	44	typed_decl	dfhdl.compiler.ir.constraints$.DeviceID$.Vendor	TinyTapeout	15	false	deviceID.Vendor.TinyTapeout
dfhdl-platforms	platforms/src/main/scala/dfhdl/platforms/devboards/terasic/DECA.scala	383	51	call_arg	dfhdl.platforms.resources.Led	Off	3	false	Led.Off
dfhdl-platforms	platforms/src/main/scala/dfhdl/platforms/devboards/terasic/DECA.scala	397	43	call_arg	dfhdl.platforms.resources.Button	Released	6	false	Button.Released
