project	file	line	col	category	expected	member	chars_saved	import_based	source
os-lib	os/src/ReadWriteOps.scala	30	45	call_arg	os.RelPath	up	7	false	RelPath.up
os-lib	os/src/ReadWriteOps.scala	28	42	call_arg	java.nio.file.StandardOpenOption	CREATE	0	true	CREATE
os-lib	os/src/ReadWriteOps.scala	28	50	call_arg	java.nio.file.StandardOpenOption	WRITE	0	true	WRITE
os-lib	os/src/ReadWriteOps.scala	59	26	if_branch	scala.Array	empty	5	false	Array.empty
os-lib	os/src/ReadWriteOps.scala	77	45	call_arg	os.RelPath	up	7	false	RelPath.up
os-lib	os/src/ReadWriteOps.scala	78	29	call_arg	java.nio.file.StandardOpenOption	CREATE_NEW	18	false	StandardOpenOption.CREATE_NEW
os-lib	os/src/ReadWriteOps.scala	78	60	call_arg	java.nio.file.StandardOpenOption	WRITE	18	false	StandardOpenOption.WRITE
os-lib	os/src/ReadWriteOps.scala	92	47	call_arg	os.RelPath	up	7	false	RelPath.up
os-lib	os/src/ReadWriteOps.scala	96	13	call_arg	java.nio.file.StandardOpenOption	CREATE	18	false	StandardOpenOption.CREATE
os-lib	os/src/ReadWriteOps.scala	96	40	call_arg	java.nio.file.StandardOpenOption	APPEND	18	false	StandardOpenOption.APPEND
os-lib	os/src/ReadWriteOps.scala	96	67	call_arg	java.nio.file.StandardOpenOption	WRITE	18	false	StandardOpenOption.WRITE
os-lib	os/src/ReadWriteOps.scala	111	11	call_arg	java.nio.file.StandardOpenOption	CREATE	18	false	StandardOpenOption.CREATE
os-lib	os/src/ReadWriteOps.scala	112	11	call_arg	java.nio.file.StandardOpenOption	WRITE	18	false	StandardOpenOption.WRITE
os-lib	os/src/ReadWriteOps.scala	113	11	call_arg	java.nio.file.StandardOpenOption	APPEND	18	false	StandardOpenOption.APPEND
os-lib	os/src/ReadWriteOps.scala	134	47	call_arg	os.RelPath	up	7	false	RelPath.up
os-lib	os/src/ReadWriteOps.scala	141	33	call_arg	java.nio.file.StandardOpenOption	TRUNCATE_EXISTING	18	false	StandardOpenOption.TRUNCATE_EXISTING
os-lib	os/src/ReadWriteOps.scala	156	11	call_arg	java.nio.file.StandardOpenOption	CREATE	18	false	StandardOpenOption.CREATE
os-lib	os/src/ReadWriteOps.scala	157	11	call_arg	java.nio.file.StandardOpenOption	WRITE	18	false	StandardOpenOption.WRITE
os-lib	os/src/ReadWriteOps.scala	158	11	call_arg	java.nio.file.StandardOpenOption	TRUNCATE_EXISTING	18	false	StandardOpenOption.TRUNCATE_EXISTING
