project	file	line	col	category	expected	member	chars_saved	import_based	source
scala3-library	library/src/scala/Tuple.scala	320	64	typed_decl	scala.CanEqual	derived	8	false	CanEqual.derived
scala3-library	library/src/scala/Tuple.scala	323	37	typed_decl	scala.CanEqual	derived	8	false	CanEqual.derived
scala3-library	library/src/scala/StringContext.scala	293	10	call_arg	scala.collection.immutable.ArraySeq	unsafeWrapArray	29	false	collection.immutable.ArraySeq.unsafeWrapArray
scala3-library	library/src/scala/StringContext.scala	294	7	call_arg	scala.Array	tabulate	5	false	Array.tabulate
scala3-library	library/src/scala/Selectable.scala	38	5	typed_decl	scala.reflect.Selectable	reflectiveSelectable	24	false	scala.reflect.Selectable.reflectiveSelectable
scala3-library	library/src/scala/PartialFunction.scala	390	45	typed_decl	scala.PartialFunction	empty_pf	0	true	empty_pf
scala3-library	library/src/scala/Function.scala	42	64	typed_decl	scala.PartialFunction	unlifted	15	false	PartialFunction.unlifted
scala3-library	library/src/scala/Enumeration.scala	305	36	typed_decl	scala.Enumeration.ValueSet	empty	8	false	ValueSet.empty
scala3-library	library/src/scala/Enumeration.scala	319	80	typed_decl	scala.Enumeration.ValueSet	fromSpecific	8	false	ValueSet.fromSpecific
scala3-library	library/src/scala/Enumeration.scala	345	40	call_arg	scala.collection.immutable.BitSet	empty	16	false	immutable.BitSet.empty
scala3-library	library/src/scala/Enumeration.scala	349	66	call_arg	scala.collection.immutable.BitSet	fromBitMask	16	false	immutable.BitSet.fromBitMask
scala3-library	library/src/scala/CanEqual.scala	25	43	typed_decl	scala.CanEqual	derived	0	true	derived
scala3-library	library/src/scala/CanEqual.scala	28	52	typed_decl	scala.CanEqual	derived	0	true	derived
scala3-library	library/src/scala/CanEqual.scala	29	52	typed_decl	scala.CanEqual	derived	0	true	derived
scala3-library	library/src/scala/CanEqual.scala	34	82	typed_decl	scala.CanEqual	derived	0	true	derived
scala3-library	library/src/scala/CanEqual.scala	35	78	typed_decl	scala.CanEqual	derived	0	true	derived
scala3-library	library/src/scala/CanEqual.scala	37	81	typed_decl	scala.CanEqual	derived	0	true	derived
scala3-library	library/src/scala/CanEqual.scala	41	43	typed_decl	scala.CanEqual	derived	0	true	derived
scala3-library	library/src/scala/CanEqual.scala	43	91	typed_decl	scala.CanEqual	derived	0	true	derived
scala3-library	library/src/scala/CanEqual.scala	44	87	typed_decl	scala.CanEqual	derived	0	true	derived
scala3-library	library/src/scala/CanEqual.scala	48	49	typed_decl	scala.CanEqual	derived	0	true	derived
scala3-library	library/src/scala/sys/SystemProperties.scala	40	15	call_arg	scala.collection.Iterator	empty	8	false	Iterator.empty
scala3-library	library/src/scala/sys/SystemProperties.scala	40	15	call_arg	scala.collection.Iterator	empty	8	false	Iterator.empty
scala3-library	library/src/scala/sys/SystemProperties.scala	45	15	call_arg	scala.collection.Iterator	empty	8	false	Iterator.empty
scala3-library	library/src/scala/sys/SystemProperties.scala	45	15	call_arg	scala.collection.Iterator	empty	8	false	Iterator.empty
scala3-library	library/src/scala/runtime/Tuples.scala	248	5	typed_decl	scala.runtime.TupleXXL	fromIArray	8	false	TupleXXL.fromIArray
scala3-library	library/src/scala/runtime/Tuples.scala	365	5	typed_decl	scala.runtime.TupleXXL	fromIArray	8	false	TupleXXL.fromIArray
scala3-library	library/src/scala/runtime/Tuples.scala	591	10	if_branch	scala.Tuple	fromIArray	5	false	Tuple.fromIArray
scala3-library	library/src/scala/runtime/RichShort.scala	19	64	typed_decl	scala.math.Numeric$.ShortIsIntegral$	ShortIsIntegral	18	false	scala.math.Numeric.ShortIsIntegral
scala3-library	library/src/scala/runtime/RichShort.scala	20	55	typed_decl	scala.math.Ordering$.Short$	Short	19	false	scala.math.Ordering.Short
scala3-library	library/src/scala/runtime/RichLong.scala	19	63	typed_decl	scala.math.Numeric$.LongIsIntegral$	LongIsIntegral	18	false	scala.math.Numeric.LongIsIntegral
scala3-library	library/src/scala/runtime/RichLong.scala	20	54	typed_decl	scala.math.Ordering$.Long$	Long	19	false	scala.math.Ordering.Long
scala3-library	library/src/scala/runtime/RichInt.scala	22	62	typed_decl	scala.math.Numeric$.IntIsIntegral$	IntIsIntegral	18	false	scala.math.Numeric.IntIsIntegral
scala3-library	library/src/scala/runtime/RichInt.scala	23	53	typed_decl	scala.math.Ordering$.Int$	Int	19	false	scala.math.Ordering.Int
scala3-library	library/src/scala/runtime/RichInt.scala	79	39	typed_decl	scala.collection.immutable.Range$.Inclusive	inclusive	5	false	Range.inclusive
scala3-library	library/src/scala/runtime/RichInt.scala	87	50	typed_decl	scala.collection.immutable.Range$.Inclusive	inclusive	5	false	Range.inclusive
scala3-library	library/src/scala/runtime/RichFloat.scala	19	42	typed_decl	scala.math.Fractional	FloatIsFractional	18	false	scala.math.Numeric.FloatIsFractional
scala3-library	library/src/scala/runtime/RichFloat.scala	31	110	call_arg	scala.Float	NegativeInfinity	5	false	Float.NegativeInfinity
scala3-library	library/src/scala/runtime/RichFloat.scala	36	79	call_arg	scala.Int	MaxValue	3	false	Int.MaxValue
scala3-library	library/src/scala/runtime/RichDouble.scala	19	43	typed_decl	scala.math.Fractional	DoubleIsFractional	18	false	scala.math.Numeric.DoubleIsFractional
scala3-library	library/src/scala/runtime/RichDouble.scala	31	112	call_arg	scala.Double	NegativeInfinity	6	false	Double.NegativeInfinity
scala3-library	library/src/scala/runtime/RichChar.scala	19	63	typed_decl	scala.math.Numeric$.CharIsIntegral$	CharIsIntegral	18	false	scala.math.Numeric.CharIsIntegral
scala3-library	library/src/scala/runtime/RichChar.scala	20	54	typed_decl	scala.math.Ordering$.Char$	Char	19	false	scala.math.Ordering.Char
scala3-library	library/src/scala/runtime/RichByte.scala	19	63	typed_decl	scala.math.Numeric$.ByteIsIntegral$	ByteIsIntegral	18	false	scala.math.Numeric.ByteIsIntegral
scala3-library	library/src/scala/runtime/RichByte.scala	20	54	typed_decl	scala.math.Ordering$.Byte$	Byte	19	false	scala.math.Ordering.Byte
scala3-library	library/src/scala/runtime/RichBoolean.scala	19	57	typed_decl	scala.math.Ordering$.Boolean$	Boolean	19	false	scala.math.Ordering.Boolean
scala3-library	library/src/scala/runtime/coverage/Invoker.scala	35	53	call_arg	scala.collection.mutable.BitSet	empty	6	false	BitSet.empty
scala3-library	library/src/scala/reflect/Manifest.scala	55	5	typed_decl	scala.reflect.Manifest	classType	8	false	Manifest.classType
scala3-library	library/src/scala/reflect/ClassManifestDeprecatedApis.scala	186	61	typed_decl	scala.reflect.Manifest	singleType	8	false	Manifest.singleType
scala3-library	library/src/scala/math/ScalaNumericConversions.scala	94	69	call_arg	scala.Char	MaxValue	4	false	Char.MaxValue
scala3-library	library/src/scala/math/ScalaNumericConversions.scala	98	37	call_arg	scala.Int	MaxValue	3	false	Int.MaxValue
scala3-library	library/src/scala/math/BigInt.scala	26	59	call_arg	scala.Long	MinValue	4	false	Long.MinValue
scala3-library	library/src/scala/math/BigInt.scala	27	65	call_arg	scala.Long	MinValue	4	false	Long.MinValue
scala3-library	library/src/scala/math/BigInt.scala	52	43	if_branch	scala.math.BigInt	getCached	0	true	getCached
scala3-library	library/src/scala/math/BigInt.scala	52	61	if_branch	scala.math.BigInt	apply	0	true	apply
scala3-library	library/src/scala/math/BigInt.scala	61	43	if_branch	scala.math.BigInt	getCached	0	true	getCached
scala3-library	library/src/scala/math/BigInt.scala	62	19	call_arg	scala.Long	MinValue	4	false	Long.MinValue
scala3-library	library/src/scala/math/BigInt.scala	62	34	if_branch	scala.math.BigInt	longMinValue	0	true	longMinValue
scala3-library	library/src/scala/math/BigInt.scala	101	5	typed_decl	scala.math.BigInt	apply	0	true	apply
scala3-library	library/src/scala/math/BigDecimal.scala	33	41	typed_decl	java.math.MathContext	DECIMAL128	11	false	MathContext.DECIMAL128
scala3-library	library/src/scala/concurrent/JavaConversions.scala	30	5	typed_decl	scala.concurrent.ExecutionContextExecutorService	fromExecutorService	16	false	ExecutionContext.fromExecutorService
scala3-library	library/src/scala/concurrent/JavaConversions.scala	37	5	typed_decl	scala.concurrent.ExecutionContextExecutor	fromExecutor	16	false	ExecutionContext.fromExecutor
scala3-library	library/src/scala/concurrent/impl/ExecutionContextImpl.scala	107	47	call_arg	java.lang.Thread	currentThread	6	false	Thread.currentThread
scala3-library	library/src/scala/compat/Platform.scala	114	49	typed_decl	java.lang.Class	forName	15	false	java.lang.Class.forName
scala3-library	library/src/scala/collection/View.scala	81	27	typed_decl	scala.collection.View	Empty	0	true	Empty
scala3-library	library/src/scala/collection/View.scala	98	33	typed_decl	scala.collection.Iterator	single	8	false	Iterator.single
scala3-library	library/src/scala/collection/View.scala	122	37	typed_decl	scala.collection.Iterator	tabulate	8	false	Iterator.tabulate
scala3-library	library/src/scala/collection/View.scala	140	37	typed_decl	scala.collection.Iterator	unfold	8	false	Iterator.unfold
scala3-library	library/src/scala/collection/View.scala	447	26	if_branch	scala.collection.Iterator	empty	8	false	Iterator.empty
scala3-library	library/src/scala/collection/View.scala	447	26	if_branch	scala.collection.Iterator	empty	8	false	Iterator.empty
scala3-library	library/src/scala/collection/View.scala	448	18	call_arg	scala.Int	MaxValue	3	false	Int.MaxValue
