project	file	line	col	category	expected	member	chars_saved	import_based	source
scala3-presentation-compiler	out/bootstrap/scala3-presentation-compiler/scala-3.8.3-bin-nonbootstrapped/src_managed/main/mtags-shared/scala/meta/internal/semver/SemVer.scala	24	36	call_arg	scala.Int	MaxValue	3	false	Int.MaxValue
scala3-presentation-compiler	out/bootstrap/scala3-presentation-compiler/scala-3.8.3-bin-nonbootstrapped/src_managed/main/mtags-shared/scala/meta/internal/semver/SemVer.scala	75	36	call_arg	scala.meta.internal.semver.SemVer$.Version	fromString	7	false	Version.fromString
scala3-presentation-compiler	out/bootstrap/scala3-presentation-compiler/scala-3.8.3-bin-nonbootstrapped/src_managed/main/mtags-shared/scala/meta/internal/semver/SemVer.scala	79	40	call_arg	scala.meta.internal.semver.SemVer$.Version	fromString	7	false	Version.fromString
scala3-presentation-compiler	out/bootstrap/scala3-presentation-compiler/scala-3.8.3-bin-nonbootstrapped/src_managed/main/mtags-shared/scala/meta/internal/pc/SymbolInfo.scala	29	31	call_arg	scala.collection.immutable.List	empty	4	false	List.empty
scala3-presentation-compiler	out/bootstrap/scala3-presentation-compiler/scala-3.8.3-bin-nonbootstrapped/src_managed/main/mtags-shared/scala/meta/internal/pc/SymbolInfo.scala	29	31	call_arg	scala.collection.immutable.List	empty	4	false	List.empty
scala3-presentation-compiler	out/bootstrap/scala3-presentation-compiler/scala-3.8.3-bin-nonbootstrapped/src_managed/main/mtags-shared/scala/meta/internal/pc/ScalaHover.scala	38	21	call_arg	scala.meta.pc.ContentType	MARKDOWN	11	false	ContentType.MARKDOWN
scala3-presentation-compiler	out/bootstrap/scala3-presentation-compiler/scala-3.8.3-bin-nonbootstrapped/src_managed/main/mtags-shared/scala/meta/internal/pc/PresentationCompilerConfigImpl.scala	41	5	typed_decl	java.util.Optional	ofNullable	8	false	Optional.ofNullable
scala3-presentation-compiler	out/bootstrap/scala3-presentation-compiler/scala-3.8.3-bin-nonbootstrapped/src_managed/main/mtags-shared/scala/meta/internal/pc/PresentationCompilerConfigImpl.scala	43	5	typed_decl	java.util.Optional	ofNullable	8	false	Optional.ofNullable
scala3-presentation-compiler	out/bootstrap/scala3-presentation-compiler/scala-3.8.3-bin-nonbootstrapped/src_managed/main/mtags-shared/scala/meta/internal/pc/PresentationCompilerConfigImpl.scala	19	44	default_arg	scala.meta.pc.PresentationCompilerConfig$.OverrideDefFormat	Ascii	17	false	OverrideDefFormat.Ascii
scala3-presentation-compiler	out/bootstrap/scala3-presentation-compiler/scala-3.8.3-bin-nonbootstrapped/src_managed/main/mtags-shared/scala/meta/internal/pc/PresentationCompilerConfigImpl.scala	30	29	default_arg	java.util.concurrent.TimeUnit	SECONDS	8	false	TimeUnit.SECONDS
