project	file	line	col	category	expected	member	chars_saved	import_based	source
scaladoc	scaladoc/src/dotty/tools/scaladoc/api.scala	12	10	match_case	dotty.tools.scaladoc.Visibility	Unrestricted	0	true	Unrestricted
scaladoc	scaladoc/src/dotty/tools/scaladoc/api.scala	18	10	match_case	dotty.tools.scaladoc.VisibilityScope	ImplicitTypeScope	15	false	VisibilityScope.ImplicitTypeScope
scaladoc	scaladoc/src/dotty/tools/scaladoc/api.scala	18	46	match_case	dotty.tools.scaladoc.VisibilityScope	ImplicitModuleScope	15	false	VisibilityScope.ImplicitModuleScope
scaladoc	scaladoc/src/dotty/tools/scaladoc/api.scala	21	10	match_case	dotty.tools.scaladoc.VisibilityScope	ThisScope	15	false	VisibilityScope.ThisScope
scaladoc	scaladoc/src/dotty/tools/scaladoc/Scaladoc.scala	48	35	default_arg	scala.collection.immutable.List	empty	4	false	List.empty
scaladoc	scaladoc/src/dotty/tools/scaladoc/Scaladoc.scala	48	35	default_arg	scala.collection.immutable.List	empty	4	false	List.empty
scaladoc	scaladoc/src/dotty/tools/scaladoc/ScalaModuleProvider.scala	14	32	call_arg	scala.collection.immutable.Map	empty	3	false	Map.empty
scaladoc	scaladoc/src/dotty/tools/scaladoc/ScalaModuleProvider.scala	14	32	call_arg	scala.collection.immutable.Map	empty	3	false	Map.empty
scaladoc	scaladoc/src/dotty/tools/scaladoc/Inkuire.scala	7	33	call_arg	scala.collection.immutable.Map	empty	3	false	Map.empty
scaladoc	scaladoc/src/dotty/tools/scaladoc/Inkuire.scala	7	33	call_arg	scala.collection.immutable.Map	empty	3	false	Map.empty
scaladoc	scaladoc/src/dotty/tools/scaladoc/Inkuire.scala	7	55	call_arg	scala.collection.immutable.Map	empty	3	false	Map.empty
scaladoc	scaladoc/src/dotty/tools/scaladoc/Inkuire.scala	7	55	call_arg	scala.collection.immutable.Map	empty	3	false	Map.empty
scaladoc	scaladoc/src/dotty/tools/scaladoc/Inkuire.scala	195	52	call_arg	scala.collection.immutable.Set	empty	3	false	Set.empty
scaladoc	scaladoc/src/dotty/tools/scaladoc/Inkuire.scala	195	52	call_arg	scala.collection.immutable.Set	empty	3	false	Set.empty
scaladoc	scaladoc/src/dotty/tools/scaladoc/Inkuire.scala	195	63	call_arg	scala.collection.immutable.Map	empty	3	false	Map.empty
scaladoc	scaladoc/src/dotty/tools/scaladoc/Inkuire.scala	195	63	call_arg	scala.collection.immutable.Map	empty	3	false	Map.empty
scaladoc	scaladoc/src/dotty/tools/scaladoc/ExternalDocLink.scala	50	31	call_arg	dotty.tools.scaladoc.DocumentationKind	Javadoc	17	false	DocumentationKind.Javadoc
scaladoc	scaladoc/src/dotty/tools/scaladoc/ExternalDocLink.scala	51	33	call_arg	dotty.tools.scaladoc.DocumentationKind	Scaladoc2	17	false	DocumentationKind.Scaladoc2
scaladoc	scaladoc/src/dotty/tools/scaladoc/ExternalDocLink.scala	52	33	call_arg	dotty.tools.scaladoc.DocumentationKind	Scaladoc3	17	false	DocumentationKind.Scaladoc3
scaladoc	scaladoc/src/dotty/tools/scaladoc/translators/ScalaSignatureProvider.scala	29	23	nested_pattern	dotty.tools.scaladoc.Kind	Val	4	false	Kind.Val
scaladoc	scaladoc/src/dotty/tools/scaladoc/translators/ScalaSignatureProvider.scala	35	12	match_case	dotty.tools.scaladoc.Kind	Object	4	false	Kind.Object
scaladoc	scaladoc/src/dotty/tools/scaladoc/translators/ScalaSignatureProvider.scala	39	12	match_case	dotty.tools.scaladoc.Kind	Val	4	false	Kind.Val
scaladoc	scaladoc/src/dotty/tools/scaladoc/translators/ScalaSignatureProvider.scala	39	23	match_case	dotty.tools.scaladoc.Kind	Var	4	false	Kind.Var
scaladoc	scaladoc/src/dotty/tools/scaladoc/translators/ScalaSignatureProvider.scala	39	48	nested_pattern	dotty.tools.scaladoc.Kind	Val	4	false	Kind.Val
scaladoc	scaladoc/src/dotty/tools/scaladoc/translators/ScalaSignatureProvider.scala	43	12	match_case	dotty.tools.scaladoc.Kind	Package	4	false	Kind.Package
scaladoc	scaladoc/src/dotty/tools/scaladoc/translators/ScalaSignatureProvider.scala	50	12	match_case	dotty.tools.scaladoc.Kind	RootPackage	4	false	Kind.RootPackage
